"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
1989302,364296,"CARNE GLOBAL FUND MANAGERS (LUXEMBOURG) S.A.","802-121583",304919
1977356,249031,"LEGACY CAPITAL GESTORA DE RECURSOS LTDA.","",
1986568,16616,"STIRLING SQUARE CAPITAL PARTNERS (ADVISERS) LLP","",
1986568,227143,"STIRLING SQUARE CAPITAL PARTNERS (ADVISERS) LLP","",
1986568,77568,"STIRLING SQUARE CAPITAL PARTNERS (ADVISERS) LLP","",
1986568,420134,"STIRLING SQUARE CAPITAL PARTNERS MANAGEMENT LIMITED","",
1992090,371957,"REGAL PARTNERS LIMITED","801-77723",165751
1974907,254403,"CREACION VENTURES MANAGEMENT, LLC","",309866
1974907,254405,"CREACION VENTURES MANAGEMENT, LLC","",309866
1974907,486224,"CREACION VENTURES MANAGEMENT, LLC","",309866
1990139,286310,"CREADOR MANAGEMENT V LTD","",
1990139,77731,"CREADOR MANAGEMENT COMPANY II LTD","",
1990139,57744,"CREADOR MANAGEMENT COMPANY II LTD","",
1990139,164164,"CREADOR MANAGEMENT III LTD","",
1990139,216815,"CREADOR MANAGEMENT IV LTD","",
1990139,476085,"CREADOR MANAGEMENT VI LTD","",
1987421,291813,"RRW SAS","",
1987421,192116,"RRW SAS","",
1987421,361379,"RRW SAS","",
1988070,375126,"MIRABELLA MALTA LIMITED","802-108504",285355
1988070,202449,"MIRABELLA MALTA LIMITED","802-108504",285355
1988070,68847,"MIRABELLA MALTA LIMITED","802-108504",285355
1988070,233377,"MIRABELLA MALTA LIMITED","802-108504",285355
1988070,68840,"MIRABELLA MALTA LIMITED","802-108504",285355
1989284,486295,"VALOR VENTURE MANAGEMENT LLC","",171740
1989284,486294,"VALOR VENTURE MANAGEMENT LLC","",171740
1989284,486297,"VALOR VENTURE MANAGEMENT LLC","",171740
1989284,486298,"VALOR VENTURE MANAGEMENT LLC","",171740
1989284,486296,"VALOR VENTURE MANAGEMENT LLC","",171740
1992190,285697,"DWS INVESTMENT S.A.","802-115197",300838
1994410,285697,"DWS INVESTMENT S.A.","802-115197",300838
