"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1922549,281150,137236,"Canada - Manitoba Securities Commission"
1922549,281150,137237,"Canada - Manitoba Securities Commission"
1922549,281098,137230,"Canada - Manitoba Securities Commission"
1922549,281098,137231,"Canada - Manitoba Securities Commission"
1922549,281150,137236,"Canada - Ontario Securities Commission"
1922549,281150,137237,"Canada - Ontario Securities Commission"
1922549,281098,137230,"Canada - Ontario Securities Commission"
1922549,281098,137231,"Canada - Ontario Securities Commission"
1933275,363034,144038,"Other - CAYMAN - REGISTRAR OF EXEMPTED LIMITED PARTNERSHIPS"
1922647,184600,119865,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1922647,5354,10546,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1922647,5332,1643,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1922647,5354,1646,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1922647,5332,1642,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1930086,372635,146421,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,372642,146418,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,372657,146426,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,319939,142706,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,319954,142705,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,268981,146679,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,372635,146423,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,372642,146425,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930086,372638,146420,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1917528,435228,150177,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435228,150178,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435228,150175,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435230,150181,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435231,150184,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435231,150183,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435252,150188,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435230,150180,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1917528,435252,150187,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1922517,435849,150244,"Ireland -  Central Bank of Ireland"
1925594,355403,143202,"Cayman Islands - Cayman Islands Monetary Authority"
1925594,355403,145060,"Cayman Islands - Cayman Islands Monetary Authority"
1924122,309179,141000,"Cayman Islands - Cayman Islands Monetary Authority"
1924122,309179,140999,"Cayman Islands - Cayman Islands Monetary Authority"
1926353,178873,150315,"Cayman Islands - Cayman Islands Monetary Authority"
1926671,254122,134274,"Cayman Islands - Cayman Islands Monetary Authority"
1927419,247208,133230,"Cayman Islands - Cayman Islands Monetary Authority"
1928002,432803,149861,"Cayman Islands - Cayman Islands Monetary Authority"
1923862,436202,150294,"Cayman Islands - Cayman Islands Monetary Authority"
1923862,436201,150295,"Cayman Islands - Cayman Islands Monetary Authority"
1923862,436183,150289,"Cayman Islands - Cayman Islands Monetary Authority"
1923862,436180,150288,"Cayman Islands - Cayman Islands Monetary Authority"
1904925,230936,130684,"Cayman Islands - Cayman Islands Monetary Authority"
1904925,230936,130685,"Cayman Islands - Cayman Islands Monetary Authority"
1928388,357920,143477,"Cayman Islands - Cayman Islands Monetary Authority"
1928388,356776,143331,"Cayman Islands - Cayman Islands Monetary Authority"
1928388,420645,146965,"Cayman Islands - Cayman Islands Monetary Authority"
1924738,314532,142050,"Cayman Islands - Cayman Islands Monetary Authority"
1929765,277694,136622,"Cayman Islands - Cayman Islands Monetary Authority"
1930817,255074,134390,"Cayman Islands - Cayman Islands Monetary Authority"
1930817,255074,134391,"Cayman Islands - Cayman Islands Monetary Authority"
1930817,231025,130694,"Cayman Islands - Cayman Islands Monetary Authority"
1930817,231025,130693,"Cayman Islands - Cayman Islands Monetary Authority"
1922253,248556,133458,"Cayman Islands - Cayman Islands Monetary Authority"
1922647,213875,125964,"Cayman Islands - Cayman Islands Monetary Authority"
1925745,64763,13194,"Cayman Islands - Cayman Islands Monetary Authority"
1925745,193083,122036,"Cayman Islands - Cayman Islands Monetary Authority"
1928015,421122,147009,"Cayman Islands - Cayman Islands Monetary Authority"
1929720,231112,130746,"Cayman Islands - Cayman Islands Monetary Authority"
1929107,199847,123320,"Cayman Islands - Cayman Islands Monetary Authority"
1928336,288483,140247,"Cayman Islands - Cayman Islands Monetary Authority"
1928336,288483,140246,"Cayman Islands - Cayman Islands Monetary Authority"
1928344,428425,148838,"Cayman Islands - Cayman Islands Monetary Authority"
1928344,428425,148839,"Cayman Islands - Cayman Islands Monetary Authority"
1922354,420574,146955,"Cayman Islands - Cayman Islands Monetary Authority"
1922354,420567,146954,"Cayman Islands - Cayman Islands Monetary Authority"
1925207,436189,150293,"Cayman Islands - Cayman Islands Monetary Authority"
