"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
1992529,3874,"BLAKE, CASSELS & GRAYDON LLP","BLAKE, CASSELS & GRAYDON LLP","VANCOUVER","","Canada","N","",
1992529,3871,"BLAKE, CASSELS & GRAYDON LLP","BLAKE, CASSELS & GRAYDON LLP","VANCOUVER","","Canada","N","",
1992529,245184,"BLAKE, CASSELS & GRAYDON LLP","BLAKE, CASSELS & GRAYDON LLP","VANCOUVER","","Canada","N","",
1992529,397389,"IQEQ GLOBAL FUND SERVICES","IQEQ FUND SERVICES","AMSTERDAM","","Netherlands","N","8-2122482",
1992567,232785,"STATE STREET CUSTODIAL SERVICES (IRELAND) LIMITED","STATE STREET CUSTODIAL SERVICES (IRELAND) LIMITED","DUBLIN 2","","Ireland","N","",
1992567,210456,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1992567,287571,"THE NORTHERN TRUST COMPANY","THE NORTHERN TRUST COMPANY","LONDON","","United Kingdom","N","",
1992141,487167,"TEXAS CAPITAL BANK","TEXAS CAPITAL BANK","DALLAS","Texas","United States","N","",
1977356,283049,"U.S. BANCORP","U.S. BANCORP","MINNEAPOLIS","Minnesota","United States","N","",
1977356,249031,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1979646,310902,"RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING","","Denmark","N","",
1987594,170117,"SHINHAN BANK VIETNAM","SHINHAN BANK","VIETNAM","","Vietnam","N","",
1979646,376426,"SYDBANK A/S","SYDBANK A/S","AABENRAA","","Denmark","N","",
1979646,319917,"RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING","","Denmark","N","",
1979646,319916,"RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING","","Denmark","N","",
1979646,310903,"RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING LANDBOBANK A/S","RINGKJOEBING","","Denmark","N","",
1988635,421299,"JP MORGAN CHASE BANK NA","JP MORGAN CHASE BANK","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
1988635,421299,"CITIZENS BANK, NA","CITIZENS","PROVIDENCE","Rhode Island","United States","N","",DRMSV1Q0EKMEXLAU1P80
1987629,425156,"U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M0
1981031,373334,"JEFFERIES LLC","JEFFERIES LLC","NEW YORK","New York","United States","N","8-15074",
1987044,276870,"CIBC BANK USA","CIBC BANK USA","CHICAGO","Illinois","United States","N","",FDXQ75GPEQKRPWABYN63
1956793,254782,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",
1956793,368942,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",
1956793,174830,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",
