"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1922647,184600,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1922647,184600,"BNP PARIBAS SA, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1922647,213875,"BNP PARIBAS SA, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1921357,192176,"FIDELITY BROKERAGE SERVICES LLC","8-23292",7784,"SMITHFIELD","Rhode Island","United States","Y"
1921357,192176,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1921357,192176,"WEDBUSH SECURITIES INC.","8-12987",877,"LOS ANGELES","California","United States","Y"
1921396,320264,"MAREX CAPITAL MARKETS INC.","8-69039",161014,"NEW YORK","New York","United States","N"
1920066,435722,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221",7691,"NEW YORK","New York","United States","Y"
1923640,194786,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1923640,194786,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1923640,194786,"UBS AG","",,"LONDON","","United Kingdom","Y"
1923640,312219,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1923640,312219,"MORGAN STANLEY & CO INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1923640,312219,"UBS AG","",,"LONDON","","United Kingdom","Y"
1931452,313585,"SANFORD C. BERNSTEIN & CO., LLC","8-52942",104474,"NEW YORK","New York","United States","N"
1931452,313585,"IIFL INSTITUTIONAL EQUITIES","",,"MUMBAI","","India","N"
1929296,54635,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1929296,54634,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1928015,421122,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1928015,421122,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1924472,59965,"SG AMERICAS SECURITIES, LLC","8-66125",128351,"CHICAGO","Illinois","United States","Y"
1924132,179427,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1924132,179427,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1923379,436074,"MULTI-BANK SECURITIES, INC.","8-39547",22098,"SOUTHFIELD","Michigan","United States","N"
1923379,436075,"MULTI-BANK SECURITIES, INC.","8-39547",22098,"SOUTHFIELD","Michigan","United States","N"
1921495,54005,"BTIG, LLC","8-65473",122225,"SAN FRANCISCO","California","United States","N"
1922354,420574,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1922354,420574,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1922354,420574,"UBS AG LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1922354,420574,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1922354,420567,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1922354,420567,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1922354,420567,"UBS AG LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1922354,420567,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1926242,435194,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1925714,284009,"CHARLES SCHWAB & CO., INC.","8-16514",5393,"SAN FRANCISCO","California","United States","Y"
1924743,182733,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1924743,212500,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1929107,199847,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1920813,435698,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1920813,435698,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1927639,436405,"BTIG, LLC","8-65473",122225,"SAN FRANCISCO","California","United States","Y"
1928336,288483,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1928336,288483,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1928336,288483,"UBS AG","",,"LONDON","","United Kingdom","Y"
1928344,428425,"INTERACTIVE BROKERS HONG KONG LIMITED","",,"HONG KONG","","Hong Kong","Y"
1929720,231112,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1929720,231112,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1929720,231112,"UBS AG LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1929720,231112,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1929754,426523,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1931466,283489,"COWEN","",,"NEW YORK","New York","United States","N"
1931466,370485,"MAREX CAPITAL MARKETS INC.","8-69039",161014,"NEW YORK","New York","United States","Y"
1928899,421379,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1928899,421379,"THE BANK OF NEW YORK MELLON SA/NV, DUBLIN BRANCH","",,"DUBLIN","","Ireland","Y"
1925745,64763,"CITIGROUP GLOBAL MARKETS LIMITED","",,"LONDON","","United Kingdom","Y"
1933289,4706,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1933403,46661,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1934061,19303,"CHARLES SCHWAB & CO., INC.","8-16514",5393,"SAN FRANCISCO","California","United States","Y"
1933359,369123,"J.P. MORGAN PRIME INC.","8-69703",282107,"NEW YORK","New York","United States","Y"
1933747,70070,"MORGAN STANLEY","8-68191",149777,"NEW YORK","New York","United States","Y"
1922059,120292,"CF SECURED, LLC","8-69863",285841,"NEW YORK","New York","United States","Y"
1922059,120292,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
