"FilingID","Representation 1","Representation 2","Representation 3"
1935248,"N","N","Y"
1949223,"N","N","Y"
1946033,"N","N","Y"
1952334,"Y","Y","N"
1936426,"Y","N","Y"
1935705,"Y","Y","N"
1957614,"Y","Y","Y"
1957899,"N","N","Y"
1955280,"N","N","Y"
1957413,"N","N","Y"
1936406,"N","N","Y"
1949162,"N","N","Y"
1946316,"N","N","Y"
1941761,"Y","Y","N"
1956202,"N","N","Y"
1959673,"Y","Y","N"
1948018,"Y","N","Y"
1960335,"Y","Y","N"
1949720,"N","N","Y"
1950392,"Y","Y","N"
1937700,"Y","Y","Y"
1940237,"N","N","Y"
1961161,"N","N","Y"
1961145,"Y","Y","N"
1929273,"N","N","Y"
1960994,"Y","Y","Y"
1945166,"Y","Y","Y"
1949088,"Y","Y","Y"
1960978,"N","N","Y"
1969619,"N","N","Y"
1963230,"N","N","Y"
1955440,"Y","Y","Y"
1969616,"N","N","Y"
1961126,"Y","Y","Y"
1971926,"N","N","Y"
1970081,"Y","Y","Y"
1949380,"N","N","Y"
1971913,"Y","Y","Y"
1963289,"N","N","Y"
1950195,"Y","Y","Y"
1963372,"Y","N","Y"
1972261,"N","N","Y"
1965309,"N","N","Y"
1972226,"Y","N","Y"
1965003,"N","N","Y"
1953670,"N","N","Y"
1939529,"Y","N","Y"
1962049,"N","N","Y"
1971571,"N","N","Y"
1972836,"Y","N","Y"
1953807,"Y","Y","Y"
1923470,"N","N","Y"
1938832,"N","N","Y"
1972294,"Y","Y","Y"
1946004,"N","N","Y"
1961015,"Y","Y","Y"
1972692,"Y","Y","N"
1959680,"N","N","Y"
1956170,"N","N","Y"
1944461,"N","N","Y"
1973395,"N","N","Y"
1973381,"N","N","Y"
1941563,"Y","Y","Y"
1969233,"Y","Y","Y"
1969668,"Y","N","Y"
1964612,"N","N","Y"
1949197,"N","N","Y"
1923920,"Y","Y","Y"
1963409,"Y","N","Y"
1970210,"Y","N","Y"
1971804,"N","N","Y"
1963775,"N","N","Y"
1935424,"N","N","Y"
1964388,"Y","Y","Y"
1959879,"N","N","Y"
1932593,"N","N","Y"
1958535,"Y","Y","Y"
1972140,"N","N","Y"
1968719,"N","N","Y"
1973865,"N","N","Y"
1962511,"N","N","Y"
1963398,"N","N","Y"
1970421,"Y","Y","Y"
1965789,"Y","Y","Y"
1967648,"N","N","Y"
1953697,"Y","N","Y"
1956677,"N","N","Y"
1970087,"N","N","Y"
1973821,"N","N","Y"
1971864,"N","N","Y"
1968310,"N","N","Y"
1971787,"N","N","Y"
1966226,"N","N","Y"
1973176,"N","N","Y"
1937258,"Y","Y","Y"
1963292,"N","N","Y"
1958772,"Y","Y","Y"
1963831,"Y","Y","Y"
1965138,"N","N","Y"
1939728,"Y","N","Y"
1965286,"N","N","Y"
1972731,"N","N","Y"
1969639,"N","N","Y"
1944358,"Y","N","Y"
1974545,"Y","N","Y"
1957393,"N","N","Y"
1950364,"N","N","Y"
