"FilingID","Acquired Firm","SEC File Number","CRD Number"
1999200,"FUTURE YOU WEALTH","801-122696",305173
1995748,"BOYUM WEALTH ARCHITECTS LLC","801-112783",161261
1996744,"INVESTMENT ADVISORY GROUP LLC","801-56937",109445
