"FilingID","Country/Authority"
1935875,"Guernsey - Guernsey Financial Services Commission"
1938482,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1939865,"United Kingdom - Financial Conduct Authority"
1936518,"Ireland -  Central Bank of Ireland"
1934503,"Cayman Islands - Cayman Islands Monetary Authority"
1925134,"Hong Kong - Securities and Futures Commission"
1939857,"Hong Kong - Securities and Futures Commission"
1936530,"Hong Kong - Securities and Futures Commission"
1925055,"Canada - Ontario Securities Commission"
1939305,"Jersey - Jersey Financial Services Commission"
1932150,"United Kingdom - Financial Conduct Authority"
1925410,"Other: ROLL OF LICENSED MANAGEMENT COMPANIES (SOCIETA DI GESTIONE DEL RISPARMIO) KEPT BY THE BANK OF ITALY"
1935397,"Ireland -  Central Bank of Ireland"
1935397,"France - Financial Markets Authority"
1935397,"Germany - German Federal Financial Supervisory Agency"
1935397,"Other: ITALY (BANCA D'ITALIA)"
1935397,"Netherlands - The Netherlands Authority for the Financial Markets"
1935397,"Spain - National Commission of Securities Markets"
1935397,"Sweden - Swedish Financial Supervisory Authority"
1939157,"Singapore - Monetary Authority of Singapore"
1943016,"Guernsey - Guernsey Financial Services Commission"
1939265,"Other: UNITED ARAB EMIRATES (DIFC) - THE DUBAI FINANCIAL SERVICES AUTHORITY (DFSA)"
1943452,"United Kingdom - Financial Conduct Authority"
1924509,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1934555,"Hong Kong - Securities and Futures Commission"
1940668,"United Kingdom - Financial Conduct Authority"
1931212,"Brazil - Securities and Exchange Commission"
1933326,"United Kingdom - Financial Conduct Authority"
1925597,"Singapore - Monetary Authority of Singapore"
1924154,"United Kingdom - Financial Conduct Authority"
1934558,"Switzerland - Swiss Financial Market Supervisory Authority"
1933259,"United Kingdom - Financial Conduct Authority"
1936079,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1934319,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1936535,"Canada - Ontario Securities Commission"
1936535,"Canada - Quebec, Financial Markets Authority"
1936535,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1936535,"Canada - British Columbia Securities Commission"
1936535,"Canada - Manitoba Securities Commission"
1936535,"Canada - Nova Scotia Securities Commission"
1936535,"Canada - Prince Edward Island, Securities Office"
1936535,"Other: CANADA - L'AUTORITE DES MARCHES FINANCIERS"
1936535,"Canada - Alberta Securities Commission"
1936535,"Canada - New Brunswick Securities Commission"
