"FilingID","Full Legal Name","CIK Number"
1980451,"DIGITALBRIDGE GROUP, INC.",1679688
1980570,"THE BANK OF NOVA SCOTIA",9631
1976991,"NOMURA HOLDINGS, INC.",1163653
1977025,"BLACKSTONE INC.",1393818
1977036,"BLACKSTONE INC.",1393818
1979173,"RAYMOND JAMES FINANCIAL, INC.",720005
1979297,"THE GOLDMAN SACHS GROUP, INC.",886982
1979383,"VOYA FINANCIAL, INC.",1535929
1979390,"VOYA FINANCIAL INC.",1535929
1977778,"MITSUBISHI UFJ FINANCIAL GROUP INC",67088
1975632,"ATLANTIC UNION BANKSHARES CORP",883948
1983762,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
1983762,"EQUITABLE HOLDINGS, INC.",727920
1978762,"ASSICURAZIONI GENERALI S.P.A.",1379235
1983876,"AEGON LTD.",769218
1981379,"KEYCORP",91576
1981454,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1981333,"HEALTHEQUITY, INC.",1428336
1982968,"ROYAL BANK OF CANADA",1000275
1977499,"BANK OF MONTREAL",927971
1977395,"WELLS FARGO AND COMPANY",105598
1980758,"STIFEL FINANCIAL CORP.",720672
1980120,"AON PLC",1183186
1979255,"EQUITABLE FINANCIAL, INC",888002
1979255,"EQUITABLE HOLDINGS, INC",1333986
1979730,"AFFILIATED MANAGERS GROUP, INC.",1004434
1976797,"TEXAS CAPITAL BANKCSHARES, INC.",1077428
1977990,"BANK OF AMERICA CORPORATION",70858
1961783,"ACADIAN ASSET MANAGEMENT INC",1748824
1981105,"MORGAN STANLEY",895421
1981422,"COMMUNITY BANK SYSTEM, INC",723188
1977963,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
1970904,"MORGAN STANLEY",895421
1978834,"POPULAR, INC.",763901
1974431,"INVESCO LTD.",914208
1978918,"OLD NATIONAL BANCORP",707179
1973373,"PRUDENTIAL FINANCIAL INC",1137774
1975265,"THE CHARLES SCHWAB CORPORATION",316709
1975133,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
1975133,"EQUITABLE HOLDINGS, INC.",727920
1980610,"INVESCO LTD.",914208
1978150,"THE BALDWIN INSURANCE GROUP, INC.",1781755
1975295,"UBS AG",1114446
1982961,"MORGAN STANLEY",895421
1982969,"ROYAL BANK OF CANADA",1000275
1983165,"BANK OF MONTREAL",927971
1983215,"BLACKROCK, INC.",2012383
1980842,"ALLIANCEBERNSTEIN L.P.",1109448
1980842,"EQUITABLE HOLDINGS, INC.",727920
1984092,"DEUTSCHE BANK AG",948046
1973452,"AMERIPRISE FINANCIAL, INC.",820027
1984400,"FRANKLIN RESOURCES, INC.",3877
1976153,"GALAXY DIGITAL HOLDINGS LTD.",1405064
1983290,"THE RMR GROUP INC.",1644378
1981962,"MORGAN STANLEY",895421
1984854,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
1976995,"BLACKSTONE INC.",1393818
1976997,"BLACKSTONE INC.",1393818
1977028,"BLACKSTONE INC.",1393818
1977030,"BLACKSTONE INC.",1393818
1976702,"UBS GROUP AG",1610520
1976702,"UBS AG",1114446
1977038,"BLACKSTONE INC.",1393818
1977040,"BLACKSTONE INC.",1393818
1976516,"BROOKFIELD CORP",1001085
1976516,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
1976628,"DEUTSCHE BANK AG",948046
1976746,"PNC FINANCIAL SERVICES GROUP, INC",713676
1977108,"LPL FINANCIAL HOLDINGS INC.",1397911
1977269,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1977277,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1942116,"FEDERATED HERMES INC",1056288
1980420,"M&T BANK CORPORATION",36270
1977568,"WELLS FARGO AND COMPANY",105598
1975123,"THE CHARLES SCHWAB CORPORATION",316709
1975308,"FIRST FOUNDATION INC.",1413837
1975340,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
1979715,"ROYAL BANK OF CANADA",1000275
1975536,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1975538,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1975665,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
1980328,"CITIGROUP INC.",831001
