"FilingID","ReferenceID","Form D File Number"
1980356,420165,"021-490227"
1980356,310526,"021-1806675"
1976801,251422,"021-383148"
1976801,251364,"021-383147"
1968133,22144,"021-163005"
1976926,432803,"021-526147"
1976926,432803,"021-526146"
1978850,203638,"021-302427"
1978850,192791,"021-291167"
1978850,192792,"021-291176"
1978850,192793,"021-291201"
1978850,236363,"021-351078"
1978850,236372,"021-351079"
1978768,377704,"021-2006580"
1979092,238065,"021-333886"
1979092,238065,"021-334025"
1978534,484781,"021-543472"
1971671,310224,"021-186149"
1971671,310139,"021-378558"
1963921,308596,"021-365966"
1965727,483302,"021-1817457"
1965727,483269,"021-1669446"
1965727,483318,"021-2030050"
1966890,364818,"021-492301"
1949383,213572,"021-303465"
1949383,304609,"021-410532"
1949383,304603,"021-422626"
1949383,254059,"021-386381"
1949383,304617,"021-408696"
1949383,253552,"021-391819"
1949383,253547,"021-376086"
1984079,249179,"021-376073"
1984079,317010,"021-447350"
1984079,288567,"021-434077"
1984079,249185,"021-376076"
1984079,288561,"021-434072"
1984079,317011,"021-447354"
1983385,485400,"021-514161"
1984231,16906,"021-73069"
1984231,16888,"021-71118"
1984231,16890,"021-137788"
1982157,58730,"021-212886"
1961586,476584,"021-311680"
1961586,476584,"021-312541"
1980703,483893,"021-520309"
1980703,483883,"021-508129"
1980703,251871,"021-302132"
1980703,251869,"021-297004"
1980703,251870,"021-387881"
1980703,305232,"021-401101"
1980703,361082,"021-477484"
1980518,370482,"021-477015"
1980518,191723,"021-291823"
1980518,215251,"021-475071"
1980518,250282,"021-439406"
1980518,320080,"021-475067"
1980518,284669,"021-436981"
1939058,438603,"021-536383"
1957026,178661,"021-261527"
1957026,189653,"021-281578"
1957026,248255,"021-261527"
1957026,374536,"021-496722"
1957026,374544,"021-501190"
1957026,363316,"021-484879"
1957026,311440,"021-484871"
1957026,311437,"021-485885"
1957026,311438,"021-281578"
1957026,311441,"021-484874"
1957026,311442,"021-484875"
1957026,268912,"021-485884"
1957026,227418,"021-313632"
1957026,268911,"021-484868"
1957026,67401,"021-226580"
1980151,428230,"021-1820750"
1980151,428229,"021-1820718"
1980151,428232,"021-1821211"
1975901,288846,"021-399740"
1975901,452356,"021-526219"
1975901,181255,"021-266572"
1975901,234043,"021-330279"
1975901,253246,"021-363713"
1975901,288843,"021-419366"
1975901,336917,"021-456610"
1975901,372179,"021-480512"
1975901,372180,"021-477539"
1975901,372176,"021-477536"
1975901,372175,"021-491275"
1975901,372167,"021-482442"
1975901,288845,"021-395168"
1975901,253249,"021-375253"
1975901,253243,"021-360798"
1975901,234049,"021-353561"
1975901,216442,"021-309050"
1975901,181257,"021-266576"
1975901,288837,"021-396342"
1975901,288834,"021-394847"
1975901,288840,"021-400812"
1975901,288841,"021-413827"
1975901,153736,"021-240241"
1975901,336919,"021-428666"
1975901,336888,"021-447974"
1975901,288836,"021-394844"
1975901,181258,"021-272332"
1975901,452344,"021-512869"
1975901,452349,"021-520399"
1975901,452369,"021-537970"
1975901,452336,"021-503508"
1975901,452364,"021-537936"
1975901,372161,"021-471927"
1977516,367500,"021-494523"
1975661,235702,"021-1772319"
1975661,180855,"021-261743"
1958122,42097,"021-9999999999"
1958122,42076,"021-9999999999"
1958122,482965,"021-9999999999"
1958122,175711,"021-9999999999"
1958122,189667,"021-9999999999"
1958122,42082,"021-9999999999"
1951675,398078,"021-381891"
1937490,437677,"021-415128"
1937490,285764,"021-415128"
1937490,193223,"021-293301"
1937490,168611,"021-170301"
1973777,266465,"021-382353"
1973362,313708,"021-433514"
1973362,313708,"021-448856"
1973362,313708,"021-412221"
1973362,313708,"021-440063"
1973362,313708,"021-403152"
1973362,313708,"021-400321"
1973362,313708,"021-423989"
1973362,313708,"021-397602"
1973362,313708,"021-439638"
1973362,313708,"021-427610"
1973362,313708,"021-444496"
1973362,313708,"021-453170"
1973362,313708,"021-453547"
1973362,313708,"021-438185"
1973362,313708,"021-409370"
1973265,283405,"021-339747"
1973265,345435,"021-443747"
1973777,484124,"021-2028365"
1973777,418530,"021-382353"
1973777,308339,"021-401614"
1973777,308312,"021-413867"
1973777,266449,"021-355287"
1973777,233955,"021-237957"
1973777,183171,"021-241156"
1973777,202441,"021-302392"
1973777,167308,"021-237957"
1973777,167362,"021-241156"
1973777,308347,"021-423764"
1973777,355710,"021-237957"
1973777,355587,"021-441293"
1973777,355624,"021-439610"
1973777,484130,"021-2028371"
1973777,484120,"021-2043428"
1973777,484108,"021-2028363"
1974268,52588,"021-164902"
1974268,16431,"021-164902"
1936690,437609,"021-538989"
1964171,484415,"021-533561"
1936690,437613,"021-514304"
1936690,437623,"021-531920"
1936690,437606,"021-531941"
1936690,437620,"021-538972"
1936690,437617,"021-531944"
1936690,437616,"021-514301"
1936690,437630,"021-531917"
1936690,437629,"021-538998"
1936690,437633,"021-527071"
1936690,437635,"021-538297"
1936690,437632,"021-532108"
1936690,437631,"021-531950"
1936690,437634,"021-538995"
1969905,170049,"021-280145"
1981396,267906,"021-400247"
1981342,308940,"021-435936"
1981342,370139,"021-475112"
1981342,370166,"021-486205"
1981342,308495,"021-433698"
1977325,199879,"021-299849"
1977325,199882,"021-299853"
1977616,360687,"021-393482"
1977616,205306,"021-300629"
1977616,281571,"021-406939"
1977616,360691,"021-393482"
1977344,241181,"021-303200"
1977344,197524,"021-303200"
1977344,197524,"021-300836"
1976000,422936,"021-287722"
1976000,422937,"021-516295"
1977795,288429,"021-368192"
1977795,288429,"021-363072"
1978769,10104,"021-90291"
1975065,419744,"021-504232"
1975065,419739,"021-138576"
1975065,419742,"021-265841"
1975065,419743,"021-438971"
1967886,418378,"021-488692"
1967886,311773,"021-374097"
1967886,311770,"021-389113"
1967886,311787,"021-425501"
1967886,484249,"021-536930"
1967886,311772,"021-341623"
1967886,311779,"021-398109"
1967886,311785,"021-413997"
1967886,311776,"021-415056"
1967886,311784,"021-421611"
1967886,311778,"021-376267"
1967886,311777,"021-415302"
1967886,311774,"021-366044"
1967886,311781,"021-413821"
1967886,311775,"021-366042"
1967886,311764,"021-328449"
1967886,311780,"021-407849"
1967886,484245,"021-542583"
1967886,480231,"021-519111"
1973718,203900,"021-299897"
1973718,321188,"021-446258"
1964572,478016,"021-386324"
1964572,188381,"021-230445"
1964572,188381,"021-385746"
1964572,216898,"021-326238"
1980795,484891,"021-535482"
1981484,60806,"021-201201"
1933520,437085,"021-231334174"
1982417,437087,"021-442626"
1982417,437086,"021-521496"
1974643,419070,"021-501109"
1974643,362664,"021-464483"
1974643,283063,"021-353108"
1974643,283064,"021-432563"
1974643,284545,"021-343873"
1974643,284547,"021-402521"
1974643,284331,"021-398865"
1974643,284546,"021-388827"
1981121,310211,"021-419858"
1982025,254122,"021-464138"
1983769,368447,"021-1940913"
1983769,485419,"021-506214"
1975720,167006,"021-248886"
1982267,318156,"021-472834"
1982267,367832,"021-482941"
1982267,367834,"021-482942"
1982267,367835,"021-482943"
1982267,367836,"021-482940"
1982267,318155,"021-446027"
1982267,318159,"021-472831"
1982267,318157,"021-446028"
1982267,318158,"021-389936"
1982267,363622,"021-479730"
1982267,363623,"021-479114"
1980029,437609,"021-538989"
1980029,437613,"021-514304"
1980029,437623,"021-531920"
1980029,437606,"021-531941"
1980029,437620,"021-538972"
1980029,437617,"021-531944"
1980029,437616,"021-514301"
1980029,437630,"021-531917"
1980029,437629,"021-538998"
1980029,437633,"021-527071"
1980029,437635,"021-538297"
1980029,437632,"021-532108"
1980029,437631,"021-531950"
1980029,437634,"021-538995"
1980029,484887,"021-543763"
1980029,484885,"021-542917"
1976060,422369,"021-517586"
1976060,5354,"021-171931"
1976060,5354,"021-190576"
1976060,184600,"021-258877"
1976060,213875,"021-316911"
1976060,5332,"021-83906"
1976060,5332,"021-82811"
1970576,278250,"021-391161"
1957075,176400,"021-157788"
1975607,428425,"021-515752"
1975607,428425,"021-515751"
1976969,251714,"021-314895"
1976969,320373,"021-440896"
1976969,251703,"021-226285"
1976969,251688,"021-142476"
1977023,251608,"021-250809"
1977023,251613,"021-353376"
1977023,251606,"021-164927"
1977023,412516,"021-472171"
1973571,216924,"021-333403"
1973571,200451,"021-305817"
1973571,191762,"021-289807"
1973571,362861,"021-446881"
1974518,237706,"021-297055"
1974518,360688,"021-435147"
1974518,420347,"021-1951629"
1973208,268229,"021-221787"
1969759,269437,"021-410595"
1972869,366594,"021-483804"
1974327,435532,"021-501433"
1974327,435531,"021-516950"
1974327,435530,"021-516947"
1976028,308845,"021-433666"
1967523,310834,"021-358893"
1959308,199869,"021-181777"
1959308,199873,"021-181776"
1959308,199870,"021-181779"
1959308,199866,"021-202690"
1955065,479570,"021-425296"
1955065,479570,"021-425300"
1955065,477220,"021-329147"
1955065,480509,"021-533429"
1955065,479644,"021-462891"
1955065,480470,"021-519334"
1955065,480470,"021-519424"
1955065,479679,"021-446814"
1974963,172000,"021-235845"
1974963,233969,"021-356929"
1973001,10818,"021-9999999999"
1972947,16422,"021-100279"
1973001,10830,"021-86184"
1973001,10834,"021-11981"
1972947,16422,"021-104591"
1974336,244695,"021-200108"
1954187,454419,"021-505346"
1943853,367483,"021-496278"
