"FilingID","ReferenceID","Filing/Relying Adviser"
2000657,3163,"BIP GP LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         3163            2369
2000657,3169,"FUNDAMENTAL RESEARCH ASSOCIATES INC."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               3169            5878
2000657,3163,"FUNDAMENTAL RESEARCH ASSOCIATES INC."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               3163            5878
2000657,55195,"FUNDAMENTAL RESEARCH ASSOCIATES INC."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             55195            5878
2000657,3169,"PLOVER COVE MANAGEMENT LIMITED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     3169            7450
2000657,3163,"PLOVER COVE MANAGEMENT LIMITED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     3163            7450
2000657,3169,"WAM LP UK II LTD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   3169           12145
2000657,3163,"WAM LP UK II LTD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   3163           12145
2000657,55195,"WEISS ASSET MANAGEMENT LP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        55195
2000657,3169,"WEISS ASSET MANAGEMENT LP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          3169
2000657,3163,"WEISS ASSET MANAGEMENT LP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          3163
1978215,479669,"PRETIUM SMA MANAGER, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       479669            7669
1978215,479578,"PRETIUM SMA MANAGER, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       479578            7669
1978215,418857,"PRETIUM RESIDENTIAL CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     418857
1978215,418859,"PRETIUM RESIDENTIAL CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     418859
1978215,418848,"PRETIUM RESIDENTIAL CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     418848
1978215,252105,"PRETIUM RESIDENTIAL CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     252105
1978215,366322,"PRETIUM RESIDENTIAL CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     366322
1978215,302445,"PRETIUM RESIDENTIAL CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     302445
1978204,302450,"PRETIUM CREDIT CLO MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             302450            7683
1978204,303111,"PRETIUM CREDIT CLO MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             303111            7683
1978204,238569,"PRETIUM CREDIT CLO MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             238569            7683
1978204,396807,"PRETIUM CREDIT CLO MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             396807            7683
1978204,5573,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     5573
1978204,216775,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 216775
1978204,197177,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 197177
1978204,229992,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 229992
1978204,216737,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 216737
1978204,310220,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 310220
1978204,357036,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 357036
1978204,396999,"PRETIUM CREDIT MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 396999
2002064,414009,"STOCKWELL VENTURES, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        414009
2003258,487836,"LG OPERATING COMPANY, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      487836           12777
2003258,487837,"LG OPERATING COMPANY, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      487837           12777
2003258,487847,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487847
2003258,487838,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487838
2003258,487842,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487842
2003258,487856,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487856
2003258,487840,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487840
2003258,487860,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487860
2003258,487843,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487843
2003258,487855,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487855
2003258,487850,"LEON CAPITAL MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   487850
