FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1912945,"Y","","","","","","","","","",
1913100,"","","Y","","","","","","","",
1913525,"","","Y","","","","","","","",
1913959,"","Y","","","","","","","","",2024
1913975,"","","","","Y","","","","","",
1914745,"","","Y","","","","","","","",
1915006,"","","Y","","","","","","","",
1915180,"","Y","","","","","","","","",2024
1915771,"","","","","Y","","","","","",
1915833,"","","","","","Y","","","","",2024
1916237,"Y","","","","","","","","","Y",
1916304,"","","Y","","","","","","","",
1917167,"","Y","","","","","","","","",2024
1917233,"","","","","","Y","","","","",2024
1917275,"","Y","","","","","","","","",2024
1917300,"","Y","","","","","","","","",2024
1917349,"","","Y","","","","","","","",
1917420,"","Y","","","","","","","","",2024
1917553,"","","","","Y","","","","","",
1917575,"","Y","","","","","","","","",2024
1917610,"","Y","","","","","","","","",2024
1917831,"","","Y","","","","","","","",
1917896,"","Y","","","","","","","","",2024
1917949,"","Y","","","","","","","","",2024
1918004,"","","","","","Y","","","","",2024
1918155,"Y","","","","","","","","","Y",
1918185,"","Y","","","","","","","","",2024
1918305,"","Y","","","","","","","","",2024
1918688,"","","","","","Y","","","","",2024
1918700,"","Y","","","","","","","","",2024
1918740,"","","Y","","","","","","","",
1918797,"","Y","","","","","","","","",2024
1918840,"","Y","","","","","","","","",2024
1918848,"","","Y","","","","","","","",
1918849,"","Y","","","","","","","","",2024
1919056,"","Y","","","","","","","","",2024
1919058,"","Y","","","","","","","","",2024
1919090,"","Y","","","","","","","","",2024
1919096,"","Y","","","","","","","","",2024
1919097,"","Y","","","","","","","","",2024
1919103,"","Y","","","","","","","","",2024
1919166,"","Y","","","","","","","","",2024
1919197,"Y","","","","","","","","","",
1919403,"","Y","","","","","","","","",2024
1919424,"","Y","","","","","","","","",2024
1919450,"","Y","","","","","","","","",2024
1919495,"","","Y","","","","","","","",
1919531,"","","","","","","Y","","","",
1919831,"Y","","Y","","","","","","","",
1919841,"","Y","","","","","","","","",2024
1919845,"","","","","","","Y","","","",
1919961,"","","Y","","","","","","","",
1920092,"","Y","","","","","","","","",2024
1920311,"","","","Y","","","","","","",
1920388,"","","Y","","","","","","","",
1920451,"","Y","","","","","","","","",2024
1920463,"","","Y","","","","","","","",
1920490,"","Y","","","","","","","","",2024
1920518,"","","","","","Y","","","","",2024
1920687,"","Y","","","","","","","","",2024
1920690,"","","","","","Y","","","","",2024
1920723,"","Y","","","","","","","","",2024
1920794,"","Y","","","","","","","","",2024
1920871,"","","Y","","","","","","","",
1920926,"","Y","","","","","","","","",2024
1920960,"","","","","","Y","","","","",2024
1920961,"","","","","","Y","","","","",2024
1920963,"Y","","","","","","","","","",
1921001,"","","Y","","","","","","","",
1921073,"","","","","","Y","","","","",2024
1921074,"","Y","","","","","","","","",2024
1921077,"","","","","","Y","","","","",2024
1921079,"","Y","","","","","","","","",2024
1921080,"","","","","","Y","","","","",2024
1921082,"","","","","","Y","","","","",2024
1921083,"","","","","","Y","","","","",2024
1921127,"","","Y","","","","","","","",
1921146,"","Y","","","","","","","","",2024
1921183,"","","Y","","","","","","","",
1921199,"","Y","","","","","","","","",2024
1921222,"","","Y","","","","","","","",
1921432,"","","","","","Y","","","","",2024
1921457,"","","Y","","","","","","","",
1921461,"","Y","","","","","","","","",2024
1921500,"","","Y","","","","","","","",
1921531,"","Y","","","","","","","","",2024
1921579,"","Y","","","","","","","","",2024
1921621,"","","Y","","","","","","","",
1921669,"","","Y","","","","","","","",
1921736,"","Y","","","","","","","","",2024
1922048,"","","","","Y","","","","","",
1922136,"","","Y","","","","","","","",
1922272,"","Y","","","","","","","","",2024
1922287,"","Y","","","","","","","","",2024
1922379,"","","","","","Y","","","","",2024
1922428,"","","Y","","","","","","","",
1922435,"","Y","","","","","","","","",2024
1922471,"","","Y","","","","","","","",
1922515,"","Y","","","","","","","","",2024
1922527,"","Y","","","","","","","","",2024
1922568,"","Y","","","","","","","","",2024
1922578,"","Y","","","","","","","","",2024
1922582,"","","","","","Y","","","","",2024
1922682,"","Y","","","","","","","","",2024
1922719,"","","","","","Y","","","","",2024
1922721,"","Y","","","","","","","","",2024
1922736,"","Y","","","","","","","","",2024
1922737,"","Y","","","","","","","","",2024
1922766,"","Y","","","","","","","","",2024
1922797,"","Y","","","","","","","","",2024
1922804,"","Y","","","","","","","","",2024
1922815,"","Y","","","","","","","","",2024
1922825,"","Y","","","","","","","","",2024
1922831,"","Y","","","","","","","","",2024
1922867,"","","Y","","","","","","","",
1922875,"","Y","","","","","","","","",2024
1922914,"","Y","","","","","","","","",2024
1922916,"","Y","","","","","","","","",2024
1922921,"","Y","","","","","","","","",2024
1922933,"","Y","","","","","","","","",2024
1922962,"","Y","","","","","","","","",2024
1922970,"","Y","","","","","","","","",2024
1922985,"","Y","","","","","","","","",2024
1923028,"","","","","Y","","","Y","","",
1923060,"","Y","","","","","","","","",2024
1923142,"","Y","","","","","","","","",2024
1923173,"","Y","","","","","","","","",2024
1923174,"","Y","","","","","","","","",2024
1923190,"","Y","","","","","","","","",2024
1923225,"","Y","","","","","","","","",2024
1923227,"","Y","","","","","","","","",2024
1923248,"","Y","","","","","","","","",2024
1923259,"","Y","","","","","","","","",2024
1923268,"","Y","","","","","","","","",2024
1923310,"","","","","","Y","","","","",2024
1923322,"","Y","","","","","","","","",2024
1923348,"","Y","","","","","","","","",2024
1923362,"","Y","","","","","","","","",2024
1923366,"","Y","","","","","","","","",2024
1923419,"Y","Y","","","","","","","","",2024
1923450,"","Y","","","","","","","","",2024
1923457,"","Y","","","","","","","","",2024
1923470,"","Y","","","","","","","","",2024
1923476,"","Y","","","","","","","","",2024
1923477,"","Y","","","","","","","","",2024
1923512,"","Y","","","","","","","","",2024
1923520,"","Y","","","","","","","","",2024
1923530,"","Y","","","","","","","","",2024
1923534,"","Y","","","","","","","","",2024
1923539,"","Y","","","","","","","","",2024
1923540,"","Y","","","","","","","","",2024
1923546,"","Y","","","","","","","","",2024
1923547,"","Y","","","","","","","","",2024
1923552,"","Y","","","","","","","","",2024
1923574,"","Y","","","","","","","","",2024
1923576,"","Y","","","","","","","","",2024
1923577,"","Y","","","","","","","","",2024
1923582,"","Y","","","","","","","","",2024
1923593,"","Y","","","","","","","","",2024
1923594,"","Y","","","","","","","","",2024
1923607,"","Y","","","","","","","","",2024
1923617,"","Y","","","","","","","","",2024
1923633,"","Y","","","","","","","","",2024
1923659,"","Y","","","","","","","","",2024
1923664,"","Y","","","","","","","","",2024
1923688,"","Y","","","","","","","","",2024
1923711,"","Y","","","","","","","","",2024
1923712,"","Y","","","","","","","","",2024
1923715,"","","","","","Y","","","","",2024
1923744,"","Y","","","","","","","","",2024
1923746,"","Y","","","","","","","","",2024
1923751,"","","","","","Y","","","","",2024
1923755,"","","","","","Y","","","","",2024
1923829,"","Y","","","","","","","","",2024
1923830,"","Y","","","","","","","","",2024
1923854,"","Y","","","","","","","","",2024
1923856,"","Y","","","","","","","","",2024
1923875,"","Y","","","","","","","","",2024
1923888,"","Y","","","","","","","","",2024
1923902,"","Y","","","","","","","","",2024
1923920,"","Y","","","","","","","","",2024
1923930,"","Y","","","","","","","","",2024
1923952,"","","Y","","","","","","","",
1923957,"","Y","","","","","","","","",2024
1923975,"","Y","","","","","","","","",2024
1923979,"","Y","","","","","","","","",2024
1923997,"","Y","","","","","","","","",2024
1924012,"","Y","","","","","","","","",2024
1924027,"","Y","","","","","","","","",2024
1924044,"","Y","","","","","","","","",2024
1924048,"","Y","","","","","","","","",2024
1924049,"","Y","","","","","","","","",2024
1924088,"","Y","","","","","","","","",2024
1924090,"","Y","","","","","","","","",2024
1924096,"","","Y","","","","","","","",
1924127,"","Y","","","","","","","","",2024
1924133,"","","","","","Y","","","","",2024
1924135,"","","","","","Y","","","","",2024
1924137,"","Y","","","","","","","","",2024
1924138,"","","","","","Y","","","","",2024
1924173,"","Y","","","","","","","","",2024
1924179,"","Y","","","","","","","","",2024
1924183,"","Y","","","","","","","","",2024
1924191,"","Y","","","","","","","","",2024
1924193,"","Y","","","","","","","","",2024
1924198,"","Y","","","","","","","","",2024
1924205,"","Y","","","","","","","","",2024
1924208,"","Y","","","","","","","","",2024
1924210,"","Y","","","","","","","","",2024
1924211,"","Y","","","","","","","","",2024
1924215,"","Y","","","","","","","","",2024
1924225,"","Y","","","","","","","","",2024
1924229,"","Y","","","","","","","","",2024
1924234,"","Y","","","","","","","","",2024
1924239,"","Y","","","","","","","","",2024
1924251,"","Y","","","","","","","","",2024
1924277,"","Y","","","","","","","","",2024
1924281,"","Y","","","","","","","","",2024
1924282,"","Y","","","","","","","","",2024
1924284,"","Y","","","","","","","","",2024
1924293,"","Y","","","","","","","","",2024
1924310,"","Y","","","","","","","","",2024
1924320,"","Y","","","","","","","","",2024
1924335,"","Y","","","","","","","","",2024
1924351,"","Y","","","","","","","","",2024
1924354,"","Y","","","","","","","","",2024
1924358,"","","","","Y","","","","","",
1924372,"","Y","","","","","","","","",2024
1924390,"","Y","","","","","","","","",2024
1924396,"","","","","","Y","","","","",2024
1924411,"","Y","","","","","","","","",2024
1924427,"","Y","","","","","","","","",2024
1924431,"","Y","","","","","","","","",2024
1924439,"","","Y","","","","","","","",
1924443,"","Y","","","","","","","","",2024
1924455,"","Y","","","","","","","","",2024
1924458,"","Y","","","","","","","","",2024
1924469,"","Y","","","","","","","","",2024
1924481,"","Y","","","","","","","","",2024
1924484,"","Y","","","","","","","","",2024
1924500,"","Y","","","","","","","","",2024
1924523,"","Y","","","","","","","","",2024
1924528,"","Y","","","","","","","","",2024
1924575,"","Y","","","","","","","","",2024
1924576,"","Y","","","","","","","","",2024
1924579,"","Y","","","","","","","","",2024
1924588,"","Y","","","","","","","","",2024
1924609,"","Y","","","","","","","","",2024
1924621,"","Y","","","","","","","","",2024
1924638,"","Y","","","","","","","","",2024
1924640,"","","","","","Y","","","","",2024
1924651,"","","","","","Y","","","","",2024
1924682,"","Y","","","","","","","","",2024
1924686,"","","","","","Y","","","","",2024
1924691,"","Y","","","","","","","","",2024
1924704,"","Y","","","","","","","","",2024
1924732,"","Y","","","","","","","","",2024
1924747,"","","","","","Y","","","","",2024
1924755,"","Y","","","","","","","","",2024
1924800,"","Y","","","","","","","","",2024
1924801,"","Y","","","","","","","","",2024
1924815,"","","Y","","","","","","","",
1924819,"","Y","","","","","","","","",2024
1924844,"","Y","","","","","","","","",2024
1924846,"","Y","","","","","","","","",2024
1924853,"","Y","","","","","","","","",2024
1924863,"","Y","","","","","","","","",2024
1924866,"","Y","","","","","","","","",2024
1924910,"","Y","","","","","","","","",2024
1924936,"","Y","","","","","","","","",2024
1924962,"","Y","","","","","","","","",2024
1924963,"","Y","","","","","","","","",2024
1924976,"","Y","","","","","","","","",2024
1924984,"","Y","","","","","","","","",2024
1924999,"","Y","","","","","","","","",2024
1925008,"","Y","","","","","","","","",2024
1925012,"","Y","","","","","","","","",2024
1925020,"","Y","","","","","","","","",2024
1925024,"","Y","","","","","","","","",2024
