"FilingID","Reference ID","CIK"
1963718,4200,1697142
1964586,3303,1576100
1964586,3304,1616023
1950137,2205,1583825
1930036,1702,1731107
1950093,2479,147654
1962122,9762,2051319
1946057,1548,1590935
1946057,1644,1426823
1946057,1647,1484068
1946057,1648,1426822
1946057,1650,1426818
1946057,1651,1426821
1946057,1654,1615872
1946057,1655,1426817
1962242,2321,1800919
1962242,2322,1846330
1962242,2325,1484832
1962242,2328,1631018
1962242,2329,1766897
1962242,2330,1911633
1962242,3740,1667831
1962242,3742,1597540
1962242,3789,1818016
1962242,6061,1667801
1962242,7873,2014122
1962242,7875,2014011
1962242,7922,1911666
1962242,8843,2013854
1962242,9328,1828408
1962242,9330,2013865
1962242,10068,2013864
1962242,10308,2013817
1962242,10728,2014123
1962242,11563,1988584
1964102,11013,1976932
1960264,1771,1531024
1958485,1537,1689919
1953551,8426,1727111
1954528,5150,1684171
1954528,5154,1462608
1954528,5158,1230743
1954528,5162,1681591
1954528,5163,1684166000
1954528,5164,1683504000
1954528,5165,1683440
1954528,5166,1462521
1954528,5167,1462679
1954528,5168,1462678
1954528,5169,1463332
1954528,5170,1463333
1954528,5175,1525649
1954528,5178,1683445
1954528,5186,1684167
1954528,5187,1525567
1954528,5191,1539360
1954528,5192,1462675
1954528,5193,1462666
1954528,5194,1462674
1954528,5195,1462673
1954528,5197,1683992
1954528,5198,1684352
1954528,5199,1684351
1954528,5201,1462578
1954528,5202,1684170
1954528,5203,1525558
1954528,5206,1462668
1954528,5207,1683816
1954528,5210,1508086
1954528,5211,1683967
1954528,6037,1683949
1954528,6056,1684357
1971251,12110,2042049
1970544,2912,1442275
1950899,3616,1157524
1957155,1965,903954
1954849,4065,1563843
1961769,3695,1730418
1961769,3704,1731812
1965012,3425,1667638
1965012,3426,1616895
1965012,3430,1616360
1965012,5899,1635674
1962537,4285,1757240
1951335,1532,1138420
1955011,7869,1313688
1955011,8084,1048445
1948382,1303,1252267
1948382,1332,1521338
1948382,1334,1633593
1948382,1350,1650425
1948382,5482,1893413
1950675,11815,1651424
1951002,1303,1252267
1951002,1332,1521338
1951002,1334,1633593
1951002,1350,1650425
1951002,5482,1893413
1928953,2369,1298983
1955380,1303,1252267
1955380,1332,1521338
1955380,1334,1633593
1955380,1350,1650425
1955380,5482,1893413
1956444,7104,1630228
1956616,12351,1569242
1950864,10021,1118947
1963315,3801,1318740
1961730,4039,1501577
1967279,11815,1651424
1949067,4142,1375882
1950186,10328,1910444
1961840,7813,1848809
1963413,6761,1833090
1949924,1275,1564355
1934716,1814,1441379
1934716,2353,1610813
1956195,1391,1658590
1956195,1393,1658591
1956195,1397,1590802
1956195,1399,1658592
1953063,9850,1771179
1940240,2285,1315745
1943758,5302,1375345
1958402,5084,1523664
1958402,5087,1523663
1958402,5091,1610596
1958402,6267,1935805
1958402,7513,1935808
1958402,9506,1936092
1967080,8279,1818191
1967080,8280,1824918
1967080,8281,1842677
1967080,8282,1843347
1967836,2158,1338952
1967836,2158,1338951
1967836,2158,1338970
1967836,2158,1491095
1967836,2158,1409207
1967836,2158,1491096
1958892,5088,861040
1953000,3652,1709041
1953000,3653,1709043
1953000,3654,1709042
1951875,3085,929408
1953570,6463,1317904
1953570,6468,1742463
1933396,9324,1882800
1964400,9324,1882800
1970276,10021,1118947
1966735,3353,1569653
1966735,3357,1599349
1966735,3870,1518837
1966735,5911,1561691
1941600,1877,1719281
1936030,5927,1390110
1958916,11511,1618451
1966903,12052,2015486
1938827,12382,1352914
1943755,3570,1632173
1973655,10582,1877623
1945223,9966,1730910
1950112,11169,2053573
1950112,11976,2053732
1959206,1420,1555793
1933332,5631,1713142
1933332,5647,1616626
1956480,1679,1633870
1968148,4629,1647094
1960681,1879,1103633
1974389,1879,1103633
1958387,10442,168707
1958387,10442,1796461
1950775,1789,1599822
1950775,1796,1666791
1950775,1801,1698051
1950775,1808,1603465
1950775,5757,1763844
1958824,1303,1252267
1958824,1319,2039259
1958824,1332,1521338
1958824,1334,1633593
1958824,1350,1650425
1958824,1688,2038717
1958824,5481,2038630
1958824,5482,1893413
1958824,5776,2038702
1958824,5865,2039108
1958824,5883,2038829
1958824,6695,2038718
1958824,6829,2038661
1958824,7025,2038701
1958824,7092,2038890
1958824,8092,2038831
1958824,8093,2038691
1958824,8170,2039110
1958824,8350,2038693
1958824,8351,2038603
1958824,8810,2038903
1958824,8948,2038905
1958824,8973,2038827
1958824,9063,2038662
1958824,9075,2038900
1958824,9364,2038832
1958824,9607,2039255
1958824,9808,2038658
1958824,9864,2038901
1958824,9911,2038830
1958824,9993,2038695
1958824,10367,2038685
1958824,10368,2038689
1958824,10826,2038690
1958824,10873,2038660
1958824,11031,2038902
1952235,1303,1252267
1952235,1332,1521338
1952235,1334,1633593
1952235,1350,1650425
1952235,5482,1893413
1945843,8480,1609286
1955964,1303,1252267
1955964,1332,1521338
1955964,1334,1633593
1955964,1350,1650425
1955964,5482,1893413
1962732,2626,1569242
1964354,2897,1026081
1963471,2014,1094896
1963471,2014,1024890
1939689,6690,1652115
1938187,1384,1561331
1971586,3804,1569436
1958824,11032,2038699
1964586,3298,1576089
1964586,3299,1616024
