"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
2011324,"CAPITAL FACTORY VENTURES, LP - A1",805-2591342272,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - A2",805-7543856904,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - A3",805-4324188369,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - A4",805-7487014295,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - B1",805-1635753309,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - B2",805-5785567684,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - B3",805-5994984108,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - B4",805-7844450513,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - C1",805-7719016681,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - C2",805-4793427432,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - C3",805-1023803854,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - C4",805-5021794474,"ANGELLIST ADVISORS","802-78135","N"
2011324,"AP-0213 FUND IV, A SERIES OF CAPITAL FACTORY, LP",805-1822010330,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - D1",805-9175514893,"ANGELLIST ADVISORS","802-78135","N"
2011324,"QP-AP-0213 FUND IV, A SERIES OF CAPITAL FACTORY, LP",805-9429876801,"ANGELLIST ADVISORS","802-78135","N"
2011324,"CAPITAL FACTORY VENTURES, LP - D2",805-5200685142,"ANGELLIST ADVISORS","802-78135","N"
