"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1999342,"ACORN BIOVENTURES, L.P.",805-1603524425,227186,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",123319054,1000000,18,3,0,"Y",22,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1999342,"ACORN BIOVENTURES 2, L.P.",805-7045427799,281955,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",115877050,1000000,24,4,0,"Y",49,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1995505,"CRSNXT, LLC",805-8292559457,312914,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",6000000,50000,16,6,0,"Y",0,"N","N","Y",81,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CRSCLM, LLC",805-2828880942,312915,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",1776000,10000,18,2,0,"Y",6,"N","N","Y",72,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CRSSTRP II, LLC",805-6678038568,312912,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",5841600,1600,30,1,0,"Y",3,"N","N","Y",30,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CAERUS SX SP I LLC",805-2581016273,206409,"Delaware","United States","Y","Y","N","N","",,"Y","N","N","Venture Capital Fund","",5000000,5000,18,1,0,"Y",0,"N","N","Y",7,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CAERUS FICC, LLC",805-7365709622,232824,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",3000000,100000,7,0,0,"Y",0,"N","N","Y",2,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CRSBB, LLC",805-3014011200,232834,"Delaware","United States","Y","Y","N","N","",,"Y","N","N","Venture Capital Fund","",800000,100000,7,19,0,"Y",0,"N","N","Y",3,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CRSX III, LLC",805-2839300392,252493,"Delaware","United States","Y","Y","N","N","",,"Y","N","N","Venture Capital Fund","",10250000,10000,18,0,0,"Y",6,"N","N","Y",7,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1995505,"CRSUB I, LLC",805-9905341945,232836,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",999999,15000,3,24,0,"Y",0,"N","N","Y",2,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
