"FilingID","Name","CRD Number","SEC Number"
1995820,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1983004,"HARBOURVEST PARTNERS, LLC",109846,"801-53287"
1998727,"DYNASTY WEALTH MANAGEMENT, LLC",153377,"801-71301"
1983827,"NOMURA CORPORATE RESEARCH AND ASSET MANAGEMENT INC",110411,"801-38965"
1999467,"PRIVATE CAPITAL MANAGEMENT, LLC",165306,"801-77650"
2000067,"MARINER WEALTH",140195,"801-66632"
1999344,"SOLOMON API LLC",159471,"801-113882"
1997132,"CLOVERFIELDS CAPITAL GROUP, LP",306590,"801-117829"
1997620,"YORKVILLE ADVISORS GLOBAL, LP",165390,"801-126109"
1992027,"AIP CAPITAL ADVISORS LLC",328465,"801-129437"
1995827,"GOLDEN STATE WEALTH MANAGEMENT, LLC",167995,"801-107445"
1996440,"JJFT MANAGEMENT, LLC",316526,""
1996290,"CATALYST CAPITAL ADVISORS LLC",139895,"801-66886"
1996405,"STEEL GROVE CAPITAL ADVISORS, LLC",115231,"801-60517"
1995306,"5CLP ADVISOR",328959,"801-129884"
1997603,"LEGACY WEALTH MANAGEMENT GROUP, INC.",322235,"801-126092"
1995007,"FORT WASHINGTON INVESTMENT ADVISORS INC",107126,"801-37235"
1995016,"SOLOMON API LLC",159471,"801-113882"
1995159,"B. RILEY WEALTH ADVISORS, INC.",115927,"801-64837"
1994855,"LEGACY WEALTH MANAGEMENT GROUP, INC.",322235,"801-126092"
1997390,"TRUST ADVISORY GROUP LTD",106926,"801-46919"
1997400,"STONEX ADVISORS INC.",174182,"801-80747"
1996597,"MESIROW FINANCIAL PRIVATE EQUITY ADVISORS, INC.",112084,"801-57914"
1992729,"MERITAS WEALTH MANAGEMENT, LLC",148565,"801-69687"
1995112,"QUOTIENT WEALTH PARTNERS, LLC",326819,"801-128380"
1999898,"OPPENHEIMER ASSET MANAGEMENT",105559,"801-31427"
2000505,"MERCER GLOBAL ADVISORS INC.",147363,"801-69271"
2000555,"YORKVILLE ADVISORS GLOBAL, LP",165390,"801-126109"
1990043,"LINCOLN ADVISORS",112175,"801-42158"
1996939,"REVOLUTION PARTNERS, LLC",170310,"801-122898"
1997154,"TRU INDEPENDENCE ASSET MANAGEMENT 2, LLC",309098,"801-118810"
1996767,"CETERA INVESTMENT ADVISERS LLC",105644,"801-20406"
1992266,"IFC CORE INVESTMENT MANAGEMENT LLC",302090,"801-117464"
1995406,"PITON INVESTMENT MANAGEMENT, LP",282517,"801-107227"
1995597,"49 FINANCIAL",319484,"801-123687"
1996555,"CATALYST CAPITAL ADVISORS LLC",139895,"801-66886"
1993190,"NOMURA CORPORATE RESEARCH AND ASSET MANAGEMENT INC",110411,"801-38965"
1996715,"OSAIC WEALTH, INC.",23131,"801-54859"
1996130,"CETERA INVESTMENT ADVISERS LLC",105644,"801-20406"
1997389,"TRUST ADVISORY GROUP LTD",106926,"801-46919"
1992361,"BLUE OWL REAL ESTATE CAPITAL LLC",165132,"801-77141"
1995517,"INLIGHT WEALTH",289908,"801-111767"
1995603,"49 FINANCIAL",319484,"801-123687"
1988956,"UMB FINANCIAL SERVICES, INC.",17073,"801-62967"
1996421,"CAPE INVESTMENT ADVISORY, INC.",146384,"801-71349"
1996429,"LEGACY WEALTH MANAGEMENT GROUP, INC.",322235,"801-126092"
1982745,"YORKVILLE ADVISORS GLOBAL, LP",165390,"801-126109"
1996889,"ELDRIDGE CREDIT ADVISERS, LLC",155736,"801-73096"
1999650,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1993494,"FORTRESS WEALTH GROUP",308968,"801-118769"
1995170,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
1995176,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
1996650,"THIRD POINT LLC",137927,"801-65088"
1977946,"INNOVATIVE PRIVATE WEALTH MANAGEMENT INC.",324586,"801-127387"
1998198,"ALLIANCEBERNSTEIN L.P.",108477,"801-56720"
1997847,"BRANZAN INVESTMENT ADVISORS, INC.",120783,"801-66261"
1983424,"MUSIC ROW WEALTH MANAGEMENT",288944,"801-110818"
1999179,"RPG FAMILY WEALTH ADVISORY, LLC",158528,"801-72631"
1997851,"BRANZAN INVESTMENT ADVISORS, INC.",120783,"801-66261"
2000676,"CANTOR FITZGERALD INVESTMENT ADVISORS",159296,"801-72852"
1997876,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1998572,"ASTATINE INVESTMENT PARTNERS",311095,"801-119855"
1999228,"GOLDEN STATE WEALTH MANAGEMENT, LLC",167995,"801-107445"
1996055,"CONCURRENT INVESTMENT ADVISORS, LLC",323135,"801-126555"
1998402,"CANTOR FITZGERALD INVESTMENT ADVISORS",159296,"801-72852"
1998201,"ALLIANCEBERNSTEIN L.P.",108477,"801-56720"
2000698,"CROSSMARK GLOBAL INVESTMENTS, INC.",113360,"801-17695"
1996074,"QUOTIENT WEALTH PARTNERS, LLC",326819,"801-128380"
1996342,"CANTOR FITZGERALD INVESTMENT ADVISORS",159296,"801-72852"
1995944,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1995947,"AGL CREDIT MANAGEMENT LLC",299601,"801-114401"
