"FilingID","ReferenceID","CIK"
1990196,129502,1050459
1990196,129502,1050459
1990196,238400,1388403
1990196,238400,1388403
1990196,238402,1559921
1990196,238402,1559921
1990196,238403,1034551
1990196,238403,1034551
1990196,238404,106614
1990196,238404,106614
1990196,238406,1415064
1990196,238406,1415064
1990196,238407,1579406
1990196,238407,1579406
1990196,238410,1654470
1990196,238410,1654470
1990196,238411,290336
1990196,238411,290336
1990196,238412,108069
1990196,238412,108069
1990196,238412,108069
1990196,238412,108069
1990196,238414,1002197
1990196,238414,1002197
1990196,238416,1006249
1990196,238416,1006249
1990196,238417,1559920
1990196,238417,1559920
1990196,238418,1388402
1990196,238418,1388402
1990196,238420,913414
1990196,238420,913414
1990196,238421,1322981
1990196,238421,1322981
1990196,238422,1461626
1990196,238422,1461626
1990196,238423,1559919
1990196,238423,1559919
1990196,238426,108928
1990196,238426,108928
1990196,238427,1528987
1990196,238427,1528987
1990196,238429,1549649
1990196,238429,1549649
1990196,238434,1579407
1990196,238434,1579407
1990196,299069,1512562
1990196,299069,1512562
1992567,250835,9015
1992567,250836,225602
1992567,250836,1306394
1992567,250837,930012
1992567,250843,1568131
1992567,250844,1624302
1992567,250862,924777
1992567,277471,1898590
1992567,277472,1103653
1988635,378515,1988412
1989420,233262,102909
1989420,233263,1811242
1989420,233264,1550100
1989420,233265,1680208
1989420,233266,1816749
1989420,351396,1816312
1989420,351423,1114858
1989425,209880,102909
1989425,209939,1811242
1989425,302071,1680208
1989425,302073,1550100
1989425,351374,1816678
1989425,351382,1816749
1989425,368384,1114858
1992095,352463,1577774
1992095,352469,1569369
1992090,336508,1577774
1992492,252686,9015
1992492,252689,1606779
1992492,252690,1568131
1992492,252692,225602
1992492,252692,1306394
1992492,252694,924777
1992492,257787,1624302
1992492,277777,930012
1992492,277780,1898590
1992492,277781,1103653
1992500,164575,9015
1992500,164576,930012
1992500,164578,225602
1992500,164578,1306394
1992500,164579,924777
1992500,224675,1606779
1992500,224682,1624302
1992500,257710,1568131
1992500,277662,1898590
1992500,277663,1103653
1992491,117576,9015
1992491,117596,930012
1992491,250728,1568131
1992491,250824,1606779
1992491,257750,1624302
1992491,277347,1898590
1992491,277348,1103653
1992491,277349,924777
1983595,270651,1774043
1983595,270841,1735804
1983595,276188,1824569
1983595,276189,1582384
1983595,376992,1905615
1986593,292297,1473517
1986593,292300,1494443
1986593,292301,1373442
1986552,383866,350778
1983258,292693,1704506
1987308,270413,1056108
1987308,393817,1505708
1981434,308802,1855502
1981434,376988,1831423
1983671,249183,802114241
1982793,234677,1704506
1989363,381215,1093589
1989363,381216,1845254
1989363,381221,1224324
1989363,381222,1329883
1989363,390425,1765768
1993723,335561,1519964
1989413,211285,1114858
1989413,211286,102909
1989413,211287,1811242
1989413,211288,1680208
1989413,211289,1550100
1989413,301871,1816678
1989413,302300,1816312
1992190,265691,938772
1992190,265693,1304145
1992190,265695,1304143
1992190,265710,1376503
1992190,265723,1022437
1992190,265726,1179124
1992190,265732,1376501
1987980,233262,102909
1987980,233263,1811242
1987980,233264,1550100
1987980,233265,1680208
1987980,233266,1816749
1987980,351396,1816312
1987980,351423,1114858
1994410,265691,938772
1994410,265693,1304145
1994410,265695,1304143
1994410,265710,1376503
1994410,265723,1022437
1994410,265726,1179124
1994410,265732,1376501
