"FilingID","Name","CRD Number","SEC Number"
1990090,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1990578,"SYKON CAPITAL LLC",326728,"801-128087"
1989597,"CAPITAL RESEARCH AND MANAGEMENT COMPANY",110885,"801-8055"
1989470,"NS PARTNERS LTD",110625,"801-26315"
1993784,"49 FINANCIAL",319484,"801-123687"
1927502,"LEGACY WEALTH MANAGEMENT GROUP, INC.",322235,"801-126092"
1954971,"AIP CAPITAL ADVISORS LLC",328465,"801-129437"
1993295,"CERITY PARTNERS LLC",151559,"801-70719"
1988189,"BRANZAN INVESTMENT ADVISORS, INC.",120783,"801-66261"
1989723,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1989610,"JJFT MANAGEMENT, LLC",316526,""
1989673,"GOLDEN STATE WEALTH MANAGEMENT, LLC",167995,"801-107445"
1984824,"GUGGENHEIM PARTNERS INVESTMENT MANAGEMENT, LLC",137432,"801-66786"
1989783,"CALTON & ASSOCIATES, INC.",20999,"801-70036"
1988402,"ELDRIDGE CREDIT ADVISERS, LLC",155736,"801-73096"
1990225,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1990094,"SLAVIC MUTUAL FUNDS MANAGEMENT CORP.",113833,"801-29099"
1990339,"SYKON CAPITAL LLC",326728,"801-128087"
1993228,"SYKON CAPITAL LLC",326728,"801-128087"
1993239,"STRIVE ASSET MANAGEMENT",322039,"801-125907"
1986880,"CAPITAL RESEARCH AND MANAGEMENT COMPANY",110885,"801-8055"
1992473,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1992497,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1992669,"FORT WASHINGTON INVESTMENT ADVISORS INC",107126,"801-37235"
1988135,"ARISTOTLE CAPITAL MANAGEMENT, LLC",109876,"801-60014"
1988598,"JJFT MANAGEMENT, LLC",316526,""
1989697,"TRU INDEPENDENCE ASSET MANAGEMENT 2, LLC",309098,"801-118810"
1993268,"49 FINANCIAL",319484,"801-123687"
1992685,"SEARCY FINANCIAL SERVICES, INC.",105807,"801-16377"
1989361,"STONE POINT CREDIT ADVISER LLC",310377,"801-119517"
1991871,"VAN HULZEN FINANCIAL ADVISORS",116632,"801-61884"
1987253,"BOLT FINANCIAL GROUP, INC",291799,"801-132004"
1988064,"ADAPTIVE INVESTMENTS",281201,"801-106545"
1992477,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1992489,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1992503,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1986663,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1973512,"COLUMBIA CENT CLO ADVISERS, LLC",310864,"801-119647"
1994406,"PRIVATE ADVISOR GROUP, LLC",155216,"801-72060"
1994318,"49 FINANCIAL",319484,"801-123687"
1992844,"BRANZAN INVESTMENT ADVISORS, INC.",120783,"801-66261"
1986968,"RIA ADVISORS",150661,"801-77832"
1982743,"B. RILEY WEALTH ADVISORS, INC.",115927,"801-64837"
1993542,"USI ADVISORS",108113,"801-56622"
1987489,"CAPE INVESTMENT ADVISORY, INC.",146384,"801-71349"
1988889,"CERITY PARTNERS LLC",151559,"801-70719"
1991908,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1987381,"CORDOBA ADVISORY PARTNERS LLC",310199,"801-121538"
1944534,"LINCOLN ADVISORS",112175,"801-42158"
1987389,"SENECA CAPITAL MANAGEMENT, LLC",288206,"801-121186"
1987424,"ADVISORS CAPITAL MANAGEMENT, LLC",112266,"801-62058"
1987388,"SCIRE FUND III GP, LLC",323864,"801-126879"
1990219,"FORT WASHINGTON INVESTMENT ADVISORS INC",107126,"801-37235"
1990289,"SYKON CAPITAL LLC",326728,"801-128087"
1990044,"J.P. MORGAN SECURITIES LLC",79,"801-3702"
1978783,"CANTOR FITZGERALD INVESTMENT ADVISORS",159296,"801-72852"
1994193,"CAPE INVESTMENT ADVISORY, INC.",146384,"801-71349"
1991962,"DYNASTY WEALTH MANAGEMENT, LLC",153377,"801-71301"
1994279,"ZACKS INVESTMENT MANAGEMENT, INC.",110897,"801-40592"
1992451,"WBI INVESTMENTS, LLC",106336,"801-22873"
1994940,"ADAPTIVE INVESTMENTS",281201,"801-106545"
1988434,"OPPENHEIMER ASSET MANAGEMENT",105559,"801-31427"
1993841,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1992867,"THURSTON SPRINGER ADVISORS",299201,"801-114256"
1991755,"JJFT MANAGEMENT, LLC",316526,""
1986590,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1986673,"CLOVERFIELDS CAPITAL GROUP, LP",306590,"801-117829"
1975735,"PGIM, INC.",105676,"801-22808"
1986759,"MASON STREET ADVISORS, LLC",114085,"801-60721"
1990062,"PACIFIC COAST FIDUCIARY LLC",330334,"801-129912"
1989978,"HUNT INVESTMENT MANAGEMENT, LLC",151744,"801-70653"
1992953,"BRANZAN INVESTMENT ADVISORS, INC.",120783,"801-66261"
1987851,"WESTCHESTER CAPITAL MANAGEMENT, LLC",155686,"801-72002"
1987877,"CAPITAL RESEARCH AND MANAGEMENT COMPANY",110885,"801-8055"
1987537,"MATSON MONEY, INC.",110425,"801-40176"
1988642,"MERCER GLOBAL ADVISORS INC.",147363,"801-69271"
