"FilingID","Representation 1","Representation 2","Representation 3"
1988117,"Y","Y","Y"
1989738,"N","N","Y"
1993337,"Y","Y","N"
1990427,"Y","Y","Y"
1992374,"Y","Y","N"
1985528,"N","N","Y"
1986845,"N","N","Y"
1986890,"N","N","Y"
1992801,"Y","Y","Y"
1988700,"Y","Y","Y"
1981579,"N","N","Y"
1978171,"Y","Y","N"
1993332,"Y","Y","N"
1992285,"N","N","Y"
1983137,"N","N","Y"
1987086,"N","N","Y"
1980138,"N","N","Y"
1987530,"Y","N","Y"
1985919,"N","N","Y"
1991654,"N","N","Y"
1988134,"Y","Y","N"
1989120,"N","N","Y"
1993669,"N","N","Y"
1987055,"Y","Y","Y"
1988551,"N","N","Y"
1988780,"N","N","Y"
1990347,"Y","Y","Y"
1987887,"N","N","Y"
1988643,"Y","Y","Y"
