"FilingID","Acquired Firm","SEC File Number","CRD Number"
1980160,"CHARTER CAPITAL MANAGEMENT, INC","801-16127",35919
1964249,"PARVUS ASSET MANAGEMENT EUROPE LIMITED","801-80824",174027
1973223,"MCKINLEY CAPITAL MANAGEMENT, LLC","801-38751",106173
1977450,"HERITAGE FINANCIAL ADVISORS, LLC","801-110101",154955
1976688,"SENTINEL PENSION ADVISORS INC","801-55783",109901
