"FilingID","Reference ID","CIK"
2007102,1303,1252267
2007102,1319,2039259
2007102,1332,1521338
2007102,1334,1633593
2007102,1350,1650425
2007102,1688,2038717
2007102,5481,2038630
2007102,5482,1893413
2007102,5776,2038702
2007102,5865,2039108
2007102,5883,2038829
2007102,6695,2038718
2007102,6829,2038661
2007102,7025,2038701
2007102,7092,2038890
2007102,8092,2038831
2007102,8093,2038691
2007102,8170,2039110
2007102,8350,2038693
2007102,8351,2038603
2007102,8810,2038903
2007102,8948,2038905
2007102,8973,2038827
2007102,9063,2038662
2007102,9075,2038900
2007102,9364,2038832
2007102,9607,2039255
2007102,9808,2038658
2007102,9864,2038901
2007102,9911,2038830
2007102,9993,2038695
2007102,10367,2038685
2007102,10368,2038689
2007102,10826,2038690
2007102,10873,2038660
2007102,11031,2038902
2007102,11032,2038699
2010397,5084,1523664
2010397,5087,1523663
2010397,5091,1610596
2010397,6267,1935805
2010397,7513,1935808
2010397,9506,1936092
2006999,1548,1590935
2006999,1644,1426823
2006999,1647,1484068
2006999,1648,1426822
2006999,1650,1426818
2006999,1651,1426821
2006999,1654,1615872
2006999,1655,1426817
2010353,2321,1800919
2010353,2322,1846330
2010353,2325,1484832
2010353,2328,1631018
2010353,2329,1766897
2010353,2330,1911633
2010353,3740,1667831
2010353,3742,1597540
2010353,3789,1818016
2010353,6061,1667801
2010353,7873,2014122
2010353,7875,2014011
2010353,7922,1911666
2010353,8843,2013854
2010353,9328,1828408
2010353,9330,2013865
2010353,10068,2013864
2010353,10308,2013817
2010353,10728,2014123
2010353,11563,1988584
2009327,4629,1647094
2010125,11169,2053573
2010125,11976,2053732
2010867,1640,1848800
2010867,8636,2004655
2007715,1303,1252267
2007715,1319,2039259
2007715,1332,1521338
2007715,1334,1633593
2007715,1350,1650425
2007715,1688,2038717
2007715,5481,2038630
2007715,5482,1893413
2007715,5776,2038702
2007715,5865,2039108
2007715,5883,2038829
2007715,6695,2038718
2007715,6829,2038661
2007715,7025,2038701
2007715,7092,2038890
2007715,8092,2038831
2007715,8093,2038691
2007715,8170,2039110
2007715,8350,2038693
2007715,8351,2038603
2007715,8810,2038903
2007715,8948,2038905
2007715,8973,2038827
2007715,9063,2038662
2007715,9075,2038900
2007715,9364,2038832
2007715,9607,2039255
2007715,9808,2038658
2007715,9864,2038901
2007715,9911,2038830
2007715,9993,2038695
2007715,10367,2038685
2007715,10368,2038689
2007715,10826,2038690
2007715,10873,2038660
2007715,11031,2038902
2007715,11032,2038699
2011005,1303,1252267
2011005,1319,2039259
2011005,1332,1521338
2011005,1334,1633593
2011005,1350,1650425
2011005,1688,2038717
2011005,5481,2038630
2011005,5482,1893413
2011005,5776,2038702
2011005,5865,2039108
2011005,5883,2038829
2011005,6695,2038718
2011005,6829,2038661
2011005,7025,2038701
2011005,7092,2038890
2011005,8092,2038831
2011005,8093,2038691
2011005,8170,2039110
2011005,8350,2038693
2011005,8351,2038603
2011005,8810,2038903
2011005,8948,2038905
2011005,8973,2038827
2011005,9063,2038662
2011005,9075,2038900
2011005,9364,2038832
2011005,9607,2039255
2011005,9808,2038658
2011005,9864,2038901
2011005,9911,2038830
2011005,9993,2038695
2011005,10367,2038685
2011005,10368,2038689
2011005,10826,2038690
2011005,10873,2038660
2011005,11031,2038902
2011005,11032,2038699
2009672,1548,1590935
2009672,1644,1426823
2009672,1647,1484068
2009672,1648,1426822
2009672,1650,1426818
2009672,1651,1426821
2009672,1654,1615872
2009672,1655,1426817
2011136,1548,1590935
2011136,1644,1426823
2011136,1647,1484068
2011136,1648,1426822
2011136,1650,1426818
2011136,1651,1426821
2011136,1654,1615872
2011136,1655,1426817
2012325,2912,1442275
2011475,5150,1684171
2011475,5154,1462608
2011475,5158,1230743
2011475,5162,1681591
2011475,5163,1684166000
2011475,5164,1683504000
2011475,5165,1683440
2011475,5166,1462521
2011475,5167,1462679
2011475,5168,1462678
2011475,5169,1463332
2011475,5170,1463333
2011475,5175,1525649
2011475,5178,1683445
2011475,5186,1684167
2011475,5187,1525567
2011475,5191,1539360
2011475,5192,1462675
2011475,5193,1462666
2011475,5194,1462674
2011475,5195,1462673
2011475,5197,1683992
2011475,5198,1684352
2011475,5199,1684351
2011475,5201,1462578
2011475,5202,1684170
2011475,5203,1525558
2011475,5206,1462668
2011475,5207,1683816
2011475,5210,1508086
2011475,5211,1683967
2011475,6037,1683949
2011475,6056,1684357
2008922,4629,1647094
