"FilingID","Full Legal Name","CIK Number"
2005950,"WAFD INC",936528
2011007,"BLACKROCK, INC.",1364742
2009065,"AFLAC INCORPORATED",4977
2009065,"ASSURED GUARANTY LTD.",1273813
2009099,"LAZARD, INC.",1311370
2009099,"LAZARD GROUP LLC",1326141
2009081,"WELLS FARGO AND COMPANY",105598
2012704,"DEUTSCHE BANK AG",948046
2013403,"HILLTOP HOLDINGS INC.",1265131
2013431,"HILLTOP HOLDINGS INC.",1265131
2009803,"DEUTSCHE BANK AG",948046
2009873,"BUSINESS FIRST BANCSHARES, INC.",1624322
2007426,"WASHINGTON TRUST BANCORP, INC.",737468
2009740,"CULLLEN/FROST BANKERS, INC.",39263
2012787,"DEUTSCHE BANK AG",948046
2012229,"FRANKLIN RESOURCES, INC.",38777
2012206,"VOYA FINANCIAL, INC.",1535929
1987293,"APOLLO GLOBAL MANAGEMENT, INC.",1858681
1987293,"APOLLO ASSET MANAGEMENT, INC.",1411494
2007185,"MITSUBISHI UFJ FINANCIAL GROUP INC",67088
2008449,"STONEX GROUP INC.",913760
2010954,"STIFEL FINANCIAL CORP.",720672
2005906,"AMERIPRISE FINANCIAL, INC.",820027
2010039,"JPMORGAN CHASE & CO.",19617
2007236,"BANK OF AMERICA CORPORATION",70858
2004052,"COHEN & STEERS, INC.",128481
2007270,"COHEN & STEERS, INC.",128481
2007352,"WALKER & DUNLOP, INC.",1497770
2007271,"COHEN & STEERS, INC.",1284812
2007342,"MANULIFE FINANCIAL CORPORATION",1086888
2011205,"INVESCO LTD",914208
2009541,"JPMORGAN CHASE & CO.",19617
2011607,"THE PNC FINANCIAL SERVICES GROUP, INC.",713676
2012318,"LPL FINANCIAL HOLDINGS INC.",1397911
2009066,"JEFFERIES FINANCIAL GROUP INC.",96223
1983136,"FRANKLIN RESOURCES INC.",38777
2009773,"DEUTSCHE BANK AG",948046
2011475,"ARES MANAGEMENT CORPORATION",1176948
2011489,"ARES MANAGEMENT CORPORATION",1176948
1995445,"ARES MANAGEMENT CORPORATION",1176948
2012110,"ARES MANAGEMENT CORPORATION",1176948
2011476,"ARES CAPITAL CORPORATION",1287750
2009025,"FRANKLIN RESOURCES, INC.",38777
2009851,"DEUTSCHE BANK AG",948046
2009849,"DEUTSCHE BANK AG",948046
2009772,"DETUSCHE BANK AG",948046
2009770,"DEUTSCHE BANK AG",948046
2013080,"ASSOCIATED BANC-CORP",7789
2006750,"VICTORY CAPITAL HOLDINGS, INC.",157082
2004051,"COHEN & STEERS, INC.",128481
2004047,"COHEN & STEERS, INC.",1284812
2007576,"BROWN & BROWN, INC",79282
2013433,"HILLTOP HOLDINGS INC.",1265131
2012440,"KKR & CO. INC.",1404912
2007225,"MARSH & MCLENNAN COMPANIES, INC",62709
2013399,"HILLTOP HOLDINGS INC.",1265131
2007495,"CREDIT SUISSE MANAGER HOLDINGS LIMITED",903594
2012463,"THE GOLDMAN SACHS GROUP, INC.",886982
2012605,"T. ROWE PRICE GROUP, INC.",1113169
2010081,"FRANKLIN RESOURCES, INC",38777
1980028,"MORGAN STANLEY",895421
2008104,"BLACKROCK, INC.",2012383
2008106,"BLACKROCK, INC.",2012383
1999859,"SUN LIFE FINANCIAL INC.",109762
2008118,"MANULIFE FINANCIAL CORPORATION",1086888
2008031,"BLACKSTONE INC.",1393818
2013033,"FRANKLIN RESOURCES INC.",38777
2009431,"STATE STREET CORPORATION",93751
2012813,"WELLS FARGO AND COMPANY",105598
2012422,"BANK OF AMERICA CORPORATION",70858
2010100,"THE GOLDMAN SACHS GROUP, INC.",886982
2012111,"ARES MANAGEMENT CORPORATION",1176948
2008496,"LPL FINANCIAL HOLDINGS INC.",1397911
2008533,"COREBRIDGE FINANCIAL, INC.",1889539
2007944,"MORGAN STANLEY",895421
2008600,"LAZARD, INC.",1311370
2008600,"LAZARD GROUP LLC",1326141
2009695,"MORGAN STANLEY",895421
2010004,"MORGAN STANLEY",895421
2007529,"VOYA FINANCIAL, INC.",1535929
2004543,"VOYA FINANCIAL, INC.",1535929
2010087,"JEFFERIES FINANCIAL GROUP INC.",96226
2012314,"JONES LANG LASALLE INCORPORATED",1037956
2012800,"DEUTSCHE BANK AG",948046
2012819,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
2012543,"AFFILIATED MANAGERS GROUP INC.",1004434
2012373,"PRUDENTIAL FINANCIAL INC",1137774
2006235,"THE CHARLES SCHWAB CORPORATION",316709
2007201,"MARSH & MCLENNAN COMPANIES, INC.",62709
2007583,"WELLS FARGO AND COMPANY",105598
2007691,"FORGE GLOBAL HOLDINGS, INC.",1827821
2008741,"MANULIFE FINANCIAL CORPORATION",1086888
1996100,"FIFTH THIRD BANCORP",35527
2007267,"COHEN & STEERS, INC.",128481
2009535,"PRUDENTIAL PLC",1116578
2007068,"JEFFERIES FINANCIAL GROUP INC.",96226
2006382,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
2009675,"FIFTH THIRD BANCORP",35527
2009350,"STONEX GROUP INC.",913760
2010086,"FRANKLIN RESOURCES, INC.",38777
2010397,"WENDEL S.E.",1721938
2011801,"MANULIFE FINANCIAL CORPORATION",1086888
2011521,"BLACKROCK, INC.",2012383
2011604,"STONEX GROUP INC.",913760
2011523,"BLACKSTONE INC.",1393818
2011663,"BANK OF AMERICA STRATEGIC INVESTMENTS CORP",1102778
2011663,"CITICORP NORTHAMERICA INC",839424
2011663,"GOLDMAN SACHS PSI GLOBAL HOLDINGS LLC",1865223
2011663,"NASDAQ FUND SECONDARIES LLC",810167
2011663,"NASDAQ INC",1120193
2011663,"STRATEGIC INVESTMENTS INC",1681668
2011663,"SVB FINANCIAL GROUP",719739
2011663,"UBS AMERICAS INC",1127918
2011663,"WELLS FARGO CENTRAL PACIFIC HOLDINGS INC",1911104
2009620,"BGC PARTNERS, INC.",1382519
2012878,"DEUTSCHE BANK AG",948046
2012711,"DETUSCHE BANK AG",948046
2012779,"DEUTSCHE BANK AG",948046
2003819,"COMMUNITY BANK N. A.",723188
2010380,"INTERCORP FINANCIAL SERVICES INC.",1615903
2009538,"INVESCO LTD.",914208
2013445,"KKR & CO. INC.",1404912
2012356,"AFFILIATED MANAGERS GROUP, INC.",1004434
2011816,"SUN LIFE FINANCIAL INC.",1097362
2008663,"AFFILIATED MANAGERS GROUP, INC.",1004434
2008493,"MITSUBISHI UFJ FINANCIAL GROUP INC",67088
2008005,"FRANKLIN RESOURCES, INC.",38777
2008497,"COREBRIDGE FINANCIAL, INC.",1889539
2010137,"BROOKFIELD CORPORATION",1001085
2010353,"JPMORGAN CHASE & CO.",19617
2012347,"FRANKLIN RESOURCES, INC.",38777
2010867,"BLUE OWL CAPITAL INC.",1823945
2012313,"BLUE OWL CAPITAL INC.",1823945
2012186,"VOYA FINANCIAL, INC.",1535929
2012272,"VALLEY NATIONAL BANCORP",714310
2012011,"UBS GROUP AG",1610520
2008088,"FRANKLIN RESOURCES, INC.",38777
2006976,"AVIVA PLC",1140022
2008332,"BLACKROCK, INC.",1364742
2009839,"DEUTSCHE BANK AG",948046
2008410,"AFFILIATED MANAGERS GROUP, INC.",1004434
2007949,"MORGAN STANLEY",895421
2008448,"STONEX GROUP INC.",913760
2008001,"FRANKLIN RESOURCES, INC",38777
2005850,"PATRIA INVESTMENTS LIMITED",1825570
2004882,"BROOKFIELD CORPORATION",1001085
2004882,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
2004810,"T. ROWE PRICE GROUP, INC.",1113169
2007432,"AMERIPRISE FINANCIAL INC",820027
2007453,"NOMURA HOLDINGS, INC.",1163653
2007480,"LPL FINANCIAL HOLDINGS INC.",1397911
1989716,"FIRSTSUN CAPITAL BANCORP",1709442
2005340,"MANULIFE FINANCIAL CORPORATION",1086888
