"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1936172,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,99,0,1,0,""
1931835,,,,,,,,,,,,,,,,,,,,,,,,,"",32,0,18,0,0,18,0,0,27,0,5,0,""
1936122,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1935077,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1935550,,,,,,,,,,,,,,,,,,,,,,,,,"",25,0,0,0,0,0,0,0,70,0,5,0,""
1924845,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,2,5,0,1,0,0,64,0,16,0,""
1935008,,,,,,,,,,,,,,,,,,,,,,,,,"",15,0,0,0,0,0,0,0,79,2,4,0,""
1933296,,,,,,,,,,,,,,,,,,,,,,,,,"",24,0,3,1,0,0,0,0,56,0,8,8,"REAL ESTATE & PRIVATE FIXED INCOME."
1928142,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1936298,,,,,,,,,,,,,,,,,,,,,,,,,"",51,0,0,0,0,0,0,0,46,0,3,0,""
1933089,,,,,,,,,,,,,,,,,,,,,,,,,"",75,0,8,4,0,5,0,0,6,0,4,0,""
1936367,,,,,,,,,,,,,,,,,,,,,,,,,"",19,0,1,1,0,1,0,0,66,1,11,0,""
1933717,,,,,,,,,,,,,,,,,,,,,,,,,"",86,0,4,6,0,3,0,0,0,0,1,0,""
1936346,,,,,,,,,,,,,,,,,,,,,,,,,"",50,0,2,0,0,0,0,0,41,6,1,0,""
1933941,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930942,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1936373,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,5,0,0,0,0,0,80,0,5,0,""
1931247,,,,,,,,,,,,,,,,,,,,,,,,,"",41,0,0,3,0,1,0,0,50,0,5,0,""
1936487,,,,,,,,,,,,,,,,,,,,,,,,,"",14,0,0,0,0,0,0,0,81,0,5,0,""
1930825,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1936503,,,,,,,,,,,,,,,,,,,,,,,,,"",15,0,7,3,0,2,0,0,65,1,7,0,""
1929949,,,,,,,,,,,,,,,,,,,,,,,,,"",13,0,2,1,0,1,0,0,71,0,12,0,""
1928625,,,,,,,,,,,,,,,,,,,,,,,,,"",99,0,0,0,0,0,0,0,0,0,1,0,""
1938170,,,,,,,,,,,,,,,,,,,,,,,,,"",20,0,0,0,0,0,0,0,0,0,80,0,""
1939002,98,98,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"BANK DEPOSITS, CERTIFICATES OF DEPOSIT, BANKERS' ACCEPTANCES AND SIMILAR BANK INSTRUMENTS",,,,,,,,,,,,,""
1936818,,,,,,,,,,,,,,,,,,,,,,,,,"",21,51,2,0,0,0,0,0,5,18,3,0,""
1938987,,,,,,,,,,,,,,,,,,,,,,,,,"",100,0,0,0,0,0,0,0,0,0,0,0,""
1938954,,,,,,,,,,,,,,,,,,,,,,,,,"",26,0,12,0,0,0,0,1,44,0,17,0,""
1939075,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,0,0,100,"TAX LIENS, REAL ESTATE, TAX DEED APPLICATIONS - TAX LIENS THAT ARE FORECLOSED"
1938207,,,,,,,,,,,,,,,,,,,,,,,,,"",38,0,9,9,0,1,0,0,39,0,4,0,""
1938481,,,,,,,,,,,,,,,,,,,,,,,,,"",80,0,15,0,0,0,0,0,5,0,0,0,""
1939132,,,,,,,,,,,,,,,,,,,,,,,,,"",22,36,0,4,0,6,0,0,0,20,12,0,""
1926041,,,,,,,,,,,,,,,,,,,,,,,,,"",51,0,0,0,0,0,0,0,21,27,1,0,""
1923048,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,2,3,1,0,0,0,91,0,1,0,""
1939151,,,,,,,,,,,,,,,,,,,,,,,,,"",37,1,0,0,0,0,0,0,60,0,2,0,""
1936393,,,,,,,,,,,,,,,,,,,,,,,,,"",5,3,0,9,0,0,0,0,81,0,2,0,""
1938639,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930675,,,,,,,,,,,,,,,,,,,,,,,,,"",1,0,1,0,0,0,0,0,94,0,4,0,""
1939756,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
