"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
1936172,"SEI PRIVATE TRUST","SEI PRIVATE TRUST","OAKS","PA","USA","N","","",694603429
1931835,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",126000000
1935008,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",384800137
1936298,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",693009908
1935550,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",26045798
1936367,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","OMAHA","NE","USA","N","8-16514","",169039441
1936346,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",2084256978
1936346,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",504928802
1936346,"FIFTH THIRD SECURITIES, INC.","FIFTH THIRD SECURITIES, INC.","CINCINNATI","OH","USA","N","8-2428","",789881180
1936503,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","BOSTON","MA","USA","N","8-17668","",1064214395
1936503,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",169570213
1936393,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",342645368
1935242,"THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","NEW YORK","NY","USA","N","","HPFHU0OQ28E4N0NFVK49",6750641250
1935242,"AMERICAN ENTERPRISE INVESTMENT SERVICES INC.","AMERICAN ENTERPRISE INVESTMENT SERVICES INC.","MINNEAPOLIS","MN","USA","N","8-42582","",45230248302
1924845,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",1278546303
1924845,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",286031881
1933296,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","OMAHA","NE","USA","N","","",131976988
1933089,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",10109426
1933149,"AXOS CLEARING LLC","AXOS CLEARING LLC","OMAHA","NE","USA","N","8-53595","",106610970
1933149,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",549245173
1933149,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",168838375
1930877,"RAYMOND JAMES FINANCIAL SERVICES, INC.","RAYMOND JAMES FINANCIAL SERVICES, INC.","ST. PETERSBURG","FL","USA","N","8-17983","",182500000
1931247,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",1160951766
1931705,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES","ST. PETERSBURG","FL","USA","N","","",128415277
1930675,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",170284734
1938170,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","NEW YORK","NY","USA","N","8-16514","",300000
1938170,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","NY","USA","N","8-7221","",330000
1938170,"TD AMERITRADE, INC.","TD AMERITRADE, INC.","SAN FRANCISCO","CA","USA","N","8-23395","",600000
1938207,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",59057593
1938207,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES & ASSOCIATES, INC.","ST. PETERSBURG","FL","USA","N","8-10999","",160511749
1938481,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",219000000
1939002,"BANK OF NEW YORK MELLON","BNY MELLON","NEW YORK","NY","USA","N","","7H6GLXDRUGQFU57RNE97",16384849631
1939002,"THE NORTHERN TRUST COMPANY","THE NORTHERN TRUST COMPANY","CHICAGO","IL","USA","N","","6PTKHDJ8HDUF78PFWH30",10807416390
1939002,"STATE STREET CORPORATION","STATE STREET","BOSTON","MA","USA","N","","571474TGEMMWANRLN572",17295426486
1939002,"JPMORGAN CHASE","JPMORGAN CHASE","NEW YORK","NY","USA","N","","7H6GLXDRUGQFU57RNE97",5955438599
1938987,"SEI INVESTMENTS DISTRIBUTION CO.","SEI INVESTMENTS DISTRIBUTION CO.","OAKS","PA","USA","N","8-27897","",54500000
1938954,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",71297994
1938954,"ADP BROKER-DEALER, INC.","ADP BROKER-DEALER, INC.","ROSELAND","NJ","USA","N","8-47885","",45560027
1939075,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",234989962
1939075,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",42129856
1939132,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",107243000
1939151,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",194270143
1936818,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",32223407
1926041,"THE NORTHERN TRUST COMPANY","THE NORTHERN TRUST COMPANY","CHICAGO","IL","USA","N","","6PTKHDJ8HDUF78PFWH30",296139178
1923048,"NATIONAL BANK INDEPENDENT NETWORK","NATIONAL BANK INDEPENDENT NETWORK","TORONTO","","CAN","N","","",57889335
1923048,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",186043764
1929142,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",367436515
1937177,"BANK VONTOBEL AG","BANK VONTOBEL AG","ZURICH","","CHE","N","","549300L7V4MGECYRM576",25758567
1937177,"BRITANNIA BANK & TRUST LTD.","BRITANNIA BANK & TRUST LTD.","NASSAU","","BHS","N","","5493008DI2IOX4G3I745",34611519
1937177,"EFG BANK (LUXEMBOURG) S.A.","EFG BANK (LUXEMBOURG) S.A.","LUXEMBOURG","","LUX","N","","529900U5XAEYOT68AC40",19786465
1934451,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES & ASSOCIATES, INC.","ST. PETERSBURG","FL","USA","N","8-10999","",179078857
1934451,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",39365879
1934056,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",1043473812
1925244,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",470476415
1932180,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",10000000
1932180,"MATRIX TRUST COMPANY","MATRIX TRUST COMPANY","PHOENIX","AZ","USA","N","","",7180000
1932180,"SECURITY BENEFIT LIFE INSURANCE COMPANY","SECURITY BENEFIT LIFE INSURANCE COMPANY","TOPEKA","KS","USA","N","","",3290000
1930977,"STATE STREET BANK AND TRUST COMPANY","STATE STREET","BOSTON","MA","USA","N","","571474TGEMMWANRLN572",97143936
1929949,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",217188818
1928625,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",129401464
1928625,"RBC CAPITAL MARKETS, LLC","RBC CAPITAL MARKETS, LLC","NEW YORK","NY","USA","N","8-45411","",94622331
1937840,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",236640204
1937289,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",196277346
1934380,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",1219998291
1934431,"THE BANK OF NEW YORK MELLON CORPORATION","THE BANK OF NEW YORK MELLON CORPORATION","EVERETT","MA","USA","N","","WFLLPEPC7FZXENRZV188",97679306
1934431,"NORTHERN TRUST","NORTHERN TRUST","TEMPE","AZ","USA","N","","6PTKHDJ8HDUF78PFWH30",144754845
1934431,"THE BANK OF NEW YORK MELLON CORPORATION","THE BANK OF NEW YORK MELLON CORPORATION","PITTSBURGH","PA","USA","N","","WFLLPEPC7FZXENRZV188",59299902
1941635,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",2029831542
1928461,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",120000000
1938617,"AXOS CLEARING LLC","AXOS CLEARING LLC","OMAHA","NE","USA","N","8-53595","",171813221
1934770,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",503131477
1941689,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",3257098954
1941689,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",1592891938
1941689,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",1007542938
1941689,"FIDELITY INSTITUTIONAL WEALTH SERVICES","FIDELITY INSTITUTIONAL WEALTH SERVICES","BOSTON","MA","USA","N","","",987661243
1939714,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",425480367
1941718,"FIDELITY INVESTMENTS","FIDELTY INVESTMENTS","BOSTON","MA","USA","N","","",97325861
1941718,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","NEW YORK","NY","USA","N","8-16514","",41070517
1936984,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",117603813
1938615,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",158251676
1938195,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",102032653
1938294,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",7839421000
1938294,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","NY","USA","Y","8-129","",15750080000
1938294,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",2280559000
1938351,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",1877637993
1930685,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",129464252
1932305,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",484288644
1936520,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",161947721
1932454,"CHARLES SCHWAB & CO., INC. ADVISOR SERVICES","CHARLES SCHWAB & CO., INC. ADVISOR SERVICES","SAN FRANCISCO","CA","USA","N","","",1473082384
1938389,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","EL PASO","TX","USA","N","8-16514","",570595255
1938389,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",277330629
1938428,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",71297994
1938428,"ADP BROKER-DEALER, INC.","ADP BROKER-DEALER, INC.","ROSELAND","NJ","USA","N","8-47885","",45560027
