"FilingID","ReferenceID","Form D File Number"
1984208,35547,"021-63780"
1984208,61318,"021-195711"
1984208,35552,"021-50145"
1984208,197060,"021-276162"
1984208,36279,"021-89214"
1984208,36306,"021-116942"
1984208,254779,"021-377281"
1984208,254777,"021-358903"
1984208,61320,"021-195712"
1984208,35567,"021-132191"
1984208,35585,"021-69650"
1984208,36315,"021-145531"
1984208,219642,"021-313585"
1984208,36390,"021-166906"
1984208,188497,"021-253898"
1984208,35538,"021-63442"
1984208,35520,"021-70810"
1984208,173136,"021-242797"
1984208,254780,"021-382680"
1984208,254778,"021-358902"
1984208,197058,"021-276165"
1984208,35478,"021-54577"
1984208,173149,"021-242796"
1984208,254776,"021-357327"
1984208,219628,"021-313586"
1984208,219610,"021-315431"
1983722,477777,"021-529464"
1983722,372436,"021-478156"
1983722,372418,"021-398835"
1982620,454532,"021-514751"
1982620,398011,"021-491214"
1982620,186404,"021-276913"
1982620,193048,"021-276915"
1982620,186413,"021-274251"
1982620,186413,"021-304692"
1982620,186413,"021-346035"
1982620,215071,"021-326941"
1982620,356893,"021-358730"
1982620,257334,"021-358730"
1982620,216029,"021-297668"
1982620,285973,"021-418687"
1982620,285983,"021-423281"
1982620,257325,"021-358728"
1982620,215063,"021-326933"
1982620,356887,"021-418687"
1982620,356890,"021-446105"
1982620,454553,"021-523002"
1982620,454541,"021-500033"
1979886,455288,"021-540766"
1979886,420317,"021-513276"
1979886,311886,"021-361733"
1979886,314915,"021-467741"
1979886,311921,"021-449678"
1979886,357443,"021-477355"
1979886,311919,"021-411269"
1979886,311918,"021-404646"
1979886,427454,"021-526183"
1979886,311916,"021-400640"
1979886,317440,"021-473315"
1979886,366117,"021-488910"
1979886,311885,"021-371666"
1979886,311884,"021-363887"
1979886,311914,"021-389406"
1979886,311898,"021-384234"
1979886,311920,"021-437741"
1979886,311917,"021-406830"
1979886,311907,"021-384248"
1982393,228451,"021-325819"
1982586,276788,"021-1876962"
1981505,46764,"021-181436"
1981505,16640,"021-177177"
1981505,16583,"021-49190"
1981505,16607,"021-127095"
1981505,16605,"021-127094"
1981505,205111,"021-303478"
1981505,2213,"021-78522"
1981505,205109,"021-303475"
1981505,46765,"021-181437"
1982704,254380,"021-456390"
1982704,254380,"021-383428"
1982704,376136,"021-512130"
1982704,376136,"021-537343"
1982704,376136,"021-499436"
1982704,376139,"021-534795"
1982704,376139,"021-498709"
1982704,376131,"021-528776"
1982704,376131,"021-514636"
1982704,376131,"021-476876"
1982704,376131,"021-483012"
1982704,376133,"021-477341"
1982704,376135,"021-493475"
1982704,217084,"021-347899"
1982704,217084,"021-399470"
1982704,217084,"021-474095"
1982704,217084,"021-316656"
1982704,184462,"021-493474"
1982704,184462,"021-383757"
1982704,184462,"021-340139"
1982704,184462,"021-336953"
1982704,184462,"021-282428"
1982704,184462,"021-328596"
1982704,68566,"021-229353"
1982704,254376,"021-369962"
1982704,254378,"021-476197"
1982704,254378,"021-383427"
1982704,254364,"021-361153"
1982704,254364,"021-389559"
1982704,199536,"021-288350"
1982704,477584,"021-516456"
1982704,477584,"021-514805"
1982704,485194,"021-512131"
1982704,485194,"021-529364"
1982704,485194,"021-529365"
1982704,477592,"021-527284"
1982704,237329,"021-345187"
1982704,355676,"021-433115"
1982704,289591,"021-522890"
1982704,289591,"021-522891"
1982704,289591,"021-522892"
1982704,289591,"021-491400"
1982704,289591,"021-424437"
1982704,289591,"021-446628"
1982704,237357,"021-352500"
1982704,289586,"021-398660"
1982704,289580,"021-399160"
1982704,289585,"021-399162"
1982704,289590,"021-412330"
1982704,289581,"021-399473"
1982704,477608,"021-521677"
1982704,477594,"021-530969"
1982704,289598,"021-418240"
1982805,439218,"021-531959"
1982805,51694,"021-179405"
1982805,264361,"021-367160"
1982805,61697,"021-205816"
1982805,38548,"021-148642"
1982805,38548,"021-69572"
1979287,437265,"021-536676"
1979287,371518,"021-1993061"
1982873,208623,"021-318522"
1982873,248817,"021-380090"
1982873,278102,"021-414974"
1982454,431043,"021-392735"
1982454,431082,"021-418018"
1982454,420867,"021-522846"
1982454,420867,"021-522847"
1982454,431097,"021-403997"
1982920,239302,"021-378557"
1982920,239302,"021-313667"
1982968,38188,"021-221948"
1982509,320600,"021-463556"
1982509,206312,"021-309000"
1982509,320595,"021-455807"
1982509,355370,"021-476553"
1982509,237647,"021-358629"
1982509,237647,"021-361046"
1982509,206314,"021-276941"
1982509,281793,"021-419873"
1982509,219761,"021-213119"
1982509,219761,"021-335984"
1982509,479125,"021-516163"
1979533,33969,"021-161551"
1980006,30001,"021-1531123"
1980038,279406,"021-226016"
1980038,438547,"021-504545"
1980066,158859,"021-232155"
1980066,398482,"021-482066"
1980066,198106,"021-289739"
1980066,479906,"021-536979"
1980066,480436,"021-482076"
1980066,251079,"021-371197"
1980066,251074,"021-353725"
1978799,423562,"021-505825"
1978799,367366,"021-490450"
1977499,194917,"021-133517"
1980023,310653,"021-447274"
1980023,310653,"021-447275"
1980176,310292,"021-436784"
