"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1922807,243655,107334,"N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264",816,"NEW YORK","New York","United States","N"
1922807,243844,107453,"N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264",816,"NEW YORK","New York","United States","N"
1922807,243838,107450,"N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264",816,"NEW YORK","New York","United States","N"
1929085,47068,129598,"N","CRESTA WESTHALL LLP","8-69126",164986,"LONDON","","United Kingdom","N"
1929085,65574,129599,"N","CRESTA WESTHALL LLP","8-69126",164986,"LONDON","","United Kingdom","N"
1929618,167781,61558,"N","TIJU JOSEPH","",,"BRUSSELS","","Belgium","N"
1929618,359904,196418,"N","THOMAS CAPITAL GROUP, INC.","8-50986",45180,"GIG HARBOR","Washington","United States","N"
1929173,196685,78734,"N","CAMPBELL LUTYENS & CO. INC.","8-66720",133376,"NEW YORK CITY","New York","United States","N"
1929173,215981,89262,"N","CAMPBELL LUTYENS & CO. INC.","8-66720",133376,"NEW YORK CITY","New York","United States","N"
1929107,38079,219184,"N","CAMPBELL LUTYENS & CO. INC.","8-66720",133376,"NEW YORK","New York","United States","N"
1929107,372641,202008,"N","FIRST AVENUE","8-67758",145860,"LONDON","","United Kingdom","N"
1929302,285697,133375,"Y","DWS INVESTMENTS UK LIMITED","",,"LONDON","","United Kingdom","N"
1929302,237419,101658,"N","FIRST AVENUE PARTNERS","",,"NEW YORK","New York","United States","N"
1929302,396641,226585,"Y","DWS INVESTMENTS UK LTD","",,"LONDON","","United Kingdom","N"
1929302,436478,260949,"N","FIRST AVENUE","8-67758",145860,"NEW YORK","New York","United States","N"
1920816,300173,143150,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,337316,171086,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,337316,171088,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,337310,171078,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,337313,171079,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,337313,171080,"N","BCW SECURITIES LLC","8-67685",144930,"WESTPORT","Connecticut","United States","N"
1920816,337310,171077,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
1920816,337337,171099,"Y","ASCENT CAPITAL ADVISORS LIMITED","",,"CENTRAL","","Hong Kong","N"
