"FilingID","Reference ID","CIK"
1997115,8426,1727111
1989267,3353,1569653
1989267,3357,1599349
1989267,3870,1518837
1989267,5911,1561691
1989752,1702,1731107
1998360,1275,1564355
1994798,11169,2053573
1994798,11976,2053732
1997258,10021,1118947
1992757,1814,1441379
1992757,2353,1610813
1998269,1303,1252267
1998269,1319,2039259
1998269,1332,1521338
1998269,1334,1633593
1998269,1350,1650425
1998269,1688,2038717
1998269,5481,2038630
1998269,5482,1893413
1998269,5776,2038702
1998269,5865,2039108
1998269,5883,2038829
1998269,6695,2038718
1998269,6829,2038661
1998269,7025,2038701
1998269,7092,2038890
1998269,8092,2038831
1998269,8093,2038691
1998269,8170,2039110
1998269,8350,2038693
1998269,8351,2038603
1998269,8810,2038903
1998269,8948,2038905
1998269,8973,2038827
1998269,9063,2038662
1998269,9075,2038900
1998269,9364,2038832
1998269,9607,2039255
1998269,9808,2038658
1998269,9864,2038901
1998269,9911,2038830
1998269,9993,2038695
1998269,10367,2038685
1998269,10368,2038689
1998269,10826,2038690
1998269,10873,2038660
1998269,11031,2038902
1998269,11032,2038699
1997259,4629,1647094
1998726,10328,1910444
