FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1949000,"","","Y","","","","","","","",
1950950,"Y","","","","","","","","","",
1954774,"","","","","","Y","","","","",2024
1955144,"Y","","","","","","","","","",
1956117,"","","","","Y","","","","","",
1960721,"","","Y","","","","","","","",
1966736,"","","","","Y","","","","","",
1971368,"","","","","","Y","","","","",2024
1973467,"","","Y","","","","","","","",
1974001,"","","Y","","","","","","","",
1974409,"","Y","","","","","","","","",2024
1974499,"","","Y","","","","","","","",
1975302,"","Y","","","","","","","","",2024
1975467,"","","","","","","Y","","","",
1975568,"","","","","Y","","","","","",
1975650,"Y","","","","","","","","","",
1975951,"","","","","Y","","","","","",
1975977,"","","Y","","","","","","","",
1976475,"","","Y","","","","","","","",
1976932,"Y","","","","","","","","","",
1977443,"","","Y","","","","","","","",
1977507,"Y","","","","","","","","","",
1977797,"","","","","","","","Y","","",
1978204,"","","Y","","","","","","","",
1978215,"","","Y","","","","","","","",
1978244,"","","","","Y","","","","","",
1978331,"Y","","","","","","","","","",
1978358,"","","","","Y","","","","","",
1978779,"","","Y","","","","","","","",
1979543,"Y","","","","","","","","","",
1979930,"","","","","Y","","","","Y","",
1980167,"","","Y","","","","","","","",
1980956,"","","Y","","","","","","","",
1981548,"","","","","Y","","","","","",
1981988,"","","","","","","Y","","","",
1982072,"","","Y","","","","","","","",
1982181,"","","Y","","","","","","","",
1982265,"Y","","","","","","","","","",
1982614,"","","Y","","","","","","","",
1982737,"Y","","","","","","","","","",
1982779,"","","Y","","","","","","","",
1982886,"","","Y","","","","","","","",
1982956,"Y","","","","","","","","","",
1983026,"","","Y","","","","","","","",
1983061,"","","Y","","","","","","","",
1983571,"","","Y","","","","","","","",
1983975,"","","Y","","","","","","","",
1984084,"","","Y","","","","","","","",
1984206,"","","Y","","","","","","","",
1984303,"","","Y","","","","","","","",
1984595,"","","Y","","","","","","","",
1985038,"","","Y","","","","","","","",
1985253,"","","Y","","","","","","","",
1985333,"","","Y","","","","","","","",
1985702,"","","","","","","","Y","","",
1985835,"Y","","","","","","","","","",
1986829,"","","Y","","","","","","","",
1986859,"","","","Y","","","","","","",
1986919,"","","Y","","","","","","","",
1987181,"","","Y","","","","","","","",
1987360,"","","Y","","","","","","","",
1987589,"","","Y","","","","","","","",
1987681,"","","Y","","","","","","","",
1987753,"","","Y","","","","","","","",
1987847,"","","Y","","","","","","","",
1987943,"","","Y","","","","","","","",
1988080,"Y","","","","","","","","","",
1988204,"","","Y","","","","","","","",
1988463,"","","Y","","","","","","","",
1988659,"Y","","","","","","","","","",
1988821,"","Y","","","","","","","","",2025
1988912,"","","","Y","","","","","","",
1989083,"","","Y","","","","","","","",
1989106,"","","Y","","","","","","","",
1989195,"","","Y","","","","","","","",
1989196,"Y","","","","","","","","","",
1989250,"","","Y","","","","","","","",
1989335,"","","Y","","","","","","","",
1989353,"","","Y","","","","","","","",
1989539,"","","Y","","","","","","","",
1989546,"","","Y","","","","","","","",
1989578,"Y","","","","","","","","","",
