"FilingID","Website"
1994992,"https://www.canaccordgenuity.com  @CGWM UK(X) Canaccord Genuity Wealth Management (UK, Channel Islands and Isle of Man) LinkedIn"
1987299,"HTTP://WWW.JIPINC.COM"
1997777,"https://www.linkedin.com/company/sustainable-development-capital-llp/mycompany/"
1997777,"https://www.linkedin.com/company/sdcl-energy-efficiency-income-trust-seeit/"
1997777,"https://www.seeitplc.com/"
1997777,"https://jonathanmaxwell.substack.com/"
1999780,"https://www.renwavekore.com/"
1999780,"https://www.linkedin.com/company/renwave-kore/"
1992723,"https://freshstream.com"
1992723,"https://www.linkedin.com/company/freshstream"
1988972,"HTTP://WWW.MADISON-INDIA.COM/"
1993922,"HTTPS://WWW.ENACAPITAL.COM/"
1993940,"http://www.ivycapventures.com/"
1993940,"https://www.linkedin.com/company/ivycap-ventures-private-limited/"
1993940,"https://x.com/IvyCapVentures?s=08"
1998048,"HTTP://WWW.RONITCAPITAL.COM"
1998251,"http://synova.pe"
1996848,"https://www.pertento.com/"
1993121,"https://carta.com"
1998115,"http://www.alpha-grep.com"
1998115,"https://x.com/alpha_grep"
1998115,"https://www.linkedin.com/company/alpha-grep/posts/?feedView=all"
1999192,"https://www.linkedin.com/company/highgear-ventures"
1999192,"https://www.highgearventures.com/"
1989748,"https://saddlerockcap.com/"
1997700,"HTTP://WWW.VITRUVIANPARTNERS.COM"
1997700,"HTTPS://WWW.LINKEDIN.COM/COMPANY/VITRUVIAN-PARTNERS-LLP/"
1998852,"https://www.linkedin.com/company/third-space-capital/"
1998852,"https://thirdspace.capital/"
1999107,"http://harradencircle.com"
1999107,"https://www.linkedin.com/company/harraden-circle-investments-llc/"
1995552,"https://albionriver.com/"
1995552,"https://www.linkedin.com/company/albion-&-heath-llc"
1999036,"https://seedcamp.com"
1999036,"https://www.linkedin.com/company/seedcamp_2/"
1999036,"https://twitter.com/seedcamp"
2000078,"HTTPS://WWW.LINKEDIN.COM/COMPANY/HIGHMORE-GROUP/"
2000078,"HTTP://WWW.HIGHMORE.COM"
1987941,"HTTPS://IN.LINKEDIN.COM/COMPANY/GAJACAPITAL"
1987941,"HTTPS://INSTAGRAM.COM/GAJA_CAPITAL"
1987941,"HTTPS://WWW.FACEBOOK.COM/GAJA-CAPITAL-PARTNERS-PRIVATE-EQUITY-229353803883682/"
1987941,"HTTPS://WWW.GAJACAPITAL.COM"
1987941,"HTTPS://TWITTER.COM@GAJACAPITAL"
1987940,"https://www.gajacapital.com"
1989898,"https://www.giant.vc"
1998086,"https://www.pcap.info"
1997588,"HTTP://BRIDGESFUNDMANAGEMENT.COM"
