"FilingID","Country/Authority"
1976991,"Netherlands - The Netherlands Authority for the Financial Markets"
1977036,"Ireland -  Central Bank of Ireland"
1979208,"Canada - Saskatchewan Financial Services Commission"
1979208,"Canada - Alberta Securities Commission"
1979208,"Canada - British Columbia Securities Commission"
1979208,"Canada - Manitoba Securities Commission"
1979208,"Canada - Nova Scotia Securities Commission"
1979208,"Canada - Ontario Securities Commission"
1979208,"Canada - Quebec, Financial Markets Authority"
1979208,"Canada - New Brunswick Securities Commission"
1979208,"Canada - Prince Edward Island, Securities Office"
1979208,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1979173,"Switzerland - Swiss Financial Market Supervisory Authority"
1979173,"Israel - Israel Securities Authority"
1979039,"India - Securities and Exchange Board of India"
1979018,"Cayman Islands - Cayman Islands Monetary Authority"
1979018,"United Kingdom - Financial Conduct Authority"
1977778,"Singapore - Monetary Authority of Singapore"
1977778,"Other: PEOPLE'S REPUBLIC OF CHINA - CHINA BANKING AND INSURANCE REGULATORY COMMISSION"
1977778,"United Kingdom - Prudential Regulation Authority"
1977778,"Other: JAPAN - JAPAN INVESTMENT ADVISERS ASSOCIATION"
1977778,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1977778,"United Kingdom - Financial Conduct Authority"
1977778,"Japan - Financial Services Agency"
1977778,"Other: HONG KONG - HONG KONG MONETARY AUTHORITY"
1977308,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1977308,"China, People's Republic of - China Securities Regulatory Commission "
1977308,"Japan - Financial Services Agency"
1977308,"Ireland -  Central Bank of Ireland"
1983682,"Sweden - Swedish Financial Supervisory Authority"
1981454,"Australia - Australian Securities and Investments Commission"
1981454,"Hong Kong - Securities and Futures Commission"
1981454,"Ireland -  Central Bank of Ireland"
1982620,"Other: ABU DHABI GLOBAL MARKET (ADGM) FINANCIAL SERVICES REGULATORY AUTHORITY (FSRA)"
1981505,"India - Securities and Exchange Board of India"
1980006,"Canada - Ontario Securities Commission"
1980503,"Other: REGISTERED WITH THE COMMERCIAL OFFICE IN GERMANY, GEWERBEAMT HEIDELBERG AND IHK"
1977814,"United Kingdom - Financial Conduct Authority"
1977814,"Australia - Australian Securities and Investments Commission"
1977451,"Bermuda - Bermuda Monetary Authority"
1976067,"Singapore - Monetary Authority of Singapore"
1977990,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1977990,"Australia - Australian Securities and Investments Commission"
1977509,"United Kingdom - Financial Conduct Authority"
1961783,"Singapore - Monetary Authority of Singapore"
1966353,"Singapore - Monetary Authority of Singapore"
1966353,"Canada - Alberta Securities Commission"
1966353,"Canada - British Columbia Securities Commission"
1966353,"Canada - Manitoba Securities Commission"
1966353,"Canada - Nova Scotia Securities Commission"
1966353,"Canada - Quebec, Financial Markets Authority"
1966353,"Canada - Saskatchewan Financial Services Commission"
1966353,"United Kingdom - Financial Conduct Authority"
1966353,"Canada - Ontario Securities Commission"
1978152,"United Kingdom - Financial Conduct Authority"
1970904,"Canada - Ontario Securities Commission"
1970904,"Canada - Alberta Securities Commission"
1970904,"Canada - British Columbia Securities Commission"
1970904,"Canada - Manitoba Securities Commission"
1970904,"Canada - Nova Scotia Securities Commission"
1970904,"Canada - Quebec, Financial Markets Authority"
1970904,"Ireland -  Central Bank of Ireland"
1965243,"Mauritius, Republic of - Financial Services Commission"
1965243,"United Kingdom - Financial Conduct Authority"
1978821,"Other: REGISTERED WITH THE COMMERCIAL OFFICE IN GERMANY, GEWERBEAMT HEIDELBERG AND IHK"
1969392,"Canada - Quebec, Financial Markets Authority"
1969392,"Canada - British Columbia Securities Commission"
1969392,"Canada - Ontario Securities Commission"
1969392,"Canada - Alberta Securities Commission"
1974431,"Canada - Manitoba Securities Commission"
1974431,"Canada - New Brunswick Securities Commission"
1974431,"Canada - British Columbia Securities Commission"
1974431,"Canada - Prince Edward Island, Securities Office"
1974431,"Canada - Quebec, Financial Markets Authority"
1974431,"Canada - Saskatchewan Financial Services Commission"
1974431,"Canada - Alberta Securities Commission"
1974431,"Canada - Nova Scotia Securities Commission"
1974431,"Canada - Ontario Securities Commission"
1974431,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1973373,"Belgium - Banking, Finance and Insurance Commission"
1973373,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1981589,"Singapore - Monetary Authority of Singapore"
1981683,"Canada - Manitoba Securities Commission"
1981683,"Canada - Alberta Securities Commission"
1981683,"Australia - Australian Securities and Investments Commission"
1981683,"Canada - Ontario Securities Commission"
1981683,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1981683,"Canada - Saskatchewan Financial Services Commission"
1981683,"Canada - British Columbia Securities Commission"
1981683,"Canada - Quebec, Financial Markets Authority"
1981706,"Canada - Manitoba Securities Commission"
1981706,"Canada - Alberta Securities Commission"
1981706,"Australia - Australian Securities and Investments Commission"
1981706,"Canada - Ontario Securities Commission"
1981706,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1981706,"Canada - Saskatchewan Financial Services Commission"
1981706,"Canada - British Columbia Securities Commission"
1981706,"Canada - Quebec, Financial Markets Authority"
1975295,"Other: TURKS & CAICOS FINANCIAL SERVICES COMMISSION"
1975295,"Canada - Ontario Securities Commission"
1964249,"Jersey - Jersey Financial Services Commission"
1982961,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1982961,"China, People's Republic of - China Securities Regulatory Commission "
1982961,"Singapore - Monetary Authority of Singapore"
1962027,"Hong Kong - Securities and Futures Commission"
1980842,"Canada - Ontario Securities Commission"
1978885,"Singapore - Monetary Authority of Singapore"
1980510,"Canada - Ontario Securities Commission"
1970944,"Switzerland - Swiss Financial Market Supervisory Authority"
1976153,"Cayman Islands - Cayman Islands Monetary Authority"
1984854,"Canada - British Columbia Securities Commission"
1984854,"Canada - Ontario Securities Commission"
1984854,"Canada - Quebec, Financial Markets Authority"
1984854,"Canada - Manitoba Securities Commission"
1976917,"Canada - Ontario Securities Commission"
1973223,"Cayman Islands - Cayman Islands Monetary Authority"
1973223,"Other: FINANCIAL SERVICES REGULATORY AUTHORITY (FSRA) ABU DHABI GLOBAL MARKETS"
1976995,"Ireland -  Central Bank of Ireland"
1977028,"Ireland -  Central Bank of Ireland"
1976816,"United Kingdom - Financial Conduct Authority"
1977038,"Ireland -  Central Bank of Ireland"
1956314,"United Kingdom - Financial Conduct Authority"
1969615,"United Kingdom - Financial Conduct Authority"
1976628,"Canada - Quebec, Financial Markets Authority"
1976628,"Canada - Ontario Securities Commission"
1976628,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1976628,"Canada - British Columbia Securities Commission"
1977152,"United Kingdom - Financial Conduct Authority"
1977170,"Ireland -  Central Bank of Ireland"
1977269,"Ireland -  Central Bank of Ireland"
1977269,"Australia - Australian Securities and Investments Commission"
1978269,"Canada - Alberta Securities Commission"
1978269,"Canada - Manitoba Securities Commission"
1978269,"Canada - British Columbia Securities Commission"
1978269,"Canada - Saskatchewan Financial Services Commission"
1978269,"Canada - Nova Scotia Securities Commission"
1978269,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1978269,"Canada - Northwest Territories, Office of the Registrar of Securities"
1978269,"Canada - Ontario Securities Commission"
1978269,"Canada - Nunavut, Registrar of Securities"
1978269,"Canada - Prince Edward Island, Securities Office"
1978269,"Canada - New Brunswick Securities Commission"
1978269,"Canada - Yukon Territories, Registrar of Securities"
1978269,"Canada - Quebec, Financial Markets Authority"
1978812,"India - Securities and Exchange Board of India"
1942116,"United Kingdom - Financial Conduct Authority"
1942116,"Australia - Australian Securities and Investments Commission"
1979093,"United Kingdom - Financial Conduct Authority"
1975340,"India - Securities and Exchange Board of India"
1975299,"Australia - Australian Securities and Investments Commission"
1975490,"Hong Kong - Securities and Futures Commission"
1975490,"Bermuda - Bermuda Monetary Authority"
1975538,"Cayman Islands - Cayman Islands Monetary Authority"
1980328,"Netherlands - The Netherlands Authority for the Financial Markets"
1980328,"Other: BELGIUM - FINANCIAL SERVICES AND MARKETS AUTHORITY"
1980383,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975716,"China, People's Republic of - China Securities Regulatory Commission "
1975938,"Ireland -  Central Bank of Ireland"
1980182,"United Kingdom - Financial Conduct Authority"
1978062,"Canada - Ontario Securities Commission"
1982898,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1982898,"Australia - Australian Securities and Investments Commission"
1977919,"Other: REGISTERED WITH THE COMMERCIAL OFFICE IN GERMANY, GEWERBEAMT HEIDELBERG AND IHK"
1975557,"United Kingdom - Financial Conduct Authority"
1978318,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1978318,"Australia - Australian Securities and Investments Commission"
1978466,"Hong Kong - Securities and Futures Commission"
1976594,"United Kingdom - Financial Conduct Authority"
1978243,"Other: UNITED ARAB EMIRATES - DUBAI FINANCIAL SERVICES AUTHORITY"
1985425,"France - Financial Markets Authority"
1985572,"Other: ABU DHABI GLOBAL MARKET (ADGM) FINANCIAL SERVICES REGULATORY AUTHORITY (FSRA)"
1976580,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1976580,"Canada - British Columbia Securities Commission"
1976580,"Canada - Alberta Securities Commission"
1976580,"Canada - Ontario Securities Commission"
1976580,"Canada - Quebec, Financial Markets Authority"
1975777,"Japan - Financial Services Agency"
1975777,"Other: SOUTH KOREA - FINANCIAL SERVICES COMMISSION/FINANCIAL SUPERVISORY SERVICE"
1976987,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1976987,"Ireland -  Central Bank of Ireland"
1977044,"Ireland -  Central Bank of Ireland"
1976941,"Switzerland - Swiss Financial Market Supervisory Authority"
1977020,"Other: FINANCIAL SERVICES REGULATORY AUTHORITY OF THE ABU DHABI GLOBAL MARKET, UNITED ARAB EMIRATES"
1977156,"Hong Kong - Securities and Futures Commission"
1977156,"India - Securities and Exchange Board of India"
1977156,"Singapore - Monetary Authority of Singapore"
1978073,"India - Securities and Exchange Board of India"
1978073,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1977115,"United Kingdom - Financial Conduct Authority"
1977115,"Canada - Ontario Securities Commission"
1977115,"Canada - British Columbia Securities Commission"
1977115,"Canada - Quebec, Financial Markets Authority"
1977115,"Canada - New Brunswick Securities Commission"
1977103,"Canada - Yukon Territories, Registrar of Securities"
1977103,"Canada - Nova Scotia Securities Commission"
1977103,"Canada - Saskatchewan Financial Services Commission"
1977103,"Other: CANADA - QUEBEC, AUTORITÉ DES MARCHÉS FINANCIERS"
1977103,"Canada - Ontario Securities Commission"
1977103,"Canada - Manitoba Securities Commission"
1977103,"Canada - New Brunswick Securities Commission"
1977103,"Canada - Alberta Securities Commission"
1977103,"Canada - British Columbia Securities Commission"
1977103,"Canada - Northwest Territories, Office of the Registrar of Securities"
1977103,"Canada - Nunavut, Registrar of Securities"
1977103,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1977103,"Canada - Prince Edward Island, Securities Office"
1985678,"United Kingdom - Financial Conduct Authority"
1985678,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1985678,"Other: MALTA FINANCIAL SERVICES AUTHORITY"
1977279,"Cayman Islands - Cayman Islands Monetary Authority"
1975673,"Japan - Financial Services Agency"
1975673,"United Kingdom - Financial Conduct Authority"
1975673,"Singapore - Monetary Authority of Singapore"
1975673,"Hong Kong - Securities and Futures Commission"
1975673,"Canada - Ontario Securities Commission"
1975673,"Canada - Quebec, Financial Markets Authority"
1975673,"Dubai - Dubai Financial Services Authority"
1976491,"United Kingdom - Financial Conduct Authority"
1976491,"Ireland -  Central Bank of Ireland"
1986033,"Other: FINANCIAL SERVICES REGULATORY AUTHORITY OF THE ABU DHABI GLOBAL MARKET, UNITED ARAB EMIRATES"
1986066,"United Kingdom - Financial Conduct Authority"
1986032,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1977842,"United Kingdom - Financial Conduct Authority"
1982180,"United Kingdom - Financial Conduct Authority"
1982242,"Canada - Alberta Securities Commission"
1982242,"Canada - British Columbia Securities Commission"
1982242,"Canada - Ontario Securities Commission"
1982242,"Canada - Quebec, Financial Markets Authority"
1981503,"India - Securities and Exchange Board of India"
1983266,"India - Securities and Exchange Board of India"
1978482,"Ireland -  Central Bank of Ireland"
1978496,"Japan - Financial Services Agency"
1978398,"Switzerland - Swiss Financial Market Supervisory Authority"
1983226,"India - Securities and Exchange Board of India"
1976521,"United Kingdom - Financial Conduct Authority"
1983796,"United Kingdom - Financial Conduct Authority"
1983340,"Canada - Ontario Securities Commission"
1982554,"Japan - Financial Services Agency"
1982554,"Bahamas - Securities Commission of the Bahamas"
