"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
1992434,"CHARLES SCHWAB, INC.","CHARLES SCHWAB INSTITUTIONAL SERVICES","DALLAS","TX","USA","N","","",52395277
1988320,"NORTHERN TRUST COMPANY","NORTHERN TRUST COMPANY","LONDON","","GBR","N","","",55120703
1991970,"THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","SINGAPORE","","SGP","N","","",405848296
1991970,"THE BANK OF NEW YORK MELLON SA/NV","THE BANK OF NEW YORK MELLON SA/NV","BRUSSELS","","BEL","N","","",175122664
1992448,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","CT","USA","N","8-47257","",10664000
1992462,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","DENVER","CO","USA","N","8-16514","",229816767
1992462,"T. ROWE PRICE INVESTMENT SERVICES, INC.","T. ROWE PRICE INVESTMENT SERVICES, INC.","BALTIMORE","MD","USA","N","8-25130","",27386216
1992487,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","","ZI8Q1A8EI8LQFJNM0D94",2110023565
1992518,"HILLTOP SECURITIES INC.","HILLTOP SECURITIES INC.","DALLAS","TX","USA","N","8-45123","",13760620
1992518,"SEI","SEI","OAKS","PA","USA","N","8-24593","",20259067
1992518,"TRADE-PMR INC.","TRADE-PMR INC.","GAINESVILLE","FL","USA","N","8-51390","",83817926
1992518,"FREEDOM INVESTMENT MANAGEMENT","FREEDOM INVESTMENT MANAGEMENT","HARTFORD","CO","USA","N","","",5728131
1992562,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","","ZI8Q1A8EI8LQFJNM0D94",2110023565
1992460,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",98044168301
