"FilingID","Full Legal Name","CIK Number"
1997486,"NOMURA HOLDINGS, INC. (FORMERLY NAMED THE NOMURA SECURITIES CO., LTD.)",1163653
1999124,"MIDLAND STATES BANCORP, INC.",1466026
1997842,"CITIGROUP INC.",831001
1996999,"XP INC.",1787425
1997378,"SUN LIFE FINANCIAL, INC.",109762
1997400,"STONEX GROUP INC.",913760
1997423,"THE GOLDMAN SACHS GROUP, INC.",886982
1997183,"MORGAN STANLEY",895421
1996038,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1997366,"SUN LIFE FINANCIAL INC.",109762
1997390,"STONEX GROUP INC.",913760
1997235,"ORIX CORPORATION",1070304
1998054,"WENDEL S.E.",1721938
1998184,"BOK FINANCIAL CORPORATION",875357
1997207,"BOK FINANCIAL CORPORATION",875357
1992757,"CITIGROUP INC",831001
1995079,"RAYMOND JAMES FINANCIAL, INC.",720005
1995094,"RAYMOND JAMES FINANCIAL",720005
1991672,"GE VERNOVA INC.",1996810
1991835,"CITIZENS FINANCIAL GROUP",759944
1999443,"SUN LIFE FINANCIAL INC",1097362
1995632,"MITSUBISHI UFJ FINANCIAL GROUP INC",67088
1996786,"HORACE MANN EDUCATORS CORPORATION",850141
1999858,"NORTHERN TRUST CORPORATION",73124
1999887,"STIFEL FINANCIAL CORP.",720672
1999894,"OPPENHEIMER HOLDINGS INC.",791963
1999705,"AMERANT BANCORP INC.",1734342
1999720,"SOUTHSTATE BANK, N.A.",1542445
1993445,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837
1999082,"NOMURA HOLDINGS, INC. (FORMERLY THE NOMURA SECURITIES CO., LTD.)",1163653
1999200,"NERDWALLET, INC.",1625278
1999138,"ENDI CORP.",1908984
1996722,"STEPSTONE GROUP INC.",1796022
2000016,"BANK OF AMERICA CORPORATION",70858
1998837,"BLACKSTONE INC.",1393818
2000441,"ROYAL BANK OF CANADA",1000275
2000003,"MANULIFE FINANCIAL CORPORATION",1086888
1999055,"DEUTSCHE BANK AG",948046
1998497,"STEPSTONE GROUP INC.",1796022
1995896,"THE GOLDMAN SACHS GROUP, INC.",886982
1995243,"SPROTT INC.",1512920
1995389,"SUN LIFE FINANCIAL INC",1097362
1997415,"BOK FINANCIAL CORPORATION",875357
1998224,"LPL FINANCIAL HOLDINGS INC.",1397911
1998218,"FIRST FOUNDATION INC.",1413837
1996071,"DEUTSCHE BANK AG",948046
1996987,"FIFTH THIRD BANCORP",35527
1996022,"AFFILIATED MANAGERS GROUP, INC.",1004434
1995474,"AFFILIATED MANAGERS GROUP, INC.",1004434
1993543,"WHITE MOUNTAINS INSURANCE GROUP",776867
1995634,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1998477,"NBT BANCORP INC.",790359
1999281,"CANADIAN IMPERIAL BANK OF COMMERCE",16847
1995938,"BANK OF AMERICA CORPORATION",70858
1995944,"BANK OF AMERICA CORPORATION",70858
1995680,"FRANKLIN RESOURCES, INC.",38777
1994253,"BANK OF HAWAII CORP.",6022
1998190,"ALLIANCEBERNSTEIN L.P.",1109448
1994798,"BLUE OWL CAPITAL INC.",1823945
1995623,"PRUDENTIAL PLC",1116578
1998409,"MORGAN STANLEY",895421
1998498,"MORGAN STANLEY",895421
1998423,"MORGAN STANLEY",895421
1998421,"MORGAN STANLEY",895421
1998419,"MORGAN STANLEY",895421
1999558,"COHEN & STEERS, INC.",128481
1999004,"MIZUHO FINANCIAL GROUP, INC.",1512734
1999004,"DAI-ICHI LIFE HOLDINGS, INC.",948518
2000743,"RAYMOND JAMES FINANCIAL",720005
2000958,"MORGAN STANLEY",895421
1998765,"BLACKROCK, INC.",2012383
1998771,"BLACKROCK, INC.",2012383
1998779,"BLACKROCK, INC.",2012383
1998809,"BLACKROCK INC.",2012383
1998815,"BLACKROCK, INC.",2012383
1987286,"FRANKLIN RESOURCES, INC.",38777
1995954,"VOYA FINANCIAL, INC.",1535929
1992339,"TETON ADVISORS, INC.",1444874
1999777,"MARSH & MCLENNAN COMPANIES, INC.",62709
2000576,"ARES MANAGEMENT CORPORATION",1176948
1984213,"AMERIPRISE FINANCIAL, INC.",820027
1988621,"ORIX CORPORATION",1070304
1988618,"ORIX CORPORATION",1070304
2000213,"FRANKLIN RESOURCES INC.",38777
2000738,"RAYMOND JAMES FINANCIAL, INC.",720005
1992107,"PRUDENTIAL PLC",89841
2000777,"CITIGROUP INC.",831001
1988956,"UMB FINANCIAL CORPORATION",101382
1999672,"JEFFERIES FINANCIAL GROUP INC.",96226
1999849,"COHEN & STEERS, INC.",1284812
2000992,"UBS GROUP AG",1610520
1998185,"ALLIANCEBERNSTEIN L.P.",1109448
2000358,"MARSH & MCLENNAN COMPANIES, INC.",62709
1998099,"3/12/2025 -CITIGROUP, INC",831001
2000284,"DAIWA SECURITIES GROUP INC.",1481045
2000404,"WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY",1140536
2000931,"STIFEL FINANCIAL CORP.",720672
2001078,"MARSH & MCLENNAN COMPANIES, INC.",62709
1992361,"BLUE OWL CAPITAL INC.",1823945
1996192,"TEXAS CAPITAL BANKCSHARES, INC.",1077428
1999331,"STEPSTONE GROUP INC.",1796022
1995404,"CANADIAN IMPERIAL BANK OF COMMERCE",16847
1995621,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1995622,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1996273,"RAYMOND JAMES FINANCIAL",720005
1996946,"NORTHERN TRUST CORPORATION",73124
1998412,"MORGAN STANLEY",895421
1996039,"DEUTSCHE BANK AG",948046
1998208,"AXOS FINANCIAL, INC.",129970
1998760,"BLACKROCK, INC.",2012383
1998768,"BLACKROCK, INC.",2012383
1998774,"BLACKROCK INC.",2012383
1998807,"BLACKROCK INC.",2012383
1997814,"AFFILIATED MANAGERS GROUP, INC.",1004434
1997784,"STIFEL FINANCIAL CORP",720672
1997876,"BANK OF AMERICA CORPORATION",70858
1992444,"NOMURA HOLDINGS, INC. (FORMERLY NAMED THE NOMURA SECURITIES CO., LTD.)",1163653
1981657,"NOMURA HOLDINGS, INC.",1163653
1998170,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
1998170,"EQUITABLE HOLDINGS, INC.",727920
1988835,"VIRTUS INVESTMENT PARTNERS, INC.",883237
1997692,"XP INC.",1787425
1993920,"JPMORGAN CHASE & CO.",19617
1997809,"U.S. BANCORP",36104
1997837,"ASSOCIATED BANC-CORP",7789
1998740,"BLACKROCK, INC.",2012383
1998770,"BLACKROCK, INC.",2012383
1998778,"BLACKROCK, INC.",2012383
1998804,"BLACKROCK, INC.",2012383
1999056,"FIRST HORIZON CORP",36966
