FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1980028,"","","Y","","","","","","","",
1980221,"","","Y","","","","","","","",
1981452,"","","Y","","","","","","","",
1981500,"","","Y","","","","","","","",
1981901,"","","Y","","","","","","","",
1982098,"","","Y","","","","","","","",
1982581,"","","Y","","","","","","","",
1983038,"Y","","","","","","","","","",
1983136,"Y","","","","","","","","","",
1984993,"","","Y","","","","","","","",
1985334,"","","Y","","","","","","","",
1987019,"","","Y","","","","","","","",
1987293,"","","Y","","","","","","","",
1987881,"","","Y","","","","","","","",
1988221,"","","Y","","","","","","","",
1988404,"","","Y","","","","","","","",
1988698,"Y","","","","","","","","","",
1989287,"","","Y","","","","","","","",
1989369,"","","Y","","","","","","","",
1989518,"Y","","","","","","","","","",
1989519,"","","Y","","","","","","","",
1989527,"","","Y","","","","","","","",
1989529,"","","Y","","","","","","","",
1989657,"","","Y","","","","","","","",
1989716,"","","Y","","","","","","","",
1989745,"","","Y","","","","","","","",
1989930,"","","Y","","","","","","","",
1990375,"","","Y","","","","","","","",
1991696,"","","","","Y","","","Y","","",
1992080,"","","Y","","","","","","","",
1992426,"","","Y","","","","","","","",
1992543,"","","Y","","","","","","","",
1992662,"Y","","","","","","","","","",
1992775,"","","Y","","","","","","","",
1992872,"","","Y","","","","","","","",
1992922,"","","Y","","","","","","","",
1993032,"","","Y","","","","","","","",
1993256,"","","Y","","","","","","","",
1993297,"","","Y","","","","","","","",
1993443,"Y","","","","","","","","","",
1993500,"","","Y","","","","","","","",
1993802,"","","Y","","","","","","","",
1993992,"","","","","Y","","","","","",
1994172,"","","Y","","","","","","","",
1994534,"","","Y","","","","","","","",
1994829,"","","Y","","","","","","","",
1994944,"","","Y","","","","","","","",
1994958,"","","Y","","","","","","","",
1995264,"","","","","Y","","","Y","","",
1995309,"","","","","Y","","","","","",
1995418,"","","Y","","","","","","","",
1995445,"","","Y","","","","","","","",
1995702,"","","Y","","","","","","","",
1995979,"","","Y","","","","","","","",
1996021,"","","","","Y","","","","","",
1996100,"","","Y","","","","","","","",
1996129,"","","Y","","","","","","","",
1996142,"","","Y","","","","","","","",
1996173,"Y","","","","","","","","","",
1996543,"","","Y","","","","","","","",
1996632,"","","Y","","","","","","","",
1996680,"","","Y","","","","","","","",
1996709,"","","Y","","","","","","","",
1996738,"","","Y","","","","","","","",
1996806,"Y","","","","","","","","","",
1996810,"","","Y","","","","","","","",
1996847,"","","Y","","","","","","","",
1996868,"","","Y","","","","","","","",
1996980,"","","Y","","","","","","","",
1996981,"","","Y","","","","","","","",
1997060,"Y","","","","","","","","","",
1997137,"","","","","Y","","","","","",
1997489,"","","Y","","","","","","","",
1997500,"","","Y","","","","","","","",
1997532,"Y","","","","","","","","","",
1997562,"","","Y","","","","","","","",
1997678,"","","Y","","","","","","","",
1998341,"Y","","","","","","","","","",
1998370,"","","Y","","","","","","","",
1998475,"Y","","","","","","","","","",
1998586,"","","Y","","","","","","","",
1998607,"Y","","","","","","","","","",
1998710,"","","Y","","","","","","","",
1998923,"Y","","","","","","","","","",
1998987,"","","Y","","","","","","","",
1999079,"","","","","Y","","","","","",
1999397,"","Y","","","","","","","","",2025
1999523,"Y","","","","","","","","","",
1999631,"","","","","","","Y","","","",
1999682,"","","","","Y","","","Y","","",
1999736,"","","Y","","","","","","","",
1999859,"","","Y","","","","","","","",
1999901,"","","Y","","","","","","","",
1999933,"Y","","","","","","","","","",
1999936,"","","Y","","","","","","","",
1999983,"","","Y","","","","","","","",
1999988,"Y","","","","","","","","","",
2000005,"","","Y","","","","","","","",
2000090,"","","Y","","","","","","","",
2000112,"","","Y","","","","","","","",
2000128,"Y","","","","","","","","","",
2000153,"","","Y","","","","","","","",
2000277,"","","Y","","","","","","","",
2000336,"","","Y","","","","","","","",
2000715,"","","Y","","","","","","","",
2001038,"","","Y","","","","","","","",
2001120,"","","Y","","","","","","","",
2001330,"Y","","","","","","","","","",
2001461,"","","Y","","","","","","","",
2001526,"Y","","","","","","","","","",
2001541,"","","","","","Y","","","","",2025
2001548,"","","Y","","","","","","","",
2001748,"","Y","","","","","","","","",2025
2001874,"","","Y","","","","","","","",
2001961,"","","Y","","","","","","","",
2001973,"","","Y","","","","","","","",
2001981,"","","Y","","","","","","","",
2002035,"","","Y","","","","","","","",
2002068,"","","Y","","","","","","","",
2002179,"","","Y","","","","","","","",
2002235,"","","Y","","","","","","","",
2002239,"","","Y","","","","","","","",
2002282,"","","Y","","","","","","","",
2002350,"","","Y","","","","","","","",
2002357,"","","Y","","","","","","","",
2002365,"","","Y","","","","","","","",
2002419,"","","Y","","","","","","","",
2002442,"","","","","Y","","","","","",
2002573,"","","","","","","Y","","","",
2002629,"","","Y","","","","","","","",
2002662,"","","Y","","","","","","","",
2002752,"","","","","Y","","","","","",
2002754,"","","Y","","","","","","","",
2002790,"","","","","","","Y","","","",
2002907,"Y","","","","","","","","","",
2003058,"","","Y","","","","","","","",
2003075,"","","Y","","","","","","","",
2003150,"","","Y","","","","","","","",
2003160,"","Y","","","","","","","","",2025
2003175,"","","","","","Y","","","","",2025
2003191,"Y","","","","","","","","","",
2003253,"","","Y","","","","","","","",
2003289,"","","Y","","","","","","","",
2003319,"","","Y","","","","","","","",
2003343,"","","Y","","","","","","","",
2003371,"Y","","","","","","","","","",
2003385,"","","Y","","","","","","","",
2003452,"Y","","","","","","","","","Y",
2003454,"","","Y","","","","","","","",
2003478,"","","Y","","","","","","","",
2003490,"","","Y","","","","","","","",
2003495,"","","Y","","","","","","","",
2003527,"","","Y","","","","","","","",
2003528,"Y","","Y","","","","","","","",
2003543,"","","","","Y","","","Y","","",
2003555,"Y","","","","","","","","","",
2003556,"","","Y","","","","","","","",
2003593,"","","Y","","","","","","","",
2003603,"","","Y","","","","","","","",
2003623,"","","Y","","","","","","","",
2003650,"","","Y","","","","","","","",
2003768,"","","Y","","","","","","","",
2003778,"","","Y","","","","","","","",
2003819,"","","Y","","","","","","","",
2003833,"","","Y","","","","","","","",
2003928,"","","Y","","","","","","","",
2003952,"","","Y","","","","","","","",
2003961,"","","Y","","","","","","","",
2004020,"","","Y","","","","","","","",
2004044,"Y","","","","","","","","","",
2004047,"","","Y","","","","","","","",
2004051,"","","Y","","","","","","","",
2004052,"","","Y","","","","","","","",
2004053,"","","Y","","","","","","","",
2004063,"","","","","","Y","","","","",2024
2004094,"","","Y","","","","","","","",
2004096,"","","Y","","","","","","","",
2004155,"","","Y","","","","","","","",
2004164,"","","Y","","","","","","","",
2004173,"Y","","","","","","","","","",
2004182,"","","Y","","","","","","","",
2004191,"","","Y","","","","","","","",
2004196,"","","Y","","","","","","","",
2004201,"","","Y","","","","","","","",
2004210,"Y","","","","","","","","","",
2004250,"Y","","","","","","","","","",
2004262,"","","Y","","","","","","","",
2004269,"","","Y","","","","","","","",
2004276,"Y","","","","","","","","","",
2004285,"","","Y","","","","","","","",
2004297,"","","Y","","","","","","","",
2004329,"","","Y","","","","","","","",
2004381,"","","Y","","","","","","","",
2004408,"","Y","","","","","","","","",2025
2004414,"","","Y","","","","","","","",
2004417,"","","Y","","","","","","","",
2004438,"","","Y","","","","","","","",
2004440,"","","Y","","","","","","","",
2004448,"","Y","","","","","","","","",2025
2004455,"","","","","Y","","","","","",
2004483,"","","Y","","","","","","","",
2004514,"","","Y","","","","","","","",
2004525,"","","Y","","","","","","","",
2004531,"","","Y","","","","","","","",
2004543,"","","Y","","","","","","","",
2004553,"","","Y","","","","","","","",
2004587,"","","Y","","","","","","","",
2004615,"Y","","","","","","","","","",
2004625,"","","Y","","","","","","","",
2004645,"","","Y","","","","","","","",
2004672,"","","Y","","","","","","","",
2004682,"","","Y","","","","","","","",
2004712,"Y","","","","","","","","","",
2004713,"","","","","Y","","","Y","","",
2004720,"","","Y","","","","","","","",
2004740,"","","Y","","","","","","","",
2004810,"","","Y","","","","","","","",
2004849,"","","Y","","","","","","","",
2004858,"","","Y","","","","","","","",
2004860,"","","","","","","Y","","","",
2004882,"","","Y","","","","","","","",
2004883,"","","","","Y","","","","","",
2004902,"","","Y","","","","","","","",
2004963,"","","","","","","Y","","","",
2004964,"","","Y","","","","","","","",
2004970,"","","Y","","","","","","","",
2004994,"","","Y","","","","","","","",
2005001,"","","","","","Y","","","","",2025
2005010,"","","Y","","","","","","","",
2005038,"","","Y","","","","","","","",
2005072,"","","Y","","","","","","","",
2005085,"","","Y","","","","","","","",
2005087,"Y","","","","","","","","","",
2005088,"","","Y","","","","","","","",
2005096,"","","Y","","","","","","","",
2005117,"","","Y","","","","","","","",
2005136,"","","Y","","","","","","","",
2005153,"","","Y","","","","","","","",
2005165,"","","Y","","","","","","","",
2005179,"Y","","","","","","","","","",
2005180,"","","Y","","","","","","","",
2005181,"","","Y","","","","","","","",
2005219,"","","Y","","","","","","","",
2005258,"","","Y","","","","","","","",
2005272,"","","Y","","","","","","","",
2005281,"","","","","Y","","","","","",
2005305,"","","","","","Y","","","","",2025
2005312,"","","Y","","","","","","","",
2005318,"Y","","","","","","","","","",
2005322,"","","Y","","","","","","","",
2005323,"","","Y","","","","","","","",
2005333,"","","Y","","","","","","","",
2005334,"Y","","","","","","","","","",
2005340,"","","Y","","","","","","","",
2005350,"","","Y","","","","","","","",
2005364,"","","Y","","","","","","","",
2005385,"","","Y","","","","","","","",
2005390,"","","Y","","","","","","","",
2005409,"","","Y","","","","","","","",
2005455,"Y","","","","","","","","","",
2005464,"","","Y","","","","","","","",
2005481,"","","Y","","","","","","","",
2005517,"Y","","","","","","","","","",
2005524,"Y","","","","","","","","","",
2005551,"","","Y","","","","","","","",
2005553,"","","Y","","","","","","","",
2005567,"","","Y","","","","","","","",
2005610,"","","Y","","","","","","","",
2005614,"","Y","","","","","","","","",2025
2005645,"","","Y","","","","","","","",
2005657,"","","Y","","","","","","","",
2005664,"","","Y","","","","","","","",
2005665,"","","","","","","Y","","","",
2005678,"","","Y","","","","","","","",
2005691,"","","Y","","","","","","","",
2005717,"","","Y","","","","","","","",
2005718,"","","Y","Y","","","","","","",
2005763,"","","Y","","","","","","","",
2005768,"","","","","","","","","","Y",
2005771,"","","","","","","Y","","","",
2005786,"","","Y","","","","","","","",
2005792,"","","Y","","","","","","","",
2005829,"","","Y","","","","","","","",
2005830,"","Y","","","","","","","","",2025
2005831,"","","","","","","Y","","","",
2005836,"","","Y","","","","","","","",
2005840,"","","","","Y","","","Y","","",
2005842,"","","Y","","","","","","","",
2005850,"","","Y","","","","","","","",
2005864,"Y","","","","","","","","","",
2005886,"","","Y","","","","","","","",
2005889,"","","Y","","","","","","","",
2005903,"Y","","","","","","","","","",
2005906,"","","Y","","","","","","","",
2005909,"","","Y","","","","","","","",
2005923,"","","","","Y","","","","","",
2005936,"","","","","","","","","Y","Y",
2005943,"","","Y","","","","","","","",
2005944,"","","","","Y","","","Y","","",
2005950,"","","Y","","","","","","","",
2005958,"","","Y","","","","","","","",
2005961,"","","Y","Y","","","","","","",
2005964,"","","Y","","","","","","","",
2005976,"","","Y","","","","","","","",
2006029,"","","Y","","","","","","","",
2006031,"","","Y","","","","","","","",
2006055,"Y","","","","","","","","","",
2006060,"","","Y","","","","","","","",
2006063,"","","Y","","","","","","","",
2006081,"","","","","Y","","","","","",
2006105,"","","Y","","","","","","","",
2006109,"Y","","","","","","","","","",
2006119,"","","Y","","","","","","","",
2006133,"","","Y","","","","","","","",
2006148,"","","Y","","","","","","","",
2006154,"","","Y","","","","","","","",
2006160,"","","","","","","Y","","","",
2006187,"Y","","","","","","","","","",
2006194,"","","Y","","","","","","","",
2006195,"","","Y","","","","","","","",
2006214,"","","Y","","","","","","","",
2006220,"","","Y","","","","","","","",
2006235,"","","Y","","","","","","","",
2006247,"","","Y","","","","","","","",
2006269,"","","Y","","","","","","","",
2006287,"","","","","","","Y","","","",
2006292,"","","Y","","","","","","","",
2006293,"","","Y","","","","","","","",
2006305,"","","Y","","","","","","","",
2006311,"","","Y","","","","","","","",
2006321,"","","Y","","","","","","","",
2006328,"","","Y","","","","","","","",
2006337,"","","Y","","","","","","","",
2006342,"","","Y","","","","","","","",
2006344,"","","","","Y","","","","","",
2006349,"","","","","Y","","","","","",
2006356,"","","","","","","Y","","","",
2006363,"","","Y","","","","","","","",
2006365,"","","Y","","","","","","","",
2006371,"","","Y","","","","","","","",
2006379,"","","Y","","","","","","","",
2006382,"","","Y","","","","","","","",
2006384,"","","","","Y","","","","","",
2006386,"","","Y","","","","","","","",
2006404,"","","","","","Y","","","","",2025
2006414,"","","Y","","","","","","","",
2006417,"","","Y","","","","","","","",
2006419,"","","Y","","","","","","","",
2006420,"Y","","","","","","","","","",
2006427,"","","","","Y","","","","","",
2006441,"","","","","","","Y","","","",
2006452,"","","","","","","Y","","","",
2006456,"","","","","","","Y","","","",
2006459,"","","Y","","","","","","","",
2006465,"","","Y","","","","","","","",
2006469,"","","Y","","","","","","","",
2006472,"","","Y","","","","","","","",
2006478,"","","Y","","","","","","","",
2006480,"Y","","","","","","","","","",
2006496,"Y","","","","","","","","","",
2006511,"","","Y","","","","","","","",
2006515,"","","Y","","","","","","","",
2006519,"","","Y","","","","","","","",
2006523,"","","Y","","","","","","","",
2006524,"","","Y","","","","","","","",
2006538,"","","Y","","","","","","","",
2006541,"","","Y","","","","","","","",
2006555,"","","Y","","","","","","","",
2006572,"","","Y","","","","","","","",
2006586,"","","Y","","","","","","","",
2006588,"","","Y","","","","","","","",
2006589,"","","Y","","","","","","","",
2006595,"","","Y","","","","","","","",
2006602,"","","Y","","","","","","","",
2006612,"","","Y","","","","","","","",
2006618,"","","Y","","","","","","","",
2006621,"","","Y","","","","","","","",
2006625,"","","Y","","","","","","","",
2006626,"","","Y","","","","","","","",
2006633,"Y","","","","","","","","","",
2006640,"","","Y","","","","","","","",
2006646,"","","Y","","","","","","","",
2006651,"Y","","","","","","","","","",
2006657,"","","","","","","Y","","","",
2006672,"","","Y","","","","","","","",
2006677,"","","Y","","","","","","","",
2006681,"","","","","","","Y","","","",
2006689,"","","Y","","","","","","","",
2006722,"Y","","","","","","","","","",
2006729,"","","Y","","","","","","","",
2006733,"","","Y","","","","","","","",
2006737,"Y","","","","","","","","","",
2006740,"Y","","","","","","","","","",
2006746,"","","Y","","","","","","","",
2006750,"","","Y","","","","","","","",
2006758,"","","Y","","","","","","","",
2006763,"","","Y","","","","","","","",
2006772,"Y","","","","","","","","","",
2006789,"","","Y","","","","","","","",
2006801,"","","","","Y","","","","","",
2006806,"","","Y","","","","","","","",
2006827,"","","Y","","","","","","","",
2006828,"Y","","","","","","","","","",
