"FilingID","Representation 1","Representation 2","Representation 3"
2007281,"N","N","Y"
2007781,"Y","Y","Y"
2007883,"Y","Y","Y"
2008527,"N","N","Y"
2011308,"N","N","Y"
2007213,"N","N","Y"
2007292,"N","N","Y"
2011803,"N","N","Y"
2007348,"Y","Y","Y"
2007395,"N","N","Y"
2007746,"Y","N","Y"
2009185,"Y","Y","Y"
2009203,"Y","Y","Y"
2007696,"Y","Y","Y"
2012439,"N","N","Y"
2010212,"Y","Y","Y"
2008625,"Y","Y","Y"
2007248,"Y","Y","N"
2007747,"Y","Y","Y"
2010200,"Y","Y","Y"
2004448,"N","N","Y"
2009086,"Y","Y","Y"
2010708,"N","N","Y"
2010191,"N","N","Y"
2010673,"Y","Y","Y"
