"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
2007814,"GLOBAL MANAGER FOCUSED GROWTH SEGREGATED PORTFOLIO",805-3824555850,"UNIMAR","801-108974","N"
2011007,"AWA SMALL CAP ACCESS FUND, L.P",805-1296209439,"ARGOS WEALTH ADVISORS LLC","801-68097","N"
2009099,"K2 LAZARD LIQUID CONVERTIBLES PLUS MASTER FUND LTD",805-3056277892,"K2/D&S MANAGEMENT CO., L.L.C.","801-61852","N"
1982098,"THE HARTFORD CAYMAN REAL ASSET FUND, LTD.",805-9239573793,"HARTFORD FUNDS","801-77209","N"
1982098,"COMMONFUND EM QUANTITATIVE FOCUS FUND, LLC",805-1118310215,"COMMONFUND OCIO, INC.","801-56548","N"
1982098,"GLOBAL EQUITY PLUS FUND",805-5351145898,"RUSSELL INVESTMENTS","801-56576","N"
1982098,"TTC WORLD EQUITY FUND QP, LP",805-1198575718,"TIEDEMANN ADVISORS, LLC","801-69865","N"
1982098,"ARCHIPELAGO HOLDINGS, LTD.",805-3304602860,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"ARCHIPELAGO PARTNERS, L.P.",805-2419107837,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"WELLINGTON MACRO STRATEGIES FUND (CAYMAN), LTD.",805-7517366117,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"WELLINGTON MACRO STRATEGIES FUND MASTER INVESTORS (CAYMAN) L.P.",805-3919979460,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"WELLINGTON MACRO STRATEGIES FUND, L.P.",805-1839135874,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"BAY POND INVESTORS (BERMUDA) L.P.",805-2284755846,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"BAY POND PARTNERS, L.P.",805-7565517923,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"WELLINGTON CREDIT STRATEGIES FUND (CAYMAN), LTD.",805-9484488127,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"WELLINGTON CREDIT STRATEGIES MASTER FUND (CAYMAN) L.P.",805-1434767571,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"WELLINGTON CREDIT STRATEGIES FUND, L.P.",805-4451845105,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"GLOBAL EQUITY ABSOLUTE RETURN MASTER INVESTORS (CAYMAN) L.P.",805-3415293928,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"HADLEY HARBOR INVESTORS (CAYMAN) L.P.",805-1119173283,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"HADLEY HARBOR MASTER INVESTORS (CAYMAN) L.P.",805-1369274927,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"HAWKES BAY INVESTORS (CAYMAN), LTD.",805-9106363183,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"HAWKES BAY MASTER INVESTORS (CAYMAN) L.P.",805-4192011419,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"HAWKES BAY PARTNERS, L.P.",805-6225634555,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"WELLINGTON GLOBAL TECHNOLOGY LONG/SHORT FUND (BERMUDA) L.P.",805-9446705490,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"WELLINGTON GLOBAL TECHNOLOGY LONG/SHORT FUND, L.P.",805-6587797273,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"HADLEY HARBOR PARTNERS, L.P.",805-7098644780,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"HIGH HAITH INVESTORS (CAYMAN), LTD.",805-3632277678,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"HIGH HAITH MASTER INVESTORS (CAYMAN) L.P.",805-7112621105,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"HIGH HAITH PARTNERS, L.P.",805-3283416537,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"IGUAZU INVESTORS (CAYMAN), SPC",805-9007598077,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"IGUAZU MASTER INVESTORS (CAYMAN) L.P.",805-1514745488,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"IGUAZU PARTNERS, L.P.",805-9695515617,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"ITHAN CREEK INVESTORS (CAYMAN) II, LTD.",805-6014908978,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"ITHAN CREEK INVESTORS (CAYMAN), LTD.",805-7370203404,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"ITHAN CREEK MASTER INVESTORS (CAYMAN) L.P.",805-8264399805,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","N"
1982098,"ITHAN CREEK PARTNERS, L.P.",805-2217503150,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"J. CAIRD INVESTORS (BERMUDA) L.P.",805-8330022167,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"J. CAIRD PARTNERS, L.P.",805-8835414780,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"NORTH RIVER INVESTORS (BERMUDA) L.P.",805-7894470511,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"NORTH RIVER PARTNERS, L.P.",805-7222588491,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"PAGOSA INVESTORS (CAYMAN), LTD.",805-7514899716,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"PAGOSA PARTNERS, L.P.",805-4640329854,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"QUISSETT INVESTORS (BERMUDA) L.P.",805-7394262866,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"QUISSETT PARTNERS, L.P.",805-8708847970,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
1982098,"SALTHILL INVESTORS (BERMUDA) L.P.",805-7286263013,"WELLINGTON ALTERNATIVE INVESTMENTS","801-107461","Y"
