"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1995672,288406,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1995672,288406,"COINBASE, INC.","",,"SAN FRANCISCO","California","United States","Y"
1995732,364554,"STONEX FINANCIAL INC.","8-51269",45993,"WINTER PARK","Florida","United States","N"
1995732,364554,"BTIG, LLC","8-65473",122225,"NEW YORK","New York","United States","N"
1993812,4345,"WELLS FARGO PRIME SERVICES, LLC","8-66677",133068,"NEW YORK","New York","United States","Y"
1993812,4340,"WELLS FARGO PRIME SERVICES, LLC","8-66677",133068,"NEW YORK","New York","United States","Y"
1993812,4349,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1996832,193071,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1999646,484958,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1999646,484958,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1999021,246333,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1999021,12438,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1999021,12438,"UBS AG","",,"LONDON","","United Kingdom","Y"
1999021,12438,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1999021,12438,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1999021,269351,"HSBC BANK PLC","",,"LONDON","","United Kingdom","Y"
1992888,487499,"RAYMOND JAMES & ASSOCIATES, INC.","8-10999",705,"ST. PETERSBURG","Florida","United States","Y"
1992888,487497,"RAYMOND JAMES & ASSOCIATES, INC.","8-10999",705,"ST. PETERSBURG","Florida","United States","Y"
