"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1988481,"FUND 1",805-5663558974,"BOOTHBAY FUND MANAGEMENT","801-80018","N"
1992704,"PIMCO RAE US FUND LLC",805-4823590273,"PACIFIC INVESTMENT MANAGEMENT COMPANY LLC","801-48187","N"
1992704,"PIMCO RAE EMERGING MARKETS FUND LLC",805-3839794967,"PACIFIC INVESTMENT MANAGEMENT COMPANY LLC","801-48187","N"
1992704,"PIMCO RAE INTERNATIONAL FUND LLC",805-4689469439,"PACIFIC INVESTMENT MANAGEMENT COMPANY LLC","801-48187","N"
1992704,"PIMCO RAE GLOBAL FUND LLC",805-3752092163,"PACIFIC INVESTMENT MANAGEMENT COMPANY LLC","801-48187","N"
1992704,"PIMCO RAE GLOBAL EX-US FUND LLC",805-8292067293,"PACIFIC INVESTMENT MANAGEMENT COMPANY LLC","801-48187","N"
1993321,"K INDIA OPPORTUNITIES FUND LIMITED (CONSISTENT COMPOUNDERS INDIA  FUNDS)",805-9055689503,"KOTAK MAHINDRA (INTERNATIONAL) LIMITED","802-76440","N"
1989668,"EURO GALAXY VI CLO DAC",805-1676494459,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","N"
1989668,"EURO-GALAXY III CLO DAC",805-6318500375,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","Y"
1989668,"EURO-GALAXY IV CLO DAC",805-8086565255,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","Y"
1989668,"EURO-GALAXY V CLO DAC",805-8116411399,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","N"
1989668,"GALAXY XIX CLO LTD",805-4409150850,"PINEBRIDGE GALAXY LLC","801-108522","N"
1989668,"GALAXY XXIII CLO LTD",805-7077775888,"PINEBRIDGE GALAXY LLC","801-108522","N"
1989668,"GALAXY XXIV CLO LTD",805-8270828823,"PINEBRIDGE GALAXY LLC","801-108522","N"
1989668,"GALAXY XXV CLO LTD",805-6911095823,"PINEBRIDGE GALAXY LLC","801-108522","N"
1989668,"PINEBRIDGE GLOBAL FOCUS EQUITY FUND",805-1734289646,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","Y"
1989668,"GALAXY XXVI CLO LTD",805-9186101293,"PINEBRIDGE GALAXY LLC","801-108522","N"
1989668,"PINEBRIDGE PRIVATE EQUITY INSURANCE FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, LP",805-9666095370,"SALI FUND SERVICES","801-61702","Y"
1989668,"PINEBRIDGE GLOBAL EMERGING MARKETS CORPORATE BOND FUND",805-4488981496,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","Y"
1989668,"EURO GALAXY VII CLO DAC",805-5184263433,"PINEBRIDGE INVESTMENTS EUROPE LIMITED","802-76432","Y"
1983927,"SHARB INVESTORS LP",805-7340978547,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WATERFALL SENTINEL MASTER FUND I-B LP",805-4074331466,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WATERFALL EDEN MASTER FUND, LTD.",805-4120410215,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WSMF I AV LP",805-6228355123,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WSMF I ONPOINT INVESTOR LP",805-3573513049,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WATERFALL SENTINEL FUND I (CAYMAN I) LP",805-3717422901,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WATERFALL SENTINEL FUND I (UB), LP",805-4809685472,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WATERFALL SENTINEL FUND I LP",805-1524346633,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1983927,"WATERFALL EDEN FUND, LP",805-4726667308,"WATERFALL ASSET MANAGEMENT, LLC","801-65087","N"
1977481,"NR 1 SP, A SEGREGATED PORTFOLIO OF NORTH ROCK SPC",805-5517156357,"LIGHTHOUSE INVESTMENT PARTNERS, LLC","801-64978","N"
1988647,"BOOTHBAY ABSOLUTE RETURN STRATEGIES, LP",805-5663558974,"BOOTHBAY FUND MANAGEMENT","801-80018","N"
1988731,"GUGGENHEIM BETA PLUS SOLUTION FUND SPC - SEGREGATED PORTFOLIO 3",805-7858128430,"GUGGENHEIM PARTNERS INVESTMENT MANAGEMENT, LLC","801-66786","N"
1988731,"GUGGENHEIM BETA PLUS SOLUTION FUND SPC - SEGREGATED PORTFOLIO 4",805-3030404413,"GUGGENHEIM PARTNERS INVESTMENT MANAGEMENT, LLC","801-66786","N"
1988731,"GUGGENHEIM BETA PLUS SOLUTION FUND SPC - SEGREGATED PORTFOLIO 1",805-4445677491,"GUGGENHEIM PARTNERS INVESTMENT MANAGEMENT, LLC","801-66786","N"
1988731,"GUGGENHEIM BETA PLUS SOLUTION FUND SPC - SEGREGATED PORTFOLIO 2",805-3023354480,"GUGGENHEIM PARTNERS INVESTMENT MANAGEMENT, LLC","801-66786","N"
1987426,"EAGLE HARBOR MULTI-STRATEGY MASTER FUND LIMITED (CAYMAN DOMICILED)",805-5201965961,"LIGHTHOUSE INVESTMENT PARTNERS, LLC","801-64978","N"
1988571,"SEQUOIA CAPITAL GLOBAL GROWTH FUND III- ENDURANCE PARTNERS PRINCIPAL FUND, L.P.",805-9622979065,"SEQUOIA CAPITAL OPERATIONS, LLC","801-122957","N"
1988571,"SEQUOIA CAPITAL GLOBAL GROWTH FUND III- ENDURANCE PARTNERS, L.P.",805-8573539182,"SEQUOIA CAPITAL OPERATIONS, LLC","801-122957","N"
1988571,"SEQUOIA CAPITAL GLOBAL GROWTH FUND III - U.S./INDIA ANNEX PRINCIPALS FUND, L.P.",805-8727052627,"SEQUOIA CAPITAL OPERATIONS, LLC","801-122957","N"
1988571,"SEQUOIA CAPITAL GLOBAL GROWTH FUND II, L.P.",805-8978498556,"SEQUOIA CAPITAL OPERATIONS, LLC","801-122957","N"
1988571,"SEQUOIA CAPITAL GLOBAL GROWTH FUND III - U.S./INDIA ANNEX FUND, L.P.",805-9991731136,"SEQUOIA CAPITAL OPERATIONS, LLC","801-122957","N"
1989285,"MAGNITUDE SPECIAL INVESTMENTS PORTFOLIO FUND, LTD.",805-4033875169,"MAGNITUDE CAPITAL, LLC","801-65284","N"
