FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1925682,"","Y","","","","","","","","",2024
1927502,"Y","","","","","","","","","",
1928216,"","","Y","","","","","","","",
1928460,"","Y","","","","","","","","",2024
1929233,"Y","","","","","","","","","",
1931679,"","","","","Y","","","","","",
1933444,"","","","","Y","","","","","",
1935360,"","","","","","Y","","","","",2024
1937015,"Y","","","","","","","","","",
1937654,"Y","","","","","","","","","",
1938326,"Y","","","","","","","","","",
1938339,"","Y","","","","","","","","",2024
1939178,"","","","","Y","","","","","",
1939705,"","Y","","","","","","","","",2024
1940143,"","","","","","Y","","","","",2024
1942600,"Y","","","","","","","","","",
1944239,"","","","","Y","","","","","",
1944534,"Y","","","","","","","","","",
1945290,"","","Y","","","","","","","",
1946206,"Y","","","","","","","","","",
1947244,"","","Y","","","","","","","",
1947626,"","","","","","Y","","","","",2024
1948020,"","","Y","","","","","","","",
1950907,"Y","","","","","","","","","",
1951816,"Y","","","","","","","","","",
1951830,"Y","","","","","","","","","",
1952020,"","Y","","","","","","","","",2024
1953453,"","","Y","","","","","","","",
1953714,"","Y","","","","","","","","",2025
1953785,"Y","","","","","","","","","",
1953897,"","","Y","","","","","","","",
1954965,"Y","","","","","","","","","",
1954971,"Y","","","","","","","","","",
1955867,"","","","","","Y","","","","",2025
1955880,"","","Y","","","","","","","",
1956793,"","","","","","Y","","","","",2024
1956857,"","Y","","","","","","","","",2024
1957930,"","","Y","","","","","","","",
1958170,"Y","","","","","","","","","",
1959385,"","","","","","Y","","","","",2025
1959386,"","","","","","Y","","","","",2025
1959898,"Y","","","","","","","","","",
1960036,"","","Y","","","","","","","",
1960461,"","Y","","","","","","","","",2025
1960965,"Y","","","","","","","","","",
1961688,"","","","","Y","","","","","",
1961780,"","Y","","","","","","","","",2025
1962077,"","","Y","","","","","","","",
1962280,"Y","","","","","","","","","",
1962347,"","","","","Y","","","","","",
1962856,"","","","","Y","","","","","",
1963950,"","","","","Y","","","","","",
1964034,"","","Y","","","","","","","",
1964643,"","","","","Y","Y","","","","",2024
1965147,"","","","","","Y","","","","",2024
1965252,"","","","","","Y","","","","",2025
1965292,"Y","","","","","","","","","",
1965352,"","","","","","Y","","","","",2025
1965630,"","Y","","","","","","","","",2024
1966356,"","","Y","","","","","","","",
1966361,"","","Y","","","","","","","",
1967429,"Y","","","","","","","","","",
1967625,"","","Y","","","","","","","",
1967838,"","","Y","","","","","","","",
1968285,"","","Y","","","","","","","",
1968785,"","Y","","","","","","","","",2025
1969033,"","Y","","","","","","","","",2024
1969463,"","","Y","","","","","","","",
1969540,"","","","","","","Y","","","",
1969792,"","Y","","","","","","","","",2025
1969857,"","","","","","","Y","","","",
1970275,"","Y","","","","","","","","",2024
1970854,"Y","","","","","","","","","",
1971232,"","","Y","","","","","","","",
1971382,"","","Y","","","","","","","",
1971449,"","Y","","","","","","","","",2024
1972319,"","","Y","","","","","","","",
1973348,"","","","","","","Y","","","",
1973432,"","","Y","","","","","","","",
1973503,"","Y","","","","","","","","",2024
1973512,"","","Y","","","","","","","",
1973707,"","","","Y","","","","","","",
1974200,"","","Y","","","","","","","",
1974345,"","","","","","","Y","","","",
1974437,"","Y","","","","","","","","",2024
1974654,"Y","","","","","","","","","",
1974879,"","","","","","Y","","","","",2024
1974907,"","","","","","Y","","","","",2024
1975003,"Y","","","","","","","","","",
1975234,"Y","","","","","","","","","Y",
1975241,"","","Y","","","","","","","",
1975264,"","","","Y","","","","","","",
1975275,"Y","","","","","","","","","",
1975447,"","","","","","Y","","","","",2024
1975494,"","","Y","","","","","","","",
1975535,"","","Y","","","","","","","",
1975599,"","Y","","","","","","","","",2025
1975638,"","","Y","","","","","","","",
1975676,"Y","","","","","","","","","",
1975685,"","","","","","Y","","","","",2025
1975735,"","","Y","","","","","","","",
1975758,"","","Y","","","","","","","",
1975774,"Y","","","","","","","","","",
1975812,"","","Y","","","","","","","",
1975857,"","","Y","","","","","","","",
1975862,"","","Y","Y","","","","","","",
1975865,"Y","","","","","","","","","Y",
1975870,"","","Y","","","","","","","",
1975910,"","","Y","","","","","","","",
1975911,"","Y","","","","","","","","",2025
1975924,"","","Y","","","","","","","",
1975928,"","","","","Y","","","","","",
1975962,"Y","","","","","","","","","",
1976015,"","Y","","","","","","","","",2024
1976043,"","","","Y","","","","","","",
1976056,"","","","","","Y","","","","",2025
1976062,"","","","","","","","","","Y",
1976078,"","","Y","","","","","","","",
1976133,"","","Y","","","","","","","",
1976148,"","","Y","","","","","","","",
1976160,"Y","","","","","","","","","",
1976223,"","","Y","","","","","","","",
1976288,"","","","","Y","","","","","",
1976581,"","","Y","","","","","","","",
1976602,"","","Y","","","","","","","",
1976605,"","","Y","","","","","","","",
1976630,"","","Y","","","","","","","",
1976672,"","","Y","","","","","","","",
1976731,"Y","","","","","","","","","",
1976782,"","","Y","","","","","","","",
1976812,"","","Y","","","","","","","",
1976860,"","","Y","","","","","","","",
1976871,"Y","","","","","","","","","",
1976892,"","","Y","","","","","","","",
1976928,"","","Y","","","","","","","",
1976983,"","","Y","","","","","","","",
1976996,"","","","Y","","","","","","",
1977179,"","","Y","","","","","","","",
1977199,"Y","","","","","","","","","",
1977212,"","","Y","","","","","","","",
1977224,"","","Y","","","","","","","",
1977356,"","","","","Y","","","","","",
1977397,"","","Y","","","","","","","",
1977481,"","","Y","","","","","","","",
1977514,"","","Y","","","","","","","",
1977546,"Y","","","","","","","","","",
1977586,"","","Y","","","","","","","",
1977634,"Y","","","","","","","","","",
1977640,"","","Y","","","","","","","",
1977642,"","","Y","","","","","","","",
1977677,"Y","","","","","","","","","",
1977796,"","","","","","","Y","","","",
1977800,"","","","","","Y","","","","",2025
1977805,"","","Y","","","","","","","",
1977913,"Y","","","","","","","","","",
1978001,"","","Y","","","","","","","",
1978155,"","","","","Y","","","","","",
1978171,"Y","","","","","","","","","",
1978223,"","","","","Y","","","","","",
1978229,"","","Y","","","","","","","",
1978249,"","","","","Y","","","","","",
1978253,"","","Y","","","","","","","",
1978268,"","","Y","","","","","","","",
1978280,"","","Y","","","","","","","",
1978344,"","","","Y","","","","","","",
1978428,"","","","","Y","","","","","",
1978433,"","","Y","","","","","","","",
1978445,"","","Y","","","","","","","",
1978509,"","","Y","","","","","","","",
1978525,"","","Y","","","","","","","",
1978531,"Y","","","","","","","","","",
1978563,"","","Y","","","","","","","",
1978597,"","","Y","","","","","","","",
1978599,"","","","","","Y","","","","",2024
1978605,"","","Y","","","","","","","",
1978692,"","","Y","","","","","","","",
1978733,"","","","Y","","","","","","",
1978783,"Y","","","","","","","","","",
1978814,"","","","","","Y","","","","",2024
