"FilingID","Representation 1","Representation 2"
1912945,"Y","Y"
1950086,"Y","Y"
1948854,"Y","Y"
1928079,"Y","Y"
1947720,"Y","Y"
1949905,"Y","Y"
1949950,"Y","Y"
1946168,"Y","Y"
1948032,"Y","Y"
1952940,"Y","Y"
1953265,"Y","Y"
1951834,"Y","Y"
1952181,"Y","Y"
1955486,"Y","Y"
1950576,"Y","Y"
1942026,"Y","Y"
1956784,"Y","Y"
1945896,"Y","Y"
1948407,"Y","Y"
1945665,"Y","Y"
1955622,"Y","Y"
1944594,"Y","Y"
1957671,"Y","Y"
1957418,"Y","Y"
1955723,"Y","Y"
1954941,"Y","Y"
1955031,"Y","Y"
1951198,"Y","Y"
1953405,"Y","Y"
1955701,"Y","Y"
1946097,"Y","Y"
1956339,"Y","Y"
1956145,"Y","Y"
1935459,"Y","Y"
1959540,"Y","Y"
1919197,"Y","Y"
1952361,"Y","Y"
1958891,"Y","Y"
1950542,"Y","Y"
1949555,"Y","Y"
1953460,"Y","Y"
1959709,"Y","Y"
1958888,"Y","Y"
1960135,"Y","Y"
1960244,"Y","Y"
1949549,"Y","Y"
1942004,"Y","Y"
1951653,"Y","Y"
1951707,"Y","Y"
1947003,"Y","Y"
1941906,"Y","Y"
1952578,"Y","Y"
1952657,"Y","Y"
1948042,"Y","Y"
1953235,"Y","Y"
1955838,"Y","Y"
1955515,"Y","Y"
1956407,"Y","Y"
1944020,"Y","Y"
1948455,"Y","Y"
1957005,"Y","Y"
1958227,"Y","Y"
1958232,"Y","Y"
1957579,"Y","Y"
1958492,"Y","Y"
1943030,"Y","Y"
1953113,"Y","Y"
1958750,"Y","Y"
1958811,"Y","Y"
1959476,"Y","Y"
1959727,"Y","Y"
1959917,"Y","Y"
1952277,"Y","Y"
1937288,"Y","Y"
1958530,"Y","Y"
1960707,"Y","Y"
1952540,"Y","Y"
1954189,"Y","Y"
1954434,"Y","Y"
1953741,"Y","Y"
1958677,"Y","Y"
1943587,"Y","Y"
1961885,"Y","Y"
1957702,"Y","Y"
1960212,"Y","Y"
1958053,"Y","Y"
1951279,"Y","Y"
1961494,"Y","Y"
1961184,"Y","Y"
1957798,"Y","Y"
1961623,"Y","Y"
1961555,"Y","Y"
1961576,"Y","Y"
1962040,"Y","Y"
1932333,"Y","Y"
1958815,"Y","Y"
1941250,"Y","Y"
1963362,"Y","Y"
1945855,"Y","Y"
1928720,"Y","Y"
1971638,"Y","Y"
1964508,"Y","Y"
1964768,"Y","Y"
1962234,"Y","Y"
1949909,"Y","Y"
1964142,"Y","Y"
1964250,"Y","Y"
1965745,"Y","Y"
1964255,"Y","Y"
1968274,"Y","Y"
1964482,"Y","Y"
1963998,"Y","Y"
1962165,"Y","Y"
1971528,"Y","Y"
1971701,"Y","Y"
1963508,"Y","Y"
1966976,"Y","Y"
1969100,"Y","Y"
1969083,"Y","Y"
1969129,"Y","Y"
1956658,"Y","Y"
1973327,"Y","Y"
1933528,"Y","Y"
1973421,"Y","Y"
1948644,"Y","Y"
1941625,"Y","Y"
1971213,"Y","Y"
1966933,"Y","Y"
1969406,"Y","Y"
1965260,"Y","Y"
1964923,"Y","Y"
1968253,"Y","Y"
1966535,"Y","Y"
1947261,"Y","Y"
1970388,"Y","Y"
1943324,"Y","Y"
1971545,"Y","Y"
1971577,"Y","Y"
1971731,"Y","Y"
1973000,"Y","Y"
1962645,"Y","Y"
1956622,"Y","Y"
1972200,"Y","Y"
1963932,"Y","Y"
1962953,"Y","Y"
1972358,"Y","Y"
1966879,"Y","Y"
1954420,"Y","Y"
1966427,"Y","Y"
1953061,"Y","Y"
1974296,"Y","Y"
1965637,"Y","Y"
1963461,"Y","Y"
1968235,"Y","Y"
1973296,"Y","Y"
1970937,"Y","Y"
1969584,"Y","Y"
1967905,"Y","Y"
1947740,"Y","Y"
1966800,"Y","Y"
1971190,"Y","Y"
1969699,"Y","Y"
1971587,"Y","Y"
1969454,"Y","Y"
1973813,"Y","Y"
1961850,"Y","Y"
1963354,"Y","Y"
1974335,"Y","Y"
1962705,"Y","Y"
1962764,"Y","Y"
1965939,"Y","Y"
1966177,"Y","Y"
1960239,"Y","Y"
1928367,"Y","Y"
1962935,"Y","Y"
1963255,"Y","Y"
1963594,"Y","Y"
1974604,"Y","Y"
1970685,"Y","Y"
