"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1947785,60693,12266,"HAVENS PARTNERS, L.P.",805-3079528095,"Delaware","United States","Y","N"
1947785,60704,12272,"HAVENS INTERNATIONAL ENHANCED FUND, LTD.",805-1012002515,"","Cayman Islands","Y","N"
1947785,60704,12271,"HAVENS PARTNERS ENHANCED FUND, L.P.",805-9472726665,"Delaware","United States","Y","N"
1966647,354870,151741,"PAG REAL ESTATE PARTNERS III FEEDER LP",805-3158314613,"","Cayman Islands","N","Y"
1966647,426088,148043,"SCREP VIII FEEDER LP",805-5928510833,"","Cayman Islands","N","Y"
1966647,393311,146240,"PAG REN I FEEDER, LP",805-4109130281,"","Singapore","N","Y"
1966647,194086,122306,"PAG ASIA LOAN III FEEDER FUND II L.P.",805-8118450592,"","Cayman Islands","N","Y"
1966647,22136,4270,"PACIFIC ALLIANCE ASIA OPPORTUNITY FEEDER FUND III LIMITED",805-3299265325,"","Cayman Islands","N","Y"
1966647,22985,4347,"PACIFIC ALLIANCE ASIA SPECIAL SITUATIONS FEEDER FUND L.P.",805-2087714037,"","Cayman Islands","N","Y"
1966647,73928,39376,"PAG ASIA SPECIAL SITUATIONS II FEEDER FUND L.P.",805-9607667655,"","Cayman Islands","N","Y"
1966647,22136,9534,"PACIFIC ALLIANCE ASIA OPPORTUNITY FEEDER FUND IV L.P.",805-3446083476,"Delaware","United States","N","Y"
1966647,255093,134392,"SCREP VII FEEDER LP",805-3962105124,"","Cayman Islands","N","Y"
1966647,255095,134393,"PAG SPECIAL SITUATIONS 3.2 FEEDER FUND L.P.",805-7137079119,"","Cayman Islands","N","Y"
1966647,219801,126913,"PAG ASIA OPPORTUNITY S CLASS FEEDER FUND I LP",805-1222118731,"","Cayman Islands","N","Y"
1966647,219801,126914,"PAG ASIA OPPORTUNITY S CLASS FEEDER FUND II LP",805-7289494163,"","Cayman Islands","N","Y"
1966647,50352,9352,"SCREP V FEEDER A, L.P.",805-5457241567,"","Cayman Islands","N","Y"
1966647,50352,9353,"SCREP V FEEDER B, L.P.",805-3844046057,"","Cayman Islands","N","Y"
1966647,235776,131492,"PAG LOAN IV FEEDER FUND L.P.",805-6418754871,"","Cayman Islands","N","Y"
1966647,50037,9257,"PAG ASIA LOAN FEEDER FUND L.P.",805-4893849940,"","Cayman Islands","N","Y"
1966647,187493,120401,"SCREP VI FEEDER A, L.P.",805-6883141325,"","Cayman Islands","N","Y"
1966647,200585,123375,"PAG BRS FEEDER FUND L.P.",805-6335275591,"","Cayman Islands","N","Y"
1966647,235778,131493,"PAG BRS II FEEDER FUND L.P.",805-9529652725,"","Cayman Islands","N","Y"
1966647,22136,124110,"PACIFIC ALLIANCE FEEDER FUND L.P.",805-1042129744,"","Cayman Islands","N","Y"
1966647,194086,122305,"PAG ASIA LOAN III FEEDER FUND L.P.",805-4173454121,"","Cayman Islands","N","Y"
1966647,235779,131494,"PAG SPECIAL SITUATIONS III FEEDER FUND L.P.",805-9595141468,"","Cayman Islands","N","Y"
1966647,187493,120402,"SCREP VI FEEDER B, L.P.",805-1164121677,"","Cayman Islands","N","Y"
1966647,355451,151851,"PAG CHINA CREDIT DISLOCATION FEEDER FUND I LP",805-2128546428,"","Cayman Islands","N","Y"
1966647,354870,151742,"PAG REAL ESTATE PARTNERS III SINGAPORE LP",805-7564789374,"","Singapore","N","Y"
1950642,376382,146413,"TYRUS CAPITAL SPECIAL SITUATIONS FUND SCA, SICAV-RAIF",805-9553849450,"","Luxembourg","N","Y"
1968544,190716,123632,"DARBY SERVTEC ENERGIA FOUNDER PARTNER, L.P.",805-4212246213,"Delaware","United States","Y","N"
1968544,190716,121024,"DARBY SERVTEC ENERGIA, L.P.",805-3832337579,"Delaware","United States","Y","Y"
1944315,77531,60364,"CATALYST EPF II (SCOTS) LP",805-6932838276,"","United Kingdom","N","Y"
1944315,77531,60365,"CATALYST EPF II (S) LP",805-2767358134,"","United Kingdom","N","Y"
1944315,42327,7658,"CATALYST EPF (SCOTS) LP",805-2745604052,"","United Kingdom","N","Y"
1944315,42327,7907,"CATALYST EPF (S) LP",805-8874542523,"","United Kingdom","N","Y"
1965224,418298,146704,"BOYU REAL ESTATE FUND II, L.P.",805-2115515248,"","Cayman Islands","Y","Y"
1965224,250718,133804,"BOYU REAL ESTATE FUND I, L.P.",805-4484381182,"","Cayman Islands","Y","Y"
1943957,179018,118138,"BRX GLOBAL ONSHORE LP",805-8043143114,"Delaware","United States","N","Y"
1943957,179018,118139,"BRX GLOBAL OFFSHORE LTD",805-1327877263,"","Cayman Islands","N","Y"
1963064,246999,145247,"HARRADEN CIRCLE INVESTORS OFFSHORE FUND, LP",805-7576271712,"","Cayman Islands","Y","N"
1968171,229388,141872,"KIG INVESTMENT PARTNERSHIP, L.P.",805-2577617181,"Delaware","United States","Y","N"
1968171,229388,141873,"KIG OFFSHORE FEEDER FUND LIMITED",805-5289713812,"","Cayman Islands","Y","N"
1945307,268597,135832,"ALTIO NEXTGEN OPPORTUNITY FUND, LP",805-6585022857,"Delaware","United States","N","Y"
1945307,268597,135833,"ALTIO NEXTGEN OPPORTUNITY FUND LTD.",805-8214246291,"","Cayman Islands","N","Y"
1931471,314499,142031,"DIF CORE-PLUS INFRASTRUCTURE FUND III FEEDER S.C.S.",805-8418517968,"","Luxembourg","Y","Y"
1931471,314498,142028,"DIF INFRASTRUCTURE VII FEEDER S.C.S.",805-6553821087,"","Luxembourg","Y","Y"
1931471,280545,137171,"DIF CORE INFRASTRUCTURE FUND II FEEDER S.C.S.",805-2627453420,"","Luxembourg","Y","Y"
1931471,249698,133729,"DIF INFRASTRUCTURE VI FEEDER S.C.S.",805-4857998875,"","Luxembourg","Y","Y"
1931471,211418,125679,"DIF INFRASTRUCTURE V FEEDER 2 B.V.",805-8969144795,"","Netherlands","Y","Y"
1931471,194410,122355,"DIF CORE INFRASTRUCTURE I FEEDER S.C.S.",805-7096275608,"","Luxembourg","Y","Y"
1931471,194381,122356,"DIF INFRASTRUCTURE IV FEEDER B.V.",805-8906248505,"","Netherlands","Y","Y"
1931471,194381,122357,"DIF INFRASTRUCTURE IV FEEDER GERMANY B.V.",805-9954518153,"","Netherlands","Y","Y"
1931471,211418,125678,"DIF INFRASTRUCTURE V FEEDER B.V.",805-9761448518,"","Netherlands","Y","Y"
1963030,266956,135437,"SPRINGHILL GLOBAL FEEDER FUND LIMITED",805-7641357898,"","Cayman Islands","N","Y"
1963030,266956,135438,"SPRINGHILL US FEEDER FUND LIMITED",805-1886028613,"","Cayman Islands","N","Y"
1962457,58256,11756,"THREE COURT FUND, LP",805-6471388247,"Delaware","United States","Y","N"
1962457,58256,118039,"THREE COURT FUND OFFSHORE, LP",805-4618298827,"","Bermuda","Y","N"
1947574,435255,150209,"BEX FUND IV EURO FEEDER",805-7753784521,"","France","N","Y"
1947574,435256,150210,"BEX FUND V EURO FEEDER",805-2160124654,"","France","N","Y"
1960557,379345,151341,"CRANE FOUNDER PARTNER LP",805-4368954068,"","United Kingdom","Y","N"
1960557,211582,125721,"CRANE FLIGHT LP",805-6795500941,"","United Kingdom","Y","N"
1966184,204885,124090,"SIXTEENTH STREET ASIAN GEMS",805-3582193317,"","Cayman Islands","Y","N"
1936558,314638,142062,"SPECIAL INVESTMENT FUND EQ PE VIII NORTH FEEDER (AIF)",805-4748248627,"","Finland","Y","Y"
1936558,314666,142065,"EQ PE XIV NORTH FEEDER FUND (AIF)",805-3239105936,"","Finland","Y","Y"
1936558,314665,142064,"SPECIAL INVESTMENT FUND EQ PE XII NORTH FEEDER (AIF)",805-1492943012,"","Finland","Y","Y"
1936558,314664,142063,"SPECIAL INVESTMENT FUND EQ PE X NORTH FEEDER (AIF)",805-8243200773,"","Finland","Y","Y"
1936558,437401,150388,"EQ PE XVI NORTH FEEDER FUND (AIF)",805-4623535788,"","Finland","Y","Y"
1964933,194404,122354,"PRIVATE EQUITY ACCESS FUND II, LTD",805-4641148477,"","Cayman Islands","Y","N"
1951177,254179,143467,"AVG Q1 2020 ELITE ENGINEERING FUND",805-8554875263,"Delaware","United States","Y","N"
1951177,254179,143471,"AVG Q1 2020 WOMEN'S FUND",805-3427672011,"Delaware","United States","Y","N"
1951177,244165,132530,"AVG Q3 2019 WOMEN'S FUND",805-8023604388,"Delaware","United States","Y","N"
1951177,244165,132528,"AVG Q3 2019 SELECT FUND",805-3919205670,"Delaware","United States","Y","N"
1951177,243697,132555,"JANUARY 1 2019 AVG SELECT FUND",805-1836702680,"Delaware","United States","Y","N"
1951177,243697,132556,"JANUARY 1 2019 AVG SOCIAL IMPACT FUND",805-8318080657,"Delaware","United States","Y","N"
1951177,243697,132557,"JANUARY 1 2019 AVG WOMEN'S FUND",805-8608953238,"Delaware","United States","Y","N"
1951177,219217,132533,"OCTOBER 1, 2018 AVG FRONTIER FUND",805-6672991009,"Delaware","United States","Y","N"
1951177,219217,132534,"OCTOBER 1, 2018 AVG INTERNATIONAL FUND",805-9657618462,"Delaware","United States","Y","N"
1951177,219217,132535,"OCTOBER 1, 2018 AVG SELECT FUND",805-5566933447,"Delaware","United States","Y","N"
1951177,219217,132537,"OCTOBER 1, 2018 AVG WOMEN'S FUND",805-1995913352,"Delaware","United States","Y","N"
1951177,219217,132531,"OCTOBER 1, 2018 AVG B-SCHOOL FUND",805-3556510565,"Delaware","United States","Y","N"
1951177,243710,132546,"AVG Q2 2019 ELITE ENGINEERING FUND",805-8274197163,"Delaware","United States","Y","N"
1951177,219213,132544,"AVG SOCIAL IMPACT FUND 1",805-2976356206,"Delaware","United States","Y","N"
1951177,219213,132545,"AVG WOMEN'S FUND 1",805-7211148924,"Delaware","United States","Y","N"
1951177,219213,132540,"AVG ELITE ENGINEERING FUND 1",805-1134476864,"Delaware","United States","Y","N"
1951177,244169,132523,"AVG Q4 2019 SELECT FUND",805-9236390670,"Delaware","United States","Y","N"
