"FilingID","Representation 1","Representation 2"
1988692,"Y","Y"
1951830,"Y","Y"
1989350,"Y","Y"
1991609,"Y","Y"
1986560,"Y","Y"
1989661,"Y","Y"
1989687,"Y","Y"
1993832,"Y","Y"
1992576,"Y","Y"
1987804,"Y","Y"
1988855,"Y","Y"
1975275,"Y","Y"
1970854,"Y","Y"
1959898,"Y","Y"
1992203,"Y","Y"
1992324,"Y","Y"
1984166,"Y","Y"
1966361,"Y","Y"
1986797,"Y","Y"
1989289,"Y","Y"
1992559,"Y","Y"
1992329,"Y","Y"
1989154,"Y","Y"
1991790,"Y","Y"
1990020,"Y","Y"
1989334,"Y","Y"
1989368,"Y","Y"
1989421,"Y","Y"
1988617,"Y","Y"
1989957,"Y","Y"
1992681,"Y","Y"
1985491,"Y","Y"
1990032,"Y","Y"
1987323,"Y","Y"
1990281,"Y","Y"
1975962,"Y","Y"
1985217,"Y","Y"
1987234,"Y","Y"
1975003,"Y","Y"
1989732,"Y","Y"
1986603,"Y","Y"
1989002,"Y","Y"
1990587,"Y","Y"
1985726,"Y","Y"
1989598,"Y","Y"
1987021,"Y","Y"
1991977,"Y","Y"
1985021,"Y","Y"
1986990,"Y","Y"
1992506,"Y","Y"
1987698,"Y","Y"
1987126,"Y","Y"
1988726,"Y","Y"
1988150,"Y","Y"
1989264,"Y","Y"
1989276,"Y","Y"
1986132,"Y","Y"
1985518,"Y","Y"
1989717,"Y","Y"
1993487,"Y","Y"
1993397,"Y","Y"
1993369,"Y","Y"
1993259,"Y","Y"
1993396,"Y","Y"
1993441,"Y","Y"
1993442,"Y","Y"
1982957,"Y","Y"
1928216,"Y","Y"
1958170,"Y","Y"
1990549,"Y","Y"
1991985,"Y","Y"
1950907,"Y","Y"
1992128,"Y","Y"
1991966,"Y","Y"
1991885,"Y","Y"
1987613,"Y","Y"
1937654,"Y","Y"
1987789,"Y","Y"
1987801,"Y","Y"
1988195,"Y","Y"
1992993,"Y","Y"
1992605,"Y","Y"
1986739,"Y","Y"
1981108,"Y","Y"
1993481,"Y","Y"
1993862,"Y","Y"
1993831,"Y","Y"
1994525,"Y","Y"
1994616,"Y","Y"
1994844,"Y","Y"
1992897,"Y","Y"
1991726,"Y","Y"
1983237,"Y","Y"
1990481,"Y","Y"
1990446,"Y","Y"
1987967,"Y","Y"
1982089,"Y","Y"
1987402,"Y","Y"
1987918,"Y","Y"
1988422,"Y","Y"
1988408,"Y","Y"
1988513,"Y","Y"
1988109,"Y","Y"
1994139,"Y","Y"
1988327,"Y","Y"
1991931,"Y","Y"
1987367,"Y","Y"
1987547,"Y","Y"
1987971,"Y","Y"
1988188,"Y","Y"
1988095,"Y","Y"
1988334,"Y","Y"
1988783,"Y","Y"
1987492,"Y","Y"
1987430,"Y","Y"
1987618,"Y","Y"
1987598,"Y","Y"
1991798,"Y","Y"
1981245,"Y","Y"
1978896,"Y","Y"
1987202,"Y","Y"
1987449,"Y","Y"
1938326,"Y","Y"
1987304,"Y","Y"
1989773,"Y","Y"
1985725,"Y","Y"
1988181,"Y","Y"
1986655,"Y","Y"
1992558,"Y","Y"
1992575,"Y","Y"
1992026,"Y","Y"
1937015,"Y","Y"
1990194,"Y","Y"
1991718,"Y","Y"
1991723,"Y","Y"
1988901,"Y","Y"
1992754,"Y","Y"
1992499,"Y","Y"
1982808,"Y","Y"
1989517,"Y","Y"
1994047,"Y","Y"
1993797,"Y","Y"
1993516,"Y","Y"
1994166,"Y","Y"
1994185,"Y","Y"
1983904,"Y","Y"
1978955,"Y","Y"
1993444,"Y","Y"
1994268,"Y","Y"
1994196,"Y","Y"
1990105,"Y","Y"
1989944,"Y","Y"
1994490,"Y","Y"
1986962,"Y","Y"
1986981,"Y","Y"
1987040,"Y","Y"
1985111,"Y","Y"
1988620,"Y","Y"
1988592,"Y","Y"
1994733,"Y","Y"
1994873,"Y","Y"
1986887,"Y","Y"
1986636,"Y","Y"
1986742,"Y","Y"
1987515,"Y","Y"
1942600,"Y","Y"
1989359,"Y","Y"
1990169,"Y","Y"
1989277,"Y","Y"
1992815,"Y","Y"
1994075,"Y","Y"
1984566,"Y","Y"
1992730,"Y","Y"
1990328,"Y","Y"
1977913,"Y","Y"
1987602,"Y","Y"
1987621,"Y","Y"
1985875,"Y","Y"
1977199,"Y","Y"
1988705,"Y","Y"
1992375,"Y","Y"
