"FilingID","SEC File Number","Series ID","RAUM"
1989694,"811-04556",S000007806,0
1989694,"811-04556",S000007807,0
1989694,"811-04556",S000007808,0
1989694,"811-04878",S000035780,140517944
1989694,"811-05186",S000050071,2193118046
1989694,"811-05186",S000001989,0
1989694,"811-07238",S000059203,0
1989694,"811-07725",S000008056,0
1989694,"811-07953",S000064059,0
1989694,"811-07953",S000062650,0
1989694,"811-07953",S000048891,0
1989694,"811-08090",S000002813,0
1989694,"811-08361",S000009353,0
1989694,"811-08361",S000009354,0
1989694,"811-08361",S000009355,0
1989694,"811-08361",S000009356,6619168
1989694,"811-08361",S000009359,1097456635
1989694,"811-08361",S000044541,1343167241
1989694,"811-08361",S000009352,0
1989694,"811-08361",S000009357,0
1989694,"811-08361",S000009358,0
1989694,"811-08361",S000009360,0
1989694,"811-08361",S000035992,0
1989694,"811-08361",S000077434,0
1989694,"811-08361",S000077436,0
1989694,"811-08361",S000077435,0
1989694,"811-08495",S000064382,0
1989694,"811-08495",S000071835,0
1989694,"811-08894",S000001757,0
1989694,"811-08894",S000001752,0
1989694,"811-08894",S000001756,0
1989694,"811-08894",S000001753,0
1989694,"811-08894",S000001755,0
1989694,"811-08894",S000019485,0
1989694,"811-10263",S000041653,0
1989694,"811-10263",S000057426,198777719
1989694,"811-10263",S000001155,3606745941
1989694,"811-10267",S000006183,0
1989694,"811-10267",S000006182,0
1989694,"811-10267",S000006185,0
1989694,"811-10267",S000006186,0
1989694,"811-22781",S000040071,0
1989694,"811-22781",S000048067,0
1989694,"811-22781",S000049146,0
1989694,"811-22781",S000049147,0
1989694,"811-22781",S000049850,0
1989694,"811-22781",S000051363,0
1989694,"811-22781",S000055738,0
1989694,"811-22865",S000052667,0
1989694,"811-23013",S000048289,0
1989694,"811-23013",S000048292,8501308
1989694,"811-23013",S000048293,0
1989694,"811-23013",S000048294,0
1989694,"811-23013",S000048295,0
1989694,"811-23013",S000048296,0
1989694,"811-23013",S000053625,0
1989694,"811-23013",S000054796,0
1989694,"811-23013",S000057838,0
1989694,"811-23013",S000057842,0
1989694,"811-23013",S000058070,0
1989694,"811-23013",S000061377,0
1989694,"811-23013",S000062388,0
1989694,"811-23013",S000064104,0
1989694,"811-23013",S000066532,0
1989694,"811-23013",S000066533,0
1989694,"811-23013",S000066535,0
1989694,"811-23013",S000066919,0
1989694,"811-23013",S000066921,0
1989694,"811-23013",S000068597,0
1989694,"811-23013",S000074528,0
1989694,"811-23013",S000062192,0
1989694,"811-23013",S000075069,0
1989694,"811-23013",S000077725,0
1989694,"811-23013",S000077734,0
1989694,"811-23013",S000062192,0
1989694,"811-23013",S000080710,0
