"FilingID","Name","CRD Number","SEC Number"
1944290,"PHORCYS CAPITAL PARTNERS, LLC",285635,"801-121806"
1932611,"OMEGA FINANCIAL GROUP, LLC",164147,"801-77745"
1933941,"XPONANCE, INC.",111126,"801-51407"
1944576,"KESTRA ADVISORY SERVICES, LLC",283330,"801-56126"
1927498,"U.S. INSTITUTIONAL CORPORATION",135555,"801-64473"
1934811,"ARES FINANCIAL CONSULTING LLC",282852,"801-121211"
1945086,"MASON STREET ADVISORS, LLC",114085,"801-60721"
1941688,"GHP INVESTMENT ADVISORS INC",107563,"801-49990"
1927051,"GUIDANCE CAPITAL, INC.",323541,"801-126764"
1926559,"PACIFIC COAST FIDUCIARY LLC",330334,"801-129912"
1942953,"FORT WASHINGTON INVESTMENT ADVISORS INC",107126,"801-37235"
1941340,"RPG FAMILY WEALTH ADVISORY, LLC",158528,"801-72631"
1939010,"ONEX CREDIT PARTNERS, LLC",138941,"801-65396"
1940757,"TREMBLANT CAPITAL GROUP",138743,"801-71560"
1940268,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1919389,"ITAU USA ASSET MANAGEMENT",156313,"801-72400"
1940754,"MFA WEALTH ADVISORS, LLC",171984,"801-79952"
1922256,"CX INSTITUTIONAL, LLC",292627,"801-112742"
1937510,"PHORCYS CAPITAL PARTNERS, LLC",285635,"801-121806"
1935219,"MERCER GLOBAL ADVISORS INC.",147363,"801-69271"
1941734,"LPL FINANCIAL LLC",6413,"801-10970"
1943968,"COMVEST ADVISORS LLC",160753,"801-74325"
1942868,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1937906,"BOW WAVE CAPITAL MANAGEMENT, LP",305782,"801-118155"
1935382,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1936038,"DT INVESTMENT PARTNERS, LLC",157646,"801-72325"
1934415,"RP MANAGEMENT, LLC",161569,"801-74235"
1936425,"RP MANAGEMENT, LLC",161569,"801-74235"
1935853,"GOLDEN STATE WEALTH MANAGEMENT, LLC",167995,"801-107445"
1946743,"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC",144426,"801-68114"
1940238,"LEUCADIA ASSET MANAGEMENT LLC",121767,"801-61698"
1939436,"EMPIRIC ADVISORS, INC.",108425,"801-31075"
1948019,"HIGHLINE ASSET MANAGEMENT, LLC",332483,"801-131713"
1948478,"HIGHLINE ASSET MANAGEMENT, LLC",332483,"801-131713"
1930072,"FORTRESS WEALTH GROUP",308968,"801-118769"
1943251,"GALLACHER CAPITAL MANAGEMENT, LLC",113189,"801-68279"
1945481,"U.S. INSTITUTIONAL CORPORATION",135555,"801-64473"
1942338,"DREHER INVESTMENT SERVICES, INC.",114196,"801-110396"
1941372,"ADVICE AND PLANNING SERVICES",20472,"801-63550"
1939654,"ADVICE AND PLANNING SERVICES",20472,"801-63550"
1938575,"RIA ADVISORS",150661,"801-77832"
1928607,"PALADIN FINANCIAL",288387,"801-128300"
1932374,"HARBOURVEST PARTNERS, LLC",109846,"801-53287"
1935755,"LUMINIST CAPITAL, LLC",173396,"801-126094"
1947122,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1935754,"BROOKSTONE CAPITAL MANAGEMENT LLC",141413,"801-68010"
1933045,"TRU INDEPENDENCE ASSET MANAGEMENT, LLC",168256,"801-78748"
1944248,"CX INSTITUTIONAL, LLC",292627,"801-112742"
1945656,"SYNERGY ASSET MANAGEMENT, LLC",117201,"801-64132"
1946273,"DREHER INVESTMENT SERVICES, INC.",114196,"801-110396"
1946747,"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC",144426,"801-68114"
1940276,"ATL II ADVISOR LP",296575,""
1934995,"FORTITUDE ADVISORY GROUP L.L.C.",116083,"801-60827"
