"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Number","PCAOB Inspected"
1980451,218202,"ERNST & YOUNG","LOS ANGELES","California","United States","Y","Y",42,"Y"
1980451,172658,"ERNST & YOUNG","LOS ANGELES","California","United States","Y","Y",42,"Y"
1980451,235380,"ERNST & YOUNG","LOS ANGELES","California","United States","Y","Y",42,"Y"
1980451,235381,"ERNST & YOUNG","LOS ANGELES","California","United States","Y","Y",42,"Y"
1980451,201348,"ERNST & YOUNG","LOS ANGELES","California","United States","Y","Y",42,"Y"
1976391,175779,"MARCUM LLP","NEW YORK","New York","United States","Y","Y",711,"Y"
1976391,68979,"ERNST & YOUNG","NEW YORK","New York","United States","Y","Y",42,"Y"
1976391,302047,"ERNST & YOUNG","NEW YORK","New York","United States","Y","Y",42,"Y"
1976391,251434,"ERNST & YOUNG","NEW YORK","New York","United States","Y","Y",42,"Y"
1976391,255383,"ERNST & YOUNG","NEW YORK","New York","United States","Y","Y",42,"Y"
1977036,314198,"DELOITTE IRELAND LLP","DUBLIN","","Ireland","Y","Y",1193,"Y"
1977036,314196,"DELOITTE IRELAND LLP","DUBLIN","","Ireland","Y","Y",1193,"Y"
1977036,314199,"DELOITTE IRELAND LLP","DUBLIN","","Ireland","Y","Y",1193,"Y"
1979264,65817,"COHEN & COMPANY, LTD.","CLEVELAND","Ohio","United States","Y","Y",925,"Y"
1978430,256622,"KPMG LLP","SHORT HILLS","New Jersey","United States","Y","Y",185,"Y"
1978430,215499,"KPMG LLP","SHORT HILLS","New Jersey","United States","Y","Y",185,"Y"
1978430,60736,"KPMG LLP","SHORT HILLS","New Jersey","United States","Y","Y",185,"Y"
1979272,361730,"WARREN AVERETT","ATLANTA","Georgia","United States","Y","Y",2226,"Y"
1979272,227032,"WARREN AVERETT","ATLANTA","Georgia","United States","Y","Y",2226,"Y"
1979272,227030,"RSM US LLP","MIAMI","Florida","United States","Y","Y",49,"Y"
1979272,417804,"RSM US LLP","MIAMI","Florida","United States","Y","Y",49,"Y"
1979272,397860,"RSM US LLP","MIAMI","Florida","United States","Y","Y",49,"Y"
1979272,397779,"WARREN AVERETT","ATLANTA","Georgia","United States","Y","Y",2226,"Y"
1979272,301242,"WARREN AVERETT","ATLANTA","Georgia","United States","Y","Y",2226,"Y"
1979272,227033,"WARREN AVERETT","ATLANTA","Georgia","United States","Y","Y",2226,"Y"
1979272,227031,"WARREN AVERETT","ATLANTA","Georgia","United States","Y","Y",2226,"Y"
1979272,483051,"CBIZ CPAS","KANSAS CITY","Missouri","United States","Y","Y",199,"Y"
1979111,371586,"KPMG LLP","DALLAS","Texas","United States","Y","Y",185,"Y"
1979111,312193,"SPICER JEFFRIES LLP","DENVER","Colorado","United States","Y","Y",349,"Y"
1979111,371589,"ASHLAND PARTNERS & COMPANY LLP","MEDFORD","Oregon","United States","Y","Y",3783,"Y"
