"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1993568,"MVP LS FUND CD LLC SERIES 1",805-7922409062,398467,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",277000,10000,21,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDXLVIII LLC SERIES 1",805-6739425645,397904,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",1088000,15000,98,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND LXI LLC SERIES 1",805-5866316347,237524,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",133000,3000,32,0,0,"N",11,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MICROANGEL LTO FUND I LLC SERIES 1",805-3005255732,54340,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",110000,5000,10,0,0,"N",3,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXVIII LLC SERIES 1",805-8454415855,237592,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",17000,5000,3,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXX LLC SERIES 2",805-1143297164,237594,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",4827000,10000,98,0,0,"N",5,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXLII LLC SERIES 1",805-9958219364,237582,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",724000,10000,49,0,0,"N",3,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND XLIII LLC SERIES 1",805-8597312101,218829,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",52000,5000,9,0,0,"N",31,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND XL LLC SERIES 1",805-1411134257,218825,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",183000,5000,30,0,0,"N",5,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXXVI LLC SERIES 2",805-1770373747,307477,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",671000,10000,78,32,32,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND XLI LLC SERIES 1",805-1790686523,218826,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",52000,5000,7,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND XLIX LLC SERIES 1",805-5775797175,218835,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",125000,5000,7,0,0,"N",4,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXVII LLC SERIES 2",805-4463027551,307470,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",90000,10000,7,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MV VENTURE FUND X LLC SERIES 1",805-3032037697,237499,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",425000,50000,1,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND LXII LLC SERIES 1",805-1081090426,237525,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",31000,1000,13,0,0,"N",42,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND LVI LLC SERIES 1",805-3247358664,237517,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",668000,5000,67,1,0,"N",5,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MV VC FUND XIV LLC SERIES 1",805-1016539800,218860,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",90000,10000,6,0,0,"N",22,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND VII LLC SERIES 1",805-8554209931,189865,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",33000,5000,13,0,0,"N",3,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
