FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1901771,"","","","","","Y","","","","",2023
1901908,"","","Y","","","","","","","",
1903457,"","","Y","","","","","","","",
1903516,"","","Y","","","","","","","",
1904266,"","","Y","","","","","","","",
1904478,"","","Y","","","","","","","",
1904925,"","","","","","","Y","","","",
1905164,"","","Y","","","","","","","",
1905173,"","","","","Y","","","","","",
1905221,"","","","Y","","","","","","",
1905663,"","","","","Y","","","","","",
1906092,"","","Y","","","","","","","",
1906530,"","","","","Y","","","","","",
1907057,"","","Y","","","","","","","",
1907205,"Y","","","","","","","","","",
1908333,"","","Y","","","","","","","",
1908507,"","","","","Y","","","","","",
1908521,"","","","","Y","","","","","",
1908573,"","","Y","","","","","","","",
1908697,"","","","","","","Y","","","",
1908871,"","","Y","","","","","","","",
1908964,"","","Y","","","","","","","",
1909330,"","","Y","","","","","","","",
1909341,"Y","","","","","","","","","",
1909398,"Y","","","","","","","","","",
1910078,"","","Y","","","","","","","",
1910225,"Y","","","","","","","","","",
1910263,"","","Y","","","","","","","",
1910264,"","","Y","","","","","","","",
1910335,"","","Y","","","","","","","",
1910568,"","","","","Y","","","","","",
1910702,"","","Y","","","","","","","",
1910905,"","","Y","","","","","","","",
1911066,"","","","","","Y","","","","",2024
1911471,"","","","","Y","","","","","",
1911721,"Y","","","","","","","","","",
1911743,"","","Y","","","","","","","",
1911862,"","","Y","","","","","","","",
1911874,"","","Y","","","","","","","",
1912128,"Y","","","","","","","","","",
1912142,"","","Y","","","","","","","",
1912304,"Y","","","","","","","","","",
1912396,"Y","","","","","","","","","",
1912487,"","","","","Y","","","Y","","",
1912494,"","","","","Y","","","Y","","",
1912555,"Y","","","","","","","","","",
1912912,"","","Y","","","","","","","",
1912915,"","","Y","","","","","","","",
1912927,"","","","","","Y","","","","",2024
1912994,"","","Y","","","","","","","",
1913113,"","","Y","","","","","","","",
1913238,"Y","","","","","","","","","",
1913261,"","","","","","Y","","","","",2024
1913340,"","","Y","","","","","","","",
1913366,"","","Y","","","","","","","",
1913424,"","","","","","","Y","","","",
1913441,"","","Y","","","","","","","",
1913691,"Y","","","","","","","","","",
1913695,"Y","","","","","","","","","",
1913719,"","","Y","","","","","","","",
1913768,"","","Y","","","","","","","",
1913823,"Y","","","","","","","","","",
1913848,"","","Y","","","","","","","",
1913926,"","","","","Y","","","","","",
1914027,"","","Y","","","","","","","",
1914264,"","","Y","","","","","","","",
1914379,"Y","","","","","","","","","",
1914383,"Y","","","","","","","","Y","Y",
1914449,"","","Y","","","","","","","",
1914491,"","","","","Y","","","","","",
1914600,"","","Y","","","","","","","",
1914624,"","","Y","","","","","","","",
1914680,"","","Y","","","","","","","",
1914743,"","","","","","","Y","","","",
1914813,"","","Y","","","","","","","",
1914988,"","","","","","","Y","","","",
1915052,"Y","","","","","","","","","",
1915141,"","","Y","","","","","","","",
1915147,"Y","","","","","","","","","",
1915173,"","","Y","","","","","","","",
1915335,"","","Y","","","","","","","",
1915511,"","","","","","Y","","","","",2024
1915811,"","","Y","","","","","","","",
1916276,"","","","","Y","","","","","",
1916301,"Y","","","","","","","","","",
1916342,"Y","","","","","","","","","",
1916467,"","","Y","","","","","","","",
1916740,"","","Y","","","","","","","",
1916776,"","","","","","","","Y","","Y",
1916893,"","Y","","","","","","","","",2024
1917133,"Y","","","","","","","","","",
1917239,"Y","","","","","","","","","",
1917277,"","","","","Y","","","","","",
1917283,"Y","","","","","","","","","",
1917354,"","","Y","","","","","","","",
1917376,"","","","","","","Y","","","",
1917498,"","","Y","","","","","","","",
1917528,"","","","","Y","","","","","",
1917548,"","","Y","","","","","","","",
1917586,"","","Y","","","","","","","",
1917807,"","","","","","Y","","","","",2024
1917816,"","Y","","","","","","","","",2024
1917880,"","","Y","","","","","","","",
1917912,"","Y","","","","","","","","",2024
1918025,"","","Y","","","","","","","",
1918056,"","","Y","","","","","","","",
1918060,"","Y","","","","","","","","",2024
1918098,"","","Y","","","","","","","",
1918100,"","","Y","","","","","","","",
1918139,"","","Y","","","","","","","",
1918147,"Y","","","","","","","","","",
1918224,"","Y","","","","","","","","",2024
1918254,"","","Y","","","","","","","",
1918342,"","","Y","","","","","","","",
1918388,"","","Y","","","","","","","",
1918446,"Y","","","","","","","","","",
1918448,"","","Y","","","","","","","",
1918489,"Y","","","","","","","","","",
1918505,"","","Y","","","","","","","",
1918557,"Y","","","","","","","","","",
1918586,"","Y","","","","","","","","",2024
1918648,"","","Y","","","","","","","",
1918678,"","","Y","","","","","","","",
1918681,"","Y","","","","","","","","",2024
1918691,"","","Y","","","","","","","",
1918777,"","Y","","","","","","","","",2024
1918808,"","Y","","","","","","","","",2024
1918819,"","","Y","","","","","","","",
1918831,"","","","","Y","","","","","",
