"FilingID","Representation 1","Representation 2"
2007665,"Y","Y"
2008028,"Y","Y"
2008085,"Y","Y"
2008204,"Y","Y"
2005318,"Y","Y"
2008266,"Y","Y"
1993443,"Y","Y"
2007229,"Y","Y"
2007477,"Y","Y"
2007362,"Y","Y"
2007488,"Y","Y"
2008982,"Y","Y"
1983136,"Y","Y"
2003371,"Y","Y"
2011170,"Y","Y"
2011169,"Y","Y"
2008346,"Y","Y"
2008362,"Y","Y"
2008488,"Y","Y"
2008385,"Y","Y"
2008650,"Y","Y"
2008885,"Y","Y"
2007261,"Y","Y"
2007249,"Y","Y"
2007298,"Y","Y"
2007059,"Y","Y"
2012254,"Y","Y"
2012364,"Y","Y"
2001038,"Y","Y"
1989518,"Y","Y"
2006496,"Y","Y"
2005455,"Y","Y"
1996173,"Y","Y"
2007343,"Y","Y"
1983038,"Y","Y"
2006944,"Y","Y"
1999523,"Y","Y"
2007305,"Y","Y"
2007303,"Y","Y"
2007766,"Y","Y"
2008087,"Y","Y"
2009018,"Y","Y"
2009233,"Y","Y"
2005272,"Y","Y"
2008187,"Y","Y"
2008251,"Y","Y"
2009288,"Y","Y"
2000128,"Y","Y"
2008215,"Y","Y"
2007808,"Y","Y"
2008319,"Y","Y"
2010227,"Y","Y"
2010284,"Y","Y"
2010305,"Y","Y"
2009752,"Y","Y"
2009731,"Y","Y"
2009760,"Y","Y"
2011853,"Y","Y"
2012705,"Y","Y"
2013018,"Y","Y"
2011250,"Y","Y"
2008943,"Y","Y"
2010986,"Y","Y"
2011253,"Y","Y"
2011067,"Y","Y"
1992662,"Y","Y"
2008692,"Y","Y"
2009975,"Y","Y"
2005950,"Y","Y"
2013258,"Y","Y"
2007239,"Y","Y"
2008399,"Y","Y"
2010160,"Y","Y"
2009270,"Y","Y"
1998607,"Y","Y"
2010331,"Y","Y"
2009066,"Y","Y"
2004210,"Y","Y"
2005517,"Y","Y"
2008053,"Y","Y"
2007698,"Y","Y"
2010066,"Y","Y"
2011017,"Y","Y"
2008355,"Y","Y"
1998475,"Y","Y"
2005010,"Y","Y"
2008589,"Y","Y"
2005179,"Y","Y"
2007775,"Y","Y"
2009666,"Y","Y"
2008501,"Y","Y"
2008503,"Y","Y"
2008536,"Y","Y"
2008572,"Y","Y"
2007941,"Y","Y"
2009616,"Y","Y"
2004615,"Y","Y"
2007458,"Y","Y"
2005322,"Y","Y"
2004173,"Y","Y"
2010892,"Y","Y"
2007701,"Y","Y"
2002629,"Y","Y"
2007881,"Y","Y"
2007835,"Y","Y"
2007648,"Y","Y"
2008835,"Y","Y"
2008870,"Y","Y"
2005961,"Y","Y"
2008959,"Y","Y"
2008926,"Y","Y"
2009332,"Y","Y"
2007231,"Y","Y"
2007484,"Y","Y"
2007520,"Y","Y"
2007657,"Y","Y"
2007304,"Y","Y"
2008851,"Y","Y"
2008933,"Y","Y"
2006109,"Y","Y"
2009490,"Y","Y"
2011345,"Y","Y"
2012568,"Y","Y"
2009746,"Y","Y"
2007050,"Y","Y"
2010240,"Y","Y"
2010050,"Y","Y"
2010399,"Y","Y"
2010516,"Y","Y"
2009923,"Y","Y"
1999988,"Y","Y"
2010808,"Y","Y"
2005864,"Y","Y"
2010448,"Y","Y"
2010815,"Y","Y"
2009235,"Y","Y"
2006740,"Y","Y"
2006480,"Y","Y"
2012431,"Y","Y"
2010164,"Y","Y"
2012991,"Y","Y"
2008800,"Y","Y"
2009529,"Y","Y"
2009554,"Y","Y"
2006960,"Y","Y"
2009742,"Y","Y"
2003150,"Y","Y"
2007604,"Y","Y"
2011514,"Y","Y"
2012710,"Y","Y"
1998370,"Y","Y"
2002907,"Y","Y"
2010156,"Y","Y"
2010531,"Y","Y"
2010622,"Y","Y"
2010145,"Y","Y"
2011424,"Y","Y"
2012178,"Y","Y"
2012481,"Y","Y"
2008567,"Y","Y"
2009979,"Y","Y"
2010378,"Y","Y"
2006055,"Y","Y"
2010551,"Y","Y"
2011878,"Y","Y"
2003555,"Y","Y"
2012730,"Y","Y"
2012861,"Y","Y"
2008769,"Y","Y"
2007690,"Y","Y"
2006737,"Y","Y"
2010597,"Y","Y"
2009323,"Y","Y"
2001526,"Y","Y"
2011734,"Y","Y"
2011935,"Y","Y"
2008736,"Y","Y"
2009532,"Y","Y"
1997060,"Y","Y"
2009828,"Y","Y"
2009428,"Y","Y"
2012068,"Y","Y"
2011592,"Y","Y"
2010568,"Y","Y"
2012261,"Y","Y"
2012460,"Y","Y"
