"FilingID","ReferenceID","Filing/Relying Adviser"
2010959,58918,"BDCM FUND ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        58918            1162
2010959,58912,"BDCM FUND ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        58912            1162
2010959,58854,"BDCM OPPORTUNITY FUND II ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         58854            1163
2010959,58854,"BDCM OPPORTUNITY FUND II GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              58854            1199
2010959,58857,"BDCM OPPORTUNITY FUND III ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        58857            1200
2010959,58857,"BDCM OPPORTUNITY FUND III GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             58857            1201
2010959,66906,"BDCM OPPORTUNITY FUND IV ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         66906            1202
2010959,418290,"BDCM OPPORTUNITY FUND IV ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       418290            1202
2010959,418320,"BDCM OPPORTUNITY FUND IV ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       418320            1202
2010959,66906,"BDCM OPPORTUNITY FUND IV GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              66906            1203
2010959,418290,"BDCM OPPORTUNITY FUND IV GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            418290            1203
2010959,418320,"BDCM OPPORTUNITY FUND IV GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            418320            1203
2010959,193734,"BDCM STRATEGIC CAPITAL FUND I ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  193734            1204
2010959,193734,"BDCM STRATEGIC CAPITAL FUND I GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       193734            1205
2010959,171569,"BLACK DIAMOND CLO 2015-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       171569            1212
2010959,177401,"BLACK DIAMOND CLO 2016-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       177401            1213
2010959,193731,"BLACK DIAMOND CLO 2017-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       193731            1214
2010959,193733,"BLACK DIAMOND CLO 2017-2 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       193733            1215
2010959,193732,"BLACK DIAMOND CLO 2019-2 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       193732            1216
2010959,417476,"BLACK DIAMOND CREDIT STRATEGIES FUND ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           417476            1217
2010959,417486,"BLACK DIAMOND CREDIT STRATEGIES FUND ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           417486            1217
2010959,475202,"BLACK DIAMOND CREDIT STRATEGIES FUND ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           475202            1217
2010959,33482,"GSC ACQUISITION HOLDINGS, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 33482            1225
2010959,33455,"GSC ACQUISITION HOLDINGS, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 33455            1225
2010959,33496,"GSC ACQUISITION HOLDINGS, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 33496            1225
2010959,33479,"GSC ACQUISITION HOLDINGS, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 33479            1225
2010959,216794,"BDCM OPPORTUNITY FUND V ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        216794            5981
2010959,217706,"BLACK DIAMOND CLO 2019-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       217706            5982
2010959,216794,"BDCM OPPORTUNITY FUND V GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             216794            5983
2010959,279659,"BLACK DIAMOND CLO 2021-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       279659            9093
2010959,286117,"FUSION COINVEST GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     286117            9373
2010959,294638,"BLACK DIAMOND CLO 2023-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       294638            9393
2010959,237752,"BLACK DIAMOND CLO 2023-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       237752            9393
2010959,355752,"BDCM TRIARC GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         355752           10495
2010959,355836,"BDCM TRIARC GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         355836           10495
2010959,355839,"BDCM TRIARC GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         355839           10495
2010959,355849,"BDCM RCPR FUND GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      355849           10496
2010959,476697,"BDCM OPPORTUNITY FUND VI ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       476697           12390
2010959,475709,"BLACK DIAMOND CLO 2024-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       475709           12626
2010959,474967,"BLACK DIAMOND CLO 2025-1 ADVISER, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       474967           12628
2010959,476697,"BDCM OPPORTUNITY FUND VI GP, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            476697           12631
2010959,479131,"BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       479131
2004810,242076,"OAK HILL ADVISORS (EUROPE) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 242076            4660
2004810,221003,"OAK HILL ADVISORS (EUROPE) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 221003            4660
2004810,202663,"OAK HILL ADVISORS (EUROPE) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 202663            4660
2004810,202664,"OAK HILL ADVISORS (EUROPE) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 202664            4660
2004810,202661,"OAK HILL ADVISORS (EUROPE) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 202661            4660
2004810,202662,"OAK HILL ADVISORS (EUROPE) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 202662            4660
2004810,180627,"OHA (UK) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   180627            4661
2004810,41995,"OHA (UK) LLP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     41995            4661
2004810,491210,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        491210
2004810,483950,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        483950
2004810,478238,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        478238
2004810,478239,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        478239
2004810,478240,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        478240
2004810,484098,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        484098
2004810,484037,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        484037
2004810,480223,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        480223
2004810,483979,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        483979
2004810,418545,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        418545
2004810,418544,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        418544
2004810,439245,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        439245
2004810,276994,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        276994
2004810,251164,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        251164
2004810,176780,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        176780
2004810,75239,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          75239
2004810,175207,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        175207
2004810,319156,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        319156
2004810,55615,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          55615
2004810,202669,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        202669
2004810,202673,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        202673
2004810,49257,"OAK HILL ADVISORS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          49257
