FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1908165,"Y","","","","","","","","","",
1908287,"","","","Y","","","","","","",
1909013,"","","","","Y","","","","","",
1909309,"Y","","","","","","","","","",
1909542,"","","","","Y","","","","","",
1909859,"","","Y","","","","","","","",
1910683,"","","Y","","","","","","","",
1910902,"","","","","Y","","","","","",
1911018,"","","Y","","","","","","","",
1911665,"","","Y","","","","","","","",
1911985,"","","Y","","","","","","","",
1912106,"","","Y","","","","","","","",
1912238,"","","Y","","","","","","","",
1912287,"","","","","Y","","","","","",
1912723,"","","","","Y","","","","","",
1912736,"","","","","Y","","","","","",
1912770,"","","Y","","","","","","","",
1912943,"","","Y","","","","","","","",
1913217,"Y","","","","","","","","","",
1913250,"","","","","","","","","","Y",
1913469,"","","Y","","","","","","","",
1913494,"","","Y","","","","","","","",
1913875,"Y","","","","","","","","","Y",
1914350,"Y","","","","","","","","","",
1914520,"","","Y","","","","","","","",
1914916,"","","Y","","","","","","","",
1915319,"","","Y","","","","","","","",
1915326,"","","Y","","","","","","","",
1915574,"Y","","","","","","","","","",
1917271,"Y","","","","","","","","","Y",
1917531,"","","Y","","","","","","","",
1917563,"","Y","","","","","","","","",2024
1917571,"","Y","","","","","","","","",2024
1917639,"","","Y","","","","","","","",
1917720,"","Y","","","","","","","","",2024
1917789,"","","Y","","","","","","","",
1918226,"","","","","","Y","","","","",2024
1918304,"","","Y","","","","","","","",
1918564,"","","","","Y","","","Y","","",
1918834,"","Y","","","","","","","","",2024
1918951,"","Y","","","","","","","","",2024
1919037,"","Y","","","","","","","","",2024
1919052,"","Y","","","","","","","","",2024
1919072,"","Y","","","","","","","","",2024
1919128,"","","Y","","","","","","","",
1919136,"Y","","","","","","","","","",
1919139,"","","Y","","","","","","","",
1919164,"","Y","","","","","","","","",2024
1919169,"","Y","","","","","","","","",2024
1919389,"","","Y","","","","","","","",
1919486,"","","Y","","","","","","","",
1919505,"","","Y","","","","","","","",
1919652,"","","Y","","","","","","","",
1919814,"","","Y","","","","","","","",
1920218,"Y","","","","","","","","","",
1920470,"","","","","","Y","","","","",2024
1920592,"","","Y","","","","","","","",
1920666,"Y","","","","","","","","","Y",
1920751,"","","Y","","","","","","","",
1920779,"","","Y","","","","","","","",
1920796,"","","Y","","","","","","","",
1921072,"","","","","","Y","","","","",2024
1921092,"","","Y","","","","","","","",
1921107,"","","","","","Y","","","","",2024
1921153,"","","","","","Y","","","","",2024
1921178,"","","Y","","","","","","","",
1921187,"","","Y","","","","","","","",
1921246,"","","","","Y","","","Y","","",
1921565,"Y","","","","","","","","","",
1921583,"","Y","","","","","","","","",2024
1921693,"","Y","","","","","","","","",2024
1921713,"","","","","","Y","","","","",2024
1921717,"","Y","","","","","","","","",2024
1921757,"","","Y","","","","","","","",
1921828,"","","Y","","","","","","","",
1922011,"","","Y","","","","","","","",
1922137,"","Y","","","","","","","","",2024
1922165,"","","","","","Y","","","","",2024
1922250,"","Y","","","","","","","","",2024
1922256,"","Y","","","","","","","","",2024
1922262,"","","","","Y","","","","","",
1922337,"","","Y","","","","","","","",
1922345,"","Y","","","","","","","","",2024
1922416,"","","Y","","","","","","","",
1922526,"","Y","","","","","","","","",2024
1922598,"","","","","","Y","","","","",2024
1922758,"","","Y","","","","","","","",
1922767,"","","Y","","","","","","","",
1922774,"","","Y","","","","","","","",
1922778,"","","","","Y","","","","","",
1922844,"","","","","Y","","","","","",
1922848,"","Y","","","","","","","","",2024
1922892,"","Y","","","","","","","","",2024
1922922,"","Y","","","","","","","","",2024
1922927,"","Y","","","","","","","","",2024
1922928,"","","Y","","","","","","","",
1922934,"","","","","Y","","","","","",
1922982,"","","","","Y","","","","","",
1922986,"","Y","","","","","","","","",2024
1923024,"","","","","Y","","","","","",
1923043,"","Y","","","","","","","","",2024
1923048,"","Y","","","","","","","","",2024
1923075,"","","","","Y","","","","","",
1923084,"","Y","","","","","","","","",2024
1923091,"","Y","","","","","","","","",2024
1923096,"","Y","","","","","","","","",2024
1923108,"","Y","","","","","","","","",2024
1923136,"","","","","Y","","","Y","","",
1923166,"","","","","","Y","","","","",2024
1923172,"","Y","","","","","","","","",2024
1923184,"","Y","","","","","","","","",2024
1923216,"","Y","","","","","","","","",2024
1923298,"","Y","","","","","","","","",2024
1923347,"","Y","","","","","","","","",2024
1923505,"","Y","","","","","","","","",2024
1923510,"","Y","","","","","","","","",2024
1923524,"","Y","","","","","","","","",2024
1923543,"","Y","","","","","","","","",2024
1923551,"","Y","","","","","","","","",2024
1923578,"","Y","","","","","","","","",2024
1923586,"","","Y","","","","","","","",
1923604,"","Y","","","","","","","","",2024
1923636,"Y","","","","","","","","","",
1923667,"","Y","","","","","","","","",2024
1923669,"","Y","","","","","","","","",2024
1923673,"","Y","","","","","","","","",2024
1923689,"","","Y","","","","","","","",
1923694,"","Y","","","","","","","","",2024
1923705,"","Y","","","","","","","","",2024
1923761,"","","","","","Y","","","","",2024
1923771,"","","Y","","","","","","","",
1923784,"","Y","","","","","","","","",2024
1923794,"","Y","","","","","","","","",2024
1923807,"","Y","","","","","","","","",2024
1923808,"","","Y","","","","","","","",
1923826,"Y","","","","","","","","","",
1923844,"","Y","","","","","","","","",2024
1923981,"","Y","","","","","","","","",2024
1923985,"","Y","","","","","","","","",2024
1923996,"","Y","","","","","","","","",2024
1924013,"","Y","","","","","","","","",2024
1924017,"","Y","","","","","","","","",2024
1924025,"","Y","","","","","","","","",2024
1924038,"","Y","","","","","","","","",2024
1924064,"","Y","","","","","","","","",2024
1924102,"","Y","","","","","","","","",2024
1924154,"","","","","","Y","","","","",2024
1924184,"","","","","","","Y","","","",
1924189,"","Y","","","","","","","","",2024
1924196,"","Y","","","","","","","","",2024
1924200,"Y","","","","","","","","","",
1924209,"","Y","","","","","","","","",2024
1924298,"","Y","","","","","","","","",2024
1924301,"","Y","","","","","","","","",2024
1924314,"","Y","","","","","","","","",2024
