"FilingID","Representation 1","Representation 2","Representation 3"
1996337,"N","N","Y"
1997733,"N","N","Y"
1998001,"N","N","Y"
1998057,"N","N","Y"
1998100,"Y","Y","Y"
1998394,"Y","Y","N"
1999491,"Y","Y","N"
1989261,"N","N","Y"
1995437,"N","N","Y"
1989144,"Y","Y","Y"
1997300,"Y","Y","Y"
1999953,"N","N","Y"
1995658,"N","N","Y"
1996873,"Y","Y","Y"
1962656,"N","N","Y"
1998683,"N","N","Y"
1997949,"Y","N","N"
1989003,"N","N","Y"
1996786,"Y","N","Y"
1996083,"Y","N","Y"
1999948,"N","N","Y"
2000472,"N","N","Y"
1999123,"N","N","Y"
1998937,"N","N","Y"
1993868,"Y","Y","N"
1996064,"Y","Y","N"
1996696,"N","N","Y"
1997610,"Y","Y","N"
1996700,"N","N","Y"
1999935,"Y","Y","Y"
1997577,"N","N","Y"
1997151,"Y","Y","N"
1997217,"Y","Y","N"
1999024,"N","N","Y"
1999363,"N","N","Y"
2000731,"N","N","Y"
1996321,"N","N","Y"
1998261,"Y","Y","N"
1992840,"N","N","Y"
1995978,"N","N","Y"
