"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1925410,279572,132407,"N","PICKWICK CAPITAL PARTNERS, LLC","8-66373",130672,"WHITE PLAINS","New York","United States","N"
1925410,279572,132050,"N","GROWTH CAPITAL SERVICES, INC.","",124658,"CLAREMONT","Delaware","United States","N"
1929491,437115,261032,"N","FINALIS SECURITIES LLC","8-70425",305908,"NEW YORK","New York","United States","N"
1929491,231543,98485,"N","GROWTH CAPITAL SERVICES, INC.","",124658,"SAN FRANCISCO","California","United States","N"
1929491,169021,62236,"N","INTELLIVEST SECURITIES, INC.","",145022,"RIVERDALE","Georgia","United States","N"
1934730,369552,207191,"N","JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","N"
1934730,369552,207192,"N","JEFFERIES GMBH","",,"FRANKFURT","","Germany","N"
1934730,369552,261092,"N","PROBITAS FUNDS GROUP, LLC","8-53512",115876,"SAN FRANCISCO","California","United States","N"
1934730,369552,261093,"N","SELECCION E INVERSION DE CAPITAL GLOBAL, AGENCIA DE VALORES, S.A.","",,"MADRID","","Spain","N"
1939557,42288,20981,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1939557,68657,88350,"Y","BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","",,"LONDON","","United Kingdom","N"
1939557,42259,20980,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1939557,42347,21011,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1939557,42301,20991,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1939557,42319,21002,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1939557,42336,21009,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1927698,232121,261358,"N","CAP INTRO SOLUTIONS, LLC","",,"NEW YORK","New York","United States","N"
1933326,22161,8387,"N","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","",,"LONDON","","United Kingdom","N"
1933326,52847,26400,"N","GREENHILL & CO LLC","8-849000",,"NEW YORK","New York","United States","N"
1946010,439228,262189,"N","AL ADVISORS MANAGEMENT, INC","",,"SAN FRANCISCO","California","United States","Y"
1946010,418180,247704,"N","AL ADVISORS MANAGEMENT, INC","",,"SAN FRANCISCO","California","United States","Y"
1946010,418175,247703,"N","AL ADVISORS MANAGEMENT, INC","",,"SAN FRANCISCO","California","United States","Y"
1941167,281277,155183,"Y","SANTIAGO BILINKIS","",,"BUENOS AIRES","","Argentina","N"
1927814,309232,261042,"N","GENERAL WELLINGTON CAPITAL LLC","8-69705",282139,"NEW YORK","New York","United States","N"
1927814,309232,200260,"N","PROFOR ADVISORS","8-66974",136084,"RYE BROOK","New York","United States","N"
