"FilingID","ReferenceID","CIK"
1975604,282232,1317904
1975078,264241,890203
1976511,58541,1316466
1976511,308628,1766900
1976511,308630,1200139
1976511,308631,1132702
1976511,313329,898420
1976511,313330,1132576
1976511,383637,941407
1976511,383637,824507
1976544,379112,2057279
1976548,379110,2056819
1976575,122086,786393
1976725,1895,884546
1976725,121161,1463807
1976725,207772,1789219
1976725,286302,1776551
1976752,391439,1917618
1979337,250461,1090413
1979471,209156,1649451
1979471,385469,1823393
1977431,302312,1624322
1979032,292580,1167711
1979032,292587,72174
1979032,292587,910886
1979032,292588,1141802
1979957,7854,1824864
1979957,7856,20430
1979957,7857,1128452
1979957,7858,870481
1979957,48306,1407656
1979957,48306,1131154
1979957,66137,1224696
1979957,66138,1202045
1979957,98442,205021
1979957,98443,1088928
1979957,98444,102786
1979957,283739,728889
1980006,124999,1531123
1980758,31416,1483835
1980758,73810,1442676
1980758,167554,1324943
1980758,203894,1135986
1980758,203904,54930
1980758,220271,1307617
1982610,28875,727732
1982610,28876,1146082
1983215,219679,1388403
1983215,219679,1388403
1983215,219679,1388403
1983215,219682,1559921
1983215,219682,1559921
1983215,219682,1559921
1983215,219683,1034551
1983215,219683,1034551
1983215,219683,1034551
1983215,219685,106614
1983215,219685,106614
1983215,219685,106614
1983215,219686,1654470
1983215,219686,1654470
1983215,219686,1654470
1983215,219689,1415064
1983215,219689,1415064
1983215,219689,1415064
1983215,219693,1579406
1983215,219693,1579406
1983215,219693,1579406
1983215,219700,108069
1983215,219700,108069
1983215,219700,108069
1983215,219700,108069
1983215,219700,108069
1983215,219700,108069
1983215,219702,1002197
1983215,219702,1002197
1983215,219702,1002197
1983215,219708,1006249
1983215,219708,1006249
1983215,219708,1006249
1983215,219710,1388402
1983215,219710,1388402
1983215,219710,1388402
1983215,219713,1322981
1983215,219713,1322981
1983215,219713,1322981
1983215,219714,1461626
1983215,219714,1461626
1983215,219714,1461626
1983215,219716,1559919
1983215,219716,1559919
1983215,219716,1559919
1983215,219719,1388401
1983215,219719,1388401
1983215,219719,1388401
1983215,219721,108928
1983215,219721,108928
1983215,219721,108928
1983215,219722,1528987
1983215,219722,1528987
1983215,219722,1528987
1983215,219748,1549649
1983215,219748,1549649
1983215,219748,1549649
1983215,219765,1579407
1983215,219765,1579407
1983215,219765,1579407
1983215,240168,1050459
1983215,240168,1050459
1983215,240168,1050459
1983215,240176,1559920
1983215,240176,1559920
1983215,240176,1559920
1983215,240177,913414
1983215,240177,913414
1983215,240177,913414
1983215,298764,1512562
1983215,298764,1512562
1983215,298764,1512562
1983944,395538,1649451
1984092,386887,1767611
1984092,386888,1304145
1984092,386891,938772
1984092,386892,1376503
1984092,386896,1376501
1973452,233413,1233991
1973452,233414,351106
1973452,322305,1232739
1973452,322306,1543099
1973452,322310,1347882
1973452,322311,727892
1973452,322315,1232744
1973452,322317,908733
1973452,322321,86298
1983046,106251,940594
1983046,106363,1419653
1983046,112732,1573227
1983046,344638,1025890
1981505,92786,1146184
1981505,92786,1307720
1981505,92787,1284170
1981505,194366,1616344
1981505,206855,1649718
1984262,106251,940594
1984262,106363,1419653
1984262,112732,1573227
1984262,344638,1025890
1984404,234944,1113951
1977218,137772,1593177
