"FilingID","Name","CRD Number","SEC Number"
2007168,"TCW ASSET MANAGEMENT COMPANY LLC",105742,"801-6642"
2006772,"APOLLO CAPITAL MANAGEMENT, L.P.",143161,"801-67592"
2007928,"FORT WASHINGTON INVESTMENT ADVISORS INC",107126,"801-37235"
2011113,"PENNANTPARK INVESTMENT ADVISERS, LLC",143149,"801-67622"
2008449,"STONEX ADVISORS INC.",174182,"801-80747"
2004276,"SANDLOT PARTNERS, LLC",311409,"801-123545"
2005610,"MUSIC ROW WEALTH MANAGEMENT",288944,"801-110818"
1992872,"ALPHA ARCHITECT",153905,"801-71697"
2007236,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
2004250,"NEUBERGER BERMAN INVESTMENT ADVISERS LLC",124687,"801-61757"
2003593,"SANDS CAPITAL ALTERNATIVES, LLC",155517,"801-72115"
2005334,"SIGNIFICANT WEALTH PARTNERS LLC",293060,"801-128037"
2010447,"COMVEST ADVISORS LLC",160753,"801-74325"
2007316,"SIGNIFICANT WEALTH PARTNERS LLC",293060,"801-128037"
2004994,"JJFT MANAGEMENT, LLC",316526,""
1980028,"MORGAN STANLEY INVESTMENT MANAGEMENT INC.",110353,"801-15757"
2008099,"YORKVILLE ADVISORS GLOBAL, LP",165390,"801-126109"
2008137,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
2008139,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
2012336,"MINDSET WEALTH MANAGEMENT, LLC",330384,"801-129731"
2008258,"PINNACLE INVESTMENTS, LLC",142910,"801-67860"
2012318,"COMMONWEALTH FINANCIAL NETWORK",8032,"801-41541"
2009116,"ETF ARCHITECT",171412,"801-79835"
2009358,"ADAPTIVE INVESTMENTS",281201,"801-106545"
2010632,"CHURCHILL ASSET MANAGEMENT LLC",175092,"801-81144"
2010396,"SABA LT, LP",334114,"801-132083"
2009803,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
2009414,"GREAT VALLEY ADVISOR GROUP, LLC",123913,"801-72270"
2009963,"FARTHER",302050,"801-116721"
2007522,"SOLOMON API LLC",159471,"801-113882"
2007167,"TCW ASSET MANAGEMENT COMPANY LLC",105742,"801-6642"
2008276,"FARTHER",302050,"801-116721"
2007257,"CANTOR FITZGERALD INVESTMENT ADVISORS",159296,"801-72852"
2006235,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1980221,"ASCENTIS WEALTH MANAGEMENT, LLC",330923,"801-130034"
2007709,"MESIROW FINANCIAL INVESTMENT MANAGEMENT, INC.",111135,"801-27047"
2009350,"STONEX ADVISORS INC.",174182,"801-80747"
2012709,"GF CAPITAL PRIVATE EQUITY MANAGEMENT, LLC",296102,""
2009659,"COMVEST ADVISORS LLC",160753,"801-74325"
2010946,"MERCER GLOBAL ADVISORS INC.",147363,"801-69271"
2012800,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
2008524,"PARTNERS GROUP CLO ADVISERS LP",338312,""
2010850,"PARADIGM INSTITUTIONAL INVESTORS",329115,"801-131658"
2013245,"OSAIC WEALTH, INC.",23131,"801-54859"
2010706,"SANDLOT PARTNERS, LLC",311409,"801-123545"
2008044,"CATALYST CAPITAL ADVISORS LLC",139895,"801-66886"
2009400,"SIGNIFICANT WEALTH PARTNERS LLC",293060,"801-128037"
2001330,"PENNANTPARK INVESTMENT ADVISERS, LLC",143149,"801-67622"
2012051,"MORTON WEALTH",141250,"801-67025"
2012353,"FARTHER",302050,"801-116721"
