"FilingID","ReferenceID","Form D File Number"
1950395,20794,"021-126664"
1955141,158831,"021-238931"
1942334,301290,"021-424901"
1942334,248190,"021-369529"
1942334,248190,"021-369526"
1942334,178383,"021-225946"
1942334,178383,"021-259934"
1942334,48172,"021-110081"
1942334,48172,"021-110094"
1942334,48172,"021-309766"
1951880,449843,"021-533322"
1951880,284910,"021-524883"
1951880,284903,"021-524676"
1951880,269364,"021-400175"
1951880,449846,"021-508268"
1951880,449851,"021-508277"
1951880,449854,"021-533316"
1951880,284913,"021-422998"
1951880,284912,"021-525065"
1942020,438175,"021-517831"
1952251,4878,"021-76521"
1952251,4893,"021-81823"
1940137,211047,"021-323918"
1951814,9518,"021-1468819"
1939736,1763,"021-116565"
1939736,174092,"021-250356"
1939736,235848,"021-351342"
1939736,235833,"021-351341"
1939736,1764,"021-77124"
1939736,45377,"021-176243"
1939736,173913,"021-250355"
1960006,42965,"021-125090"
1952813,205118,"021-1713921"
1952813,252519,"021-377272"
1952813,232167,"021-344084"
1960006,419024,"021-484050"
1960006,418926,"021-493575"
1960006,43102,"021-9999999999"
1960006,299353,"021-425998"
1960006,299353,"021-425995"
1960006,42947,"021-9999999999"
1960006,195476,"021-293012"
1960006,195477,"021-284856"
1960006,42938,"021-125096"
1960006,299295,"021-403833"
1960006,42926,"021-125092"
1960006,419020,"021-48970"
1960006,232388,"021-355481"
1960006,419000,"021-478924"
1960006,43053,"021-161195"
1960006,42867,"021-125086"
1960006,43066,"021-161193"
1960006,49673,"021-9999999999"
1960006,195479,"021-294927"
1960006,173994,"021-253138"
1960006,173958,"021-245483"
1960006,287430,"021-399879"
1960006,299309,"021-404183"
1960006,299309,"021-404184"
1960006,219350,"021-999999"
1960006,186411,"021-999999"
1960006,42985,"021-137546"
1960006,287416,"021-420631"
1960006,287440,"021-400028"
1960006,287424,"021-420635"
1960006,42837,"021-125088"
1960006,232386,"021-339317"
1960006,173900,"021-242923"
1960006,42981,"021-133361"
1960006,42908,"021-125097"
1960006,73695,"021-229587"
1960006,232390,"021-355482"
1960006,173942,"021-229589"
1960006,362744,"021-438960"
1960006,418942,"021-478922"
1960006,418877,"021-489486"
1960006,173961,"021-999999"
1960006,73669,"021-229586"
1960006,223156,"021-999999"
1960006,173997,"021-999999"
1960006,42912,"021-125091"
1960006,58296,"021-199790"
1960006,232391,"021-355486"
1960006,186389,"021-999999"
1960006,360921,"021-455988"
1960006,232387,"021-9999999999"
